group1	group2	n_sites_used	shared_variant_sites	dxy	hudson_fst
Algerian	Ami	16569	17474	0.0026490640146989834	0.1331124282604455
Algerian	Arab	16569	17474	0.0024859989689470065	0.013568792038515144
Algerian	Atayal	16569	17474	0.0028907910780486008	0.18722732540304712
Algerian	Australian	16569	17473	0.002696367345043955	0.07309542381695268
Algerian	Balochi	16569	17474	0.002586429864643504	0.062036435786435765
Algerian	Bamar	16569	17474	0.002887142850660577	0.17603205430446722
Algerian	Bana	16569	17473	0.003020580591922949	0.1580620681843923
Algerian	Basque	16569	17474	0.002309368362476389	0.06252171664525302
Algerian	Bedouin	16569	17474	0.002999754793012833	0.022546742306762485
Algerian	Belarusian	16569	17473	0.00265919096852798	0.1399243597628816
Algerian	Betta	16569	17474	0.003004979903850496	0.35384400668031313
Algerian	Bhuiya	16569	17474	0.0028748629807988377	0.23295302900349546
Algerian	Biaka	16569	17474	0.0055223356693311	0.4947479424491824
Algerian	BlackTai	16569	17473	0.0027512470286847382	0.11717372035347523
Algerian	Blang	16569	17473	0.0028166221225967756	0.13029209847391665
Algerian	Brahui	16569	17474	0.0024897734276728718	0.07214680952986145
Algerian	British	16569	17474	0.0022431208883242925	0.06093064814404675
Algerian	Bru	16569	17473	0.0027778975199011405	0.14871973224375973
Algerian	Bunun	16569	17474	0.0025187137201103924	0.11680727058034351
Algerian	Burkinabe	16569	17474	0.0038794208636436416	0.1512076214115293
Algerian	Burusho	16569	17474	0.002710320974826536	0.06086003070800542
Algerian	Buryat	16569	17473	0.0025511123807774997	0.05748114572979736
Algerian	Cambodian	16569	17474	0.0029347736494904353	0.1566180173549237
Algerian	Cao	16569	17473	0.0027515918860000245	0.12074431988607104
Algerian	Caucasian	16569	17473	0.0024548042955681894	0.03758272057534339
Algerian	Central_Thai	16569	17473	0.002799109470497398	0.09081436466770296
Algerian	Chadian	16569	17474	0.0032137417429252933	0.1030943354148082
Algerian	Cham	16569	17473	0.0028945457605037907	0.10422122161060318
Algerian	Chukchi	16569	17474	0.002777534561309025	0.19784856631305986
Algerian	Churu	16569	17473	0.002923029638694782	0.12361659363847423
Algerian	Coho	16569	17473	0.0030200718738336296	0.15447528675169725
Algerian	Czech	16569	17474	0.0025437016643155104	0.06493004648894997
Algerian	Dai	16569	17474	0.0028531592301928635	0.11299799155724741
Algerian	Dane	16569	17473	0.002336200878089698	0.050407407569518795
Algerian	Deng	16569	17474	0.002842926515202075	0.23907785936126447
Algerian	Dong	16569	17473	0.002802568935645151	0.10611735680738538
Algerian	Dongri	16569	17474	0.002598116059380763	0.2624910886213638
Algerian	Druze	16569	17474	0.0023415706888053186	0.07246420563968602
Algerian	Ede	16569	17473	0.0028156162887605254	0.18963435025096717
Algerian	Ewenki	16569	17474	0.0028940539588009195	0.24387772426546814
Algerian	Finnish	16569	17474	0.002469870294998197	0.05457270042305282
Algerian	Foulbe	16569	17474	0.003358844163244879	0.095231100140413
Algerian	French	16569	17474	0.0024160539291154	0.05567645240983273
Algerian	Gallong	16569	17474	0.0029513406959738543	0.25072614458408066
Algerian	Gelao	16569	17473	0.002873074395720871	0.12146591047590881
Algerian	Gende	16569	17473	0.0027898784950816293	0.1465017333483911
Algerian	German	16569	17473	0.002491533530811931	0.056295853592652594
Algerian	Giarai	16569	17473	0.002971797928259692	0.14222074741161406
Algerian	Greek	16569	17473	0.002552426076567963	0.08847377053870287
Algerian	Hakka	16569	17474	0.0025675995604437707	0.08110236430307421
Algerian	Han	16569	17474	0.002431719277528311	0.10010674555104328
Algerian	Hani	16569	17473	0.0029229270025890423	0.12795278104091115
Algerian	Hre	16569	17473	0.0029938130955460035	0.144962423756376
Algerian	Huli	16569	17473	0.003079216321737229	0.30885286041684684
Algerian	Hungarian	16569	17474	0.0024213140295345653	0.05092268477651851
Algerian	Indian	16569	17473	0.002683384035569569	0.0665608395904166
Algerian	Indigenous_Papuans	16569	17474	0.0028451054771547117	0.13275055006029446
Algerian	Indonesian	16569	17473	0.0027871860874705947	0.07808310874892363
Algerian	Iranian	16569	17473	0.002562477140802735	0.05069383820364236
Algerian	Italian	16569	17474	0.00225638088293772	0.04955560803157371
Algerian	IuMien	16569	17474	0.0027310851920732083	0.09651623046933967
Algerian	Jalayir	16569	17473	0.0024583400046802057	0.040992524264214694
Algerian	Japanese	16569	17474	0.0028388299164818012	0.14104246345870342
Algerian	Jarai	16569	17473	0.0028694591898316356	0.17970599321336844
Algerian	Jenu	16569	17474	0.0029104273658310943	0.3006711296242424
Algerian	Kalash	16569	17474	0.002668480100032081	0.13230016044308662
Algerian	Kalueng	16569	17473	0.0027356545515007445	0.19008010829176347
Algerian	Kamar	16569	17474	0.0027586261386507668	0.2583734278105014
Algerian	Karen	16569	17474	0.0027091498035544934	0.1123828913939583
