sample_id	pop_name
Kazak_Altay686	Kazakh_Xinjiang
Kazak_Altay689	Kazakh_Xinjiang
Kazak_Altay692	Kazakh_Xinjiang
Kazak_Altay693	Kazakh_Xinjiang
Kazak_Altay697	Kazakh_Xinjiang
Kazak_Altay701	Kazakh_Xinjiang
Kazak_Altay702	Kazakh_Xinjiang
Kazak_Altay710	Kazakh_Xinjiang
Kazak_Altay711	Kazakh_Xinjiang
Kazak_Altay714	Kazakh_Xinjiang
Kazak_Altay715	Kazakh_Xinjiang
Kazak_Altay718	Kazakh_Xinjiang
Kazak_Altay721	Kazakh_Xinjiang
Kazak_Altay722	Kazakh_Xinjiang
Kazak_Altay728	Kazakh_Xinjiang
Kazak_Altay730	Kazakh_Xinjiang
Kazak_Altay731	Kazakh_Xinjiang
Kazak_Altay736	Kazakh_Xinjiang
Kazak_Altay738	Kazakh_Xinjiang
Kazak_Altay740	Kazakh_Xinjiang
Kazak_Altay744	Kazakh_Xinjiang
Kazak_Altay745	Kazakh_Xinjiang
Kazak_Bayingolin294	Kazakh_Xinjiang
Kazak_Beijing256	Kazakh_Xinjiang
Kazak_Beijing257	Kazakh_Xinjiang
Kazak_Bortala317	Kazakh_Xinjiang
Kazak_Bortala372	Kazakh_Xinjiang
Kazak_Bortala465	Kazakh_Xinjiang
Kazak_Bortala484	Kazakh_Xinjiang
Kazak_Bortala488	Kazakh_Xinjiang
Kazak_Bortala499	Kazakh_Xinjiang
Kazak_Bortala505	Kazakh_Xinjiang
Kazak_Bortala536	Kazakh_Xinjiang
Kazak_Bortala580	Kazakh_Xinjiang
Kazak_Bortala615	Kazakh_Xinjiang
Kazak_Bortala650	Kazakh_Xinjiang
Kazak_Bortala654	Kazakh_Xinjiang
Kazak_Bortala665	Kazakh_Xinjiang
Kazak_Bortala670	Kazakh_Xinjiang
Kazak_Bortala705	Kazakh_Xinjiang
Kazak_Bortala729	Kazakh_Xinjiang
Kazak_Bortala733	Kazakh_Xinjiang
