group	original_n_samples	resample_n	bootstrap_replicates_requested	n_valid_bootstrap	metric	full_data_value	bootstrap_mean	bootstrap_sd	bootstrap_p2_5	bootstrap_p50	bootstrap_p97_5
Algerian	49	20	50	50	pi	0.0025910484894017	0.0025763046625070273	0.00037253145197960094	0.0018572959816083312	0.0026047390419989824	0.003222334256861359
Algerian	49	20	50	50	theta_w	0.0054952291591293	0.0037740248301997782	0.000509235390991601	0.002620094578014687	0.0038189335027709603	0.004703922255430371
Algerian	49	20	50	50	tajima_d	-1.9277197560209451	-1.302867854833603	0.3449822396104957	-1.8224647998809815	-1.3628785014152527	-0.5056948825716974
Algerian	49	20	50	50	haplotype_diversity	0.9923469387755104	0.9718947315216064	0.011560271048014445	0.9473684430122375	0.9736841917037964	0.9882894918322563
Ami	55	20	50	50	pi	0.0020018328527682	0.001974983320105821	0.00011176294267400552	0.0017641187558183446	0.0019882158376276493	0.002185925666708499
Ami	55	20	50	50	theta_w	0.0029149949886493	0.0023498773900792	0.0003175338304760082	0.001895858079660684	0.00231347419321537	0.0030109186191111803
Ami	55	20	50	50	tajima_d	-1.1198349182833558	-0.6154308066144586	0.36666508008496007	-1.2032459110021592	-0.6039250195026398	0.004014455899596071
Ami	55	20	50	50	haplotype_diversity	0.9804713804713806	0.9642105162143707	0.01578946851956703	0.9368420839309692	0.9684210419654846	0.9830263286828995
Arab	35	20	50	50	pi	0.002313485442457	0.0022502684104256333	0.00035335183476394	0.0015544897090876476	0.0022653494961559772	0.0028036559349857272
Arab	35	20	50	50	theta_w	0.0053928311465252	0.0036389587773010133	0.0005768138235573366	0.002450411452446133	0.0037083630450069904	0.004507872276008129
Arab	35	20	50	50	tajima_d	-2.1736469291364178	-1.566646361351013	0.3092631266031538	-1.9698323100805282	-1.6341219544410706	-0.860833640396595
Arab	35	20	50	50	haplotype_diversity	1.0	0.9695789408683777	0.011400050038423055	0.9473684430122375	0.9684210419654846	0.9894737005233765
Atayal	50	20	50	50	pi	0.0021080635030113	0.0020331035857088864	0.0001510261744171778	0.001623717520851642	0.0020728646777570248	0.0021963044069707393
Atayal	50	20	50	50	theta_w	0.0022904743932947	0.002063755067065358	0.00023500682995398028	0.0016670622862875462	0.0020583115983754396	0.0024967659905087204
Atayal	50	20	50	50	tajima_d	-0.2866964928583593	-0.031245927319396287	0.36642245451109967	-0.6670229882001877	-0.06208661571145058	0.700439004600048
Atayal	50	20	50	50	haplotype_diversity	0.9575510204081632	0.9384210515022278	0.024759223259111774	0.8801315858960151	0.942105233669281	0.9736841917037964
Australian	65	20	50	50	pi	0.0024075019729817	0.00234964266885072	0.00012673378653779078	0.002161984273698181	0.0023433282040059566	0.0025704269122797997
Australian	65	20	50	50	theta_w	0.0055847960639515	0.003520223149098456	0.0003705929026755945	0.0028918427415192127	0.003504232969135046	0.00420720586553216
Australian	65	20	50	50	tajima_d	-2.011383235342384	-1.3583335399627685	0.25940031282984477	-1.7083912909030914	-1.4182246923446655	-0.8365165397524834
Australian	65	20	50	50	haplotype_diversity	0.9966346153846152	0.9790526342391968	0.011978289681356578	0.9538158014416694	0.9842105507850647	0.9947368502616882
Balochi	22	20	50	50	pi	0.002260905459457	0.0021581043675541877	0.00011409864928662667	0.0019378950557438657	0.002159419353120029	0.0023609964817296715
Balochi	22	20	50	50	theta_w	0.0034766143370733	0.0027666429616510866	0.0002825184485505997	0.0022190640331245957	0.002798283123411238	0.0032299331796821207
Balochi	22	20	50	50	tajima_d	-1.4266233363763237	-0.886867795586586	0.27765719086621404	-1.3308950185775756	-0.9255372583866119	-0.390129017084837
Balochi	22	20	50	50	haplotype_diversity	0.9956709956709956	0.9508421051502228	0.016191714343197883	0.9088158115744591	0.9526315927505493	0.977763132750988
Bamar	57	20	50	50	pi	0.0021667778377748	0.00212882507359609	0.0001369088065720744	0.001886565756285563	0.0021203506039455533	0.002372407371876761
Bamar	57	20	50	50	theta_w	0.0075904261328771	0.004075456876307726	0.0003758754734821965	0.0033626177289988847	0.004091106820851564	0.004751552734524012
Bamar	57	20	50	50	tajima_d	-2.567402443638168	-1.9768407106399537	0.15099673089535887	-2.2177335023880005	-1.990340530872345	-1.6669037908315658
Bamar	57	20	50	50	haplotype_diversity	0.99937343358396	0.9823157906532287	0.007789485817823339	0.9684210419654846	0.9842105507850647	0.9947368502616882
Bana	36	20	50	50	pi	0.0024952342634901	0.002425442300736904	0.00010330562602280203	0.002194954332662746	0.0024373470805585384	0.0025592621124815194
Bana	36	20	50	50	theta_w	0.003390956891601	0.0028996677277609707	0.0002924521039942354	0.002362805628217757	0.002934369840659201	0.0033511354122310877
Bana	36	20	50	50	tajima_d	-0.997188781146695	-0.6486163780093193	0.3230582930422636	-1.1925190329551696	-0.6681292653083801	0.11007252484560001
Bana	36	20	50	50	haplotype_diversity	0.992063492063492	0.9636842060089111	0.012466014608902128	0.9368420839309692	0.9631578922271729	0.9830263286828995
Basque	22	20	50	50	pi	0.0017389168867744	0.0016523647820577026	0.00015364816840494344	0.0014339167013531552	0.0016316742403432727	0.0020278405223507433
Basque	22	20	50	50	theta_w	0.0029137339205947	0.002229780862107873	0.00019770196752797725	0.001767426240257919	0.0022284199949353933	0.002530787669820711
Basque	22	20	50	50	tajima_d	-1.641549224687716	-1.0564104479551315	0.2914174233912987	-1.4743054896593093	-1.0823000073432922	-0.4283615551888943
Basque	22	20	50	50	haplotype_diversity	1.0	0.956526311635971	0.016934282840951987	0.9222368434071541	0.960526317358017	0.9789473414421082
Bedouin	44	20	50	50	pi	0.0032731917000207	0.003218759330920875	0.00045498900283777607	0.0024445891031064093	0.0032822475768625736	0.0041754996054805815
Bedouin	44	20	50	50	theta_w	0.0071032701719185	0.004918173868209124	0.0006263098262990702	0.003676467720651999	0.0049246379639953375	0.005946139001753181
Bedouin	44	20	50	50	tajima_d	-1.9959374432004475	-1.4286962676048278	0.2975336611305971	-1.9340084433555602	-1.4691847562789917	-0.844006870687008
Bedouin	44	20	50	50	haplotype_diversity	0.9978858350951374	0.9766315770149231	0.011345008363531748	0.9526315927505493	0.9789473414421082	0.9935526415705681
