pop1,pop2,metric,diff,ci_low,ci_high,p_value
Henan,Jilin,pi,8.843799015891075e-05,7.447187625499904e-06,0.0002429846866822439,0.5454545454545454
Henan,Liaoning,pi,7.932415147841225e-06,-0.000124550531535084,6.75803295078617e-05,0.9090909090909091
Henan,Ningxia,pi,0.00021724691017662196,0.00014195627761771278,0.0003687057314851355,0.5454545454545454
Henan,Shaanxi,pi,9.551540334669709e-05,4.47613927437028e-05,0.00014105034574137,0.6363636363636364
Henan,Shandong,pi,2.652175277393634e-07,-3.472706951383769e-05,2.7864038827694237e-05,1.0
Henan,Shanghai,pi,0.00011258966266223158,4.882895386239028e-05,0.00019829598155868885,0.36363636363636365
Henan,Shanxi,pi,0.00012064022016333855,5.36787788595331e-05,0.00020312181050171106,0.5454545454545454
Henan,Sichuan,pi,-1.2611780461618664e-06,-3.76686642467089e-05,2.8283085276349398e-05,1.0
Henan,Tianjin,pi,5.9685999083528793e-05,-4.0266748652261946e-05,9.620157052393206e-05,0.36363636363636365
Henan,Xinjiang,pi,5.623576015448292e-05,-0.0001122689905605104,0.00011848224936248506,0.8181818181818182
Henan,Yunnan,pi,-1.0645794470097881e-05,-0.00011425802928515434,6.382828258085227e-05,0.9090909090909091
Henan,Zhejiang,pi,1.6558012470455834e-05,1.3721121776390605e-07,0.00013209565836857685,0.7272727272727273
Hubei,Hunan,pi,-4.501478836162727e-05,-0.0001998269035552536,8.017007921130832e-05,0.7272727272727273
Hubei,Jiangsu,pi,3.0011561059224045e-05,-3.2791142045782524e-06,7.295832374304211e-05,0.6363636363636364
Hubei,Jilin,pi,4.663771242020582e-05,7.47529572793449e-06,0.0002471770301073475,0.5454545454545454
Hubei,Liaoning,pi,-3.3867862590863707e-05,-0.00016153285034411558,9.349701346128565e-05,0.9090909090909091
Hubei,Ningxia,pi,0.00017544663243791703,0.00013603457076651938,0.0003289273306956239,0.6363636363636364
Hubei,Shaanxi,pi,5.371512560799216e-05,2.120648994627308e-05,0.00014921823270046985,0.5454545454545454
Hubei,Shandong,pi,-4.153506021096557e-05,-8.17398621697149e-05,2.1774968128704444e-05,0.45454545454545453
Hubei,Shanghai,pi,7.078938492352665e-05,1.9230487354549837e-05,0.00013784230975679167,0.7272727272727273
Hubei,Shanxi,pi,7.883994242463362e-05,3.891596510418077e-05,0.00017281496346296642,0.6363636363636364
Hubei,Sichuan,pi,-4.30614557848668e-05,-8.116042303295059e-05,1.2946497156542115e-05,0.36363636363636365
Hubei,Tianjin,pi,1.788572134482386e-05,-7.583453723200405e-05,6.857496839623516e-05,0.9090909090909091
Hubei,Xinjiang,pi,1.4435482415777986e-05,-0.00012739313231924072,0.00011917683815535607,0.9090909090909091
Hubei,Yunnan,pi,-5.244607220880281e-05,-0.00011982705708922964,4.782851810970226e-05,0.5454545454545454
Hubei,Zhejiang,pi,-2.52422652682491e-05,-4.4213866553615314e-05,0.00014220090344704652,0.6363636363636364
Hunan,Jiangsu,pi,7.502634942085131e-05,-5.306764608833775e-05,0.00020955290911731263,0.5454545454545454
Hunan,Jilin,pi,9.165250078183308e-05,1.3580671230713537e-05,0.0002991717894026538,0.7272727272727273
Hunan,Liaoning,pi,1.1146925770763561e-05,-0.00012807465253058373,0.00013972744636215766,0.8181818181818182
Hunan,Ningxia,pi,0.0002204614207995443,0.00011109808324961635,0.00040047011385860353,0.7272727272727273
Hunan,Shaanxi,pi,9.872991396961942e-05,-2.9937457784336e-06,0.00026105231196329093,0.6363636363636364
Hunan,Shandong,pi,3.4797281506616993e-06,-6.598124868865116e-05,0.00016543421393001834,1.0
Hunan,Shanghai,pi,0.00011580417328515392,3.7579179260333926e-05,0.00031728582024493626,0.6363636363636364
Hunan,Shanxi,pi,0.0001238547307862609,1.7283333355054874e-05,0.0003321715304202477,0.6363636363636364
Hunan,Sichuan,pi,1.9533325767604696e-06,-7.46911618673891e-05,0.00015263410076333522,1.0
Hunan,Tianjin,pi,6.290050970645113e-05,-5.9959268942096024e-05,0.00014175069073996477,0.6363636363636364
Hunan,Xinjiang,pi,5.9450270777405254e-05,-3.3861883396963714e-05,0.0002497795633647319,0.5454545454545454
Hunan,Yunnan,pi,-7.431283847175545e-06,-0.00010628632108809339,0.00013841824155078384,1.0
Hunan,Zhejiang,pi,1.977252309337817e-05,-4.0346423989466376e-05,0.00021909450508817083,0.9090909090909091
Jiangsu,Jilin,pi,1.6626151360981772e-05,-6.27215021843596e-05,0.00023843663089394529,0.9090909090909091
Jiangsu,Liaoning,pi,-6.387942365008775e-05,-0.00019389235089335786,6.009791178039082e-05,0.8181818181818182
Jiangsu,Ningxia,pi,0.000145435071378693,7.6533817686917e-05,0.00030530425410925827,0.5454545454545454
Jiangsu,Shaanxi,pi,2.3703564548768112e-05,-3.400731265782976e-05,0.00013761604747145688,0.7272727272727273
Jiangsu,Shandong,pi,-7.154662127018961e-05,-0.00014144845466867914,9.417318815992509e-08,0.45454545454545453
Jiangsu,Shanghai,pi,4.0777823864302605e-05,-1.700297674202621e-05,0.00013395902657200494,0.45454545454545453
Jiangsu,Shanxi,pi,4.8828381365409576e-05,-2.0911910413397113e-05,0.0001760940776675447,0.5454545454545454
Jiangsu,Sichuan,pi,-7.307301684409084e-05,-0.00013060828515036572,-1.0489142278290085e-05,0.5454545454545454
Jiangsu,Tianjin,pi,-1.2125839714400183e-05,-9.846057881237843e-05,6.391692624714261e-05,0.9090909090909091
Jiangsu,Xinjiang,pi,-1.557607864344606e-05,-0.00016795453973073382,6.649147953495779e-05,1.0
Jiangsu,Yunnan,pi,-8.245763326802686e-05,-0.00017623263680240626,3.534910235862475e-05,0.45454545454545453
Jiangsu,Zhejiang,pi,-5.525382632747314e-05,-0.00010618871600986035,0.00014240986188293538,0.45454545454545453
Jilin,Liaoning,pi,-8.050557501106952e-05,-0.0003675352182173279,5.096290418111454e-05,0.7272727272727273
Jilin,Ningxia,pi,0.00012880892001771122,-4.4296907779502245e-06,0.0002012921963992694,0.5454545454545454
Jilin,Shaanxi,pi,7.07741318778634e-06,-0.00011089834702716632,7.371207931704161e-05,1.0
Jilin,Shandong,pi,-8.817277263117139e-05,-0.00026390435925372277,-1.4883947380022731e-05,0.6363636363636364
Jilin,Shanghai,pi,2.4151672503320833e-05,-0.000164638577285098,0.00011508989419312083,0.9090909090909091
Jilin,Shanxi,pi,3.2202230004427804e-05,-9.273756899839822e-05,0.00010782696107366003,0.5454545454545454
Jilin,Sichuan,pi,-8.969916820507262e-05,-0.0002714244369793539,-3.2002131700769115e-05,0.6363636363636364
Jilin,Tianjin,pi,-2.8751991075381955e-05,-0.00019674780670262808,3.414611612893342e-05,0.9090909090909091
Jilin,Xinjiang,pi,-3.220223000442783e-05,-0.00028680111097693515,8.835618124481323e-05,0.7272727272727273
Jilin,Yunnan,pi,-9.908378462900863e-05,-0.00024730295922391284,-3.1950733287555714e-05,0.7272727272727273
Jilin,Zhejiang,pi,-7.187997768845492e-05,-0.00015068304033227802,2.0126393752767347e-05,0.5454545454545454
Liaoning,Ningxia,pi,0.00020931449502878074,9.923108586908226e-05,0.0004890146499022254,0.5454545454545454
Liaoning,Shaanxi,pi,8.758298819885586e-05,-1.6471573348762095e-05,0.0002566368711901616,0.6363636363636364
Liaoning,Shandong,pi,-7.667197620101862e-06,-7.627424032447581e-05,0.00010522270333887281,0.9090909090909091
Liaoning,Shanghai,pi,0.00010465724751439036,2.3964784561330876e-05,0.0002166772164023086,0.6363636363636364
Liaoning,Shanxi,pi,0.00011270780501549733,5.783942204664345e-06,0.0003008698134966576,0.6363636363636364
Liaoning,Sichuan,pi,-9.193593194003092e-06,-9.287369317513863e-05,9.611078123797402e-05,1.0
Liaoning,Tianjin,pi,5.175358393568757e-05,-7.182626632263011e-05,0.00018116297675934247,0.6363636363636364
Liaoning,Xinjiang,pi,4.830334500664169e-05,-3.093714239711105e-05,0.00016777452503783058,0.6363636363636364
Liaoning,Yunnan,pi,-1.8578209617939106e-05,-0.00016426786593433132,0.00014435714752414355,0.7272727272727273
Liaoning,Zhejiang,pi,8.625597322614608e-06,-6.318250038815189e-05,0.00024798592302516947,1.0
Ningxia,Shaanxi,pi,-0.00012173150682992488,-0.0002774416913637938,-3.71085328906244e-05,0.7272727272727273
Ningxia,Shandong,pi,-0.0002169816926488826,-0.0003917763893017217,-0.00013736981074447793,0.5454545454545454
Ningxia,Shanghai,pi,-0.00010465724751439038,-0.00028704674134286796,-4.278188997978657e-05,0.6363636363636364
Ningxia,Shanxi,pi,-9.660669001328341e-05,-0.0001978055054068961,-4.2948171788756495e-05,0.6363636363636364
