population,tajima_d
Anhui,2.156286773500374
Beijing,-1.3242830814479742
Chongqing,-2.2073197118034638
Fujian,1.2838704221796393
Gansu,-0.4523397893641814
Guangdong,-0.7658788177022022
Guizhou,-0.4308175358241699
Hainan,1.246490889537283
Hebei,-0.5030485257288563
Heilongjiang,0.37872814754302675
Henan,-1.6929341473573887
Hubei,-1.110730044208295
Hunan,-0.8631648784735416
Jiangsu,-0.5373562447780885
Jilin,2.080327983442829
Liaoning,0.7464367597121182
Ningxia,
Shaanxi,-0.38052639580835407
Shandong,-1.572429503758807
Shanghai,0.2624157718549182
Shanxi,0.024223666454474976
Sichuan,-2.532485908289897
Tianjin,0.781097463807065
Xinjiang,1.246490889537283
Yunnan,-0.3536684833749518
Zhejiang,0.5448321884505856
