"rep","population","Haplogroup","freq"
1,"Han_NWCM","C2b1",0.125
1,"Han_NWCM","D1a1",0.125
1,"Han_NWCM","J1a3",0.25
1,"Han_NWCM","O1a1",0.125
1,"Han_NWCM","O2a1",0.125
1,"Han_NWCM","O2a2",0.125
1,"Han_NWCM","R1a1",0.125
1,"Han_noNWC","C2b1",0.5
1,"Han_noNWC","O2a2",0.5
