"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"Asia35"	"G2a"	"1"	"0.8933"	"16024-16569 1-576"
"Asia36"	"B4b1a1c"	"1"	"0.8810"	"16024-16569 1-576"
"Asia37"	"B5b3a"	"1"	"0.7712"	"16024-16569 1-576"
"Asia38"	"C4a1a_T195C!"	"1"	"0.9405"	"16024-16569 1-576"
"Asia39"	"D4"	"1"	"0.9038"	"16024-16569 1-576 2092 3552 4071 4491 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia04"	"F1a"	"1"	"1.0000"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Asia40"	"B4h1"	"1"	"1.0000"	"16024-16569 1-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12358 12705 12714 14502 15535"
"Asia41"	"G2a_T152C"	"1"	"0.8417"	"16024-16569 1-576 2092 3552 4071 4491 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia42"	"A8a"	"1"	"0.8289"	"16024-16569 1-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12358 12705 12714 14502 15535"
"Asia43"	"D4b1a2a1"	"1"	"0.8969"	"16024-16569 1-576 2092 3552 4071 4491 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia44"	"B4a1c3a"	"1"	"0.9862"	"16024-16569 1-576"
"Asia45"	"B4a1c3a"	"1"	"1.0000"	"16024-16569 1-576"
"Asia05"	"M7b1a1"	"1"	"0.9728"	"16024-576 2092 3552 4071 4491 4833 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia06"	"F1a1c"	"1"	"0.9879"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Asia07"	"G2"	"1"	"0.9572"	"16024-576 2092 3552 4071 4491 4833 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia08"	"C7"	"1"	"0.9608"	"16024-576 2092 3552 4071 4491 4833 4883 5820-6660 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia09"	"B4a1a"	"1"	"0.9587"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Europe1"	"U8a1a"	"1"	"0.8895"	"16024-16569 1-576"
"Europe10"	"R0a2k1"	"1"	"0.8691"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe11"	"H11a"	"1"	"0.8369"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe12"	"H5b4"	"1"	"0.9416"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe13"	"HV0"	"1"	"0.8633"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe14"	"H6a1"	"1"	"0.8503"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe15"	"HV0a"	"1"	"0.9155"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe16"	"H17a"	"1"	"0.9758"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe17"	"H1a1c"	"1"	"0.9610"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe18"	"H13a1a1"	"1"	"0.9852"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe19"	"H61a"	"1"	"0.7905"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe02"	"U5a1"	"1"	"1.0000"	"16024-16569 1-576"
"Europe20"	"HV3"	"1"	"0.9014"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe21"	"H4a1"	"1"	"0.9013"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe22"	"H1c1_T16093C"	"1"	"0.9533"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe23"	"H1c"	"1"	"1.0000"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe24"	"H4"	"1"	"0.9743"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe25"	"H2a1"	"1"	"0.8943"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe26"	"H13a1"	"1"	"0.8670"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe27"	"H2a3"	"1"	"1.0000"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe28"	"H3b_G16129A!"	"1"	"1.0000"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe29"	"H1a3"	"1"	"1.0000"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe03"	"U3a"	"1"	"1.0000"	"16024-16569 1-576"
