"rep","population","Haplogroup","freq"
1,"Han_NWCM","C2b",0.125
1,"Han_NWCM","D1a",0.125
1,"Han_NWCM","J1a",0.25
1,"Han_NWCM","O1a",0.125
1,"Han_NWCM","O2a",0.25
1,"Han_NWCM","R1a",0.125
1,"Han_noNWC","C2b",0.5
1,"Han_noNWC","O2a",0.5
