ID,Haplogroup,Population
Han_Anhui5006,O2a1b1a1a1a1a1a1b1d,Han_noNWC
Han_Anhui4983,O2a1b1a1a1a1b1a1b1,Han_noNWC
Han_Anhui4831,O2a1b1a1a1a1c,Han_noNWC
Han_Anhui4824,O2a1b1a1a1a1c1a1,Han_noNWC
Han_Anhui4969,O2a1b1a1a1a1c1a1,Han_noNWC
Han_Anhui4876,O2a1b1a1a1a1c1b,Han_noNWC
Han_Anhui5013,O2a1b1a1a1a1d,Han_noNWC
Han_Anhui4856,O2a1b1a1a1a1d1,Han_noNWC
Han_Anhui4948,O2a1b1a1a1a1d1,Han_noNWC
Han_Anhui4904,O2a1b1a1a1a1e,Han_noNWC
Han_Anhui4971,O2a1b1a1a1a1e,Han_noNWC
Han_Anhui4915,O2a1b1a1a1a1e1a1,Han_noNWC
Han_Anhui4991,O2a1b1a1a1a1e1a1,Han_noNWC
Han_Anhui4845,O2a1b1a1a1a1e1a2,Han_noNWC
Han_Anhui4896,O2a1b1a1a1a1e1a2,Han_noNWC
Han_Anhui5020,O2a1b1a1a1a1e2,Han_noNWC
Han_Anhui4978,O2a1b1a1a1a1e2a2,Han_noNWC
Han_Anhui4964,O2a1b1a1a1a1g,Han_noNWC
Han_Anhui4981,O2a1b1a1a1a1g,Han_noNWC
Han_Anhui4886,O2a1b1a1a1a1g1,Han_noNWC
Han_Anhui4866,O2a1b1a1a1a1h,Han_noNWC
Han_Anhui5000,O2a1b1a1a1a1h,Han_noNWC
Han_Anhui4871,O2a1b1a1a1a1k,Han_noNWC
Han_Anhui4797,O2a1b1a1a1b,Han_noNWC
Han_Anhui4812,O2a1b1a1b,Han_noNWC
Han_Anhui4963,O2a1b1a1b,Han_noNWC
Han_Anhui4838,O2a1b1a2a1a1a,Han_noNWC
Han_Anhui4890,O2a1b1a2a1a1a1,Han_noNWC
Han_Anhui4996,O2a1b1a2a1a1a1,Han_noNWC
Han_Anhui4865,O2a1b1a2a1a1a2,Han_noNWC
Han_Anhui4911,O2a1b1a2a1a1a2,Han_noNWC
Han_Anhui4892,O2a1b1a2a2a1b,Han_noNWC
Han_Anhui4930,O2a1b1a2a2b,Han_noNWC
Han_Anhui4986,O2a1b1a2b2,Han_noNWC
Han_Anhui4941,O2a1b1a2b2b1b2,Han_noNWC
Han_Anhui4836,O2a1b2,Han_noNWC
