sample_id,hap_level_1,hap_level_2,hap_level_3,hap_level_4,hap_level_5,hap_level_6,hap_level_7,hap_level_8,hap_level_9,hap_level_10,hap_level_11,hap_level_12,hap_level_13,hap_level_14,hap_level_15,hap_level_16,hap_level_17,hap_level_18,hap_level_19,hap_level_20,hap_level_21,hap_level_22,hap_level_23
Han_Anhui4960,C,C2,C2b,C2b1,C2b1b,C2b1b1,C2b1b1b,C2b1b1b2,C2b1b1b2a,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1,C2b1b1b2a1
Han_Anhui4987,C,C2,C2b,C2b1,C2b1b,C2b1b1,C2b1b1b,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5,C2b1b1b5
Han_Anhui4857,D,D1,D1a,D1a1,D1a1a,D1a1a1,D1a1a1a,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1
Han_Anhui4905,D,D1,D1a,D1a1,D1a1a,D1a1a1,D1a1a1a,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1
Han_Anhui4980,D,D1,D1a,D1a1,D1a1a,D1a1a1,D1a1a1a,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1,D1a1a1a1
Han_Anhui4847,D,D1,D1a,D1a1,D1a1a,D1a1a1,D1a1a1a,D1a1a1a1,D1a1a1a1a,D1a1a1a1a1,D1a1a1a1a1b,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2,D1a1a1a1a1b2
Han_Anhui4864,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Han_Anhui4825,N,N1,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a,N1a
Han_Anhui4813,N,N1,N1a,N1a1,N1a1a,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3,N1a1a3
Han_Anhui4957,N,N1,N1a,N1a2,N1a2a,N1a2a1,N1a2a1a,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2,N1a2a1a2
Han_Anhui4840,N,N1,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b
Han_Anhui4931,N,N1,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b
Han_Anhui5002,N,N1,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b,N1b
Han_Anhui4808,N,N1,N1b,N1b1,N1b1a,N1b1a1,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b
Han_Anhui4887,N,N1,N1b,N1b1,N1b1a,N1b1a1,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b,N1b1a1b
