sample_id,population
Han_Anhui4875,Han_noNWC
Han_Anhui4899,Han_noNWC
Han_Anhui4923,Han_noNWC
Han_Anhui4999,Han_noNWC
Han_Anhui4799,Han_noNWC
Han_Anhui4932,Han_noNWC
Han_Anhui4979,Han_noNWC
Han_Anhui5018,Han_noNWC
Han_Anhui4956,Han_noNWC
Han_Anhui4934,Han_noNWC
Han_Anhui4967,Han_noNWC
Han_Anhui4803,Han_noNWC
Han_Anhui4829,Han_noNWC
Han_Anhui4855,Han_noNWC
Han_Anhui4898,Han_noNWC
Han_Anhui4907,Han_noNWC
Han_Anhui4945,Han_noNWC
Han_Anhui4917,Han_noNWC
Han_Anhui4815,Han_noNWC
Han_Anhui4998,Han_noNWC
Han_Anhui4944,Han_noNWC
Han_Anhui4814,Han_noNWC
Han_Anhui4994,Han_noNWC
Han_Anhui4787,Han_noNWC
Han_Anhui4844,Han_noNWC
Han_Anhui4854,Han_noNWC
Han_Anhui4872,Han_noNWC
Han_Anhui4878,Han_noNWC
Han_Anhui4984,Han_noNWC
Han_Anhui4798,Han_noNWC
Han_Anhui4839,Han_noNWC
Han_Anhui4943,Han_noNWC
Han_Anhui4788,Han_noNWC
Han_Anhui4861,Han_noNWC
Han_Anhui4893,Han_noNWC
Han_Anhui5015,Han_noNWC
Han_Anhui5019,Han_noNWC
Han_Anhui5001,Han_noNWC
Han_Anhui4853,Han_noNWC
Han_Anhui4975,Han_noNWC
Han_Anhui4949,Han_noNWC
Han_Anhui4977,Han_noNWC
Han_Anhui4990,Han_noNWC
Han_Anhui4879,Han_noNWC
Han_Anhui5003,Han_noNWC
Han_Anhui4841,Han_noNWC
Han_Anhui4805,Han_noNWC
Han_Anhui4868,Han_noNWC
Han_Anhui4850,Han_noNWC
Han_Anhui4883,Han_noNWC
Han_Anhui4906,Han_noNWC
Han_Anhui5007,Han_noNWC
Han_Anhui5014,Han_noNWC
Han_Anhui4820,Han_noNWC
Han_Anhui4885,Han_noNWC
Han_Anhui4992,Han_noNWC
Han_Anhui4827,Han_noNWC
Han_Anhui4913,Han_noNWC
Han_Anhui4993,Han_noNWC
Han_Beijing4696,Han_noNWC
