"population","C","C2a","C2a1","C2a1a","C2a1a1","C2a1a2","C2a1a3","C2a1b","C2b1b","D1a1a1","D1a1b1","E1b1b1","F","J1a","J1a2a1","J2a1a1","J2a2a1","N","N1a1a","N1a1a1","N1a1a3","N1a2","N1a2a","N1a2a1","N1b1","N1b2","N2","N2a","No1","O1a","O2a1b1","O2a2b1","O2a2b2","Q1","Q1a1a","Q1a1a1","Q1a1a2","Q1b","Q1b1","Q1b1a3","R1","R1a1a","R1a1a1","R1b1a1","R1b2","R1b2b1","R1b2b2","D1a2b1","E1b1b","G2","G2a1","G2a2a","G2a2b1","H","H1a1a4","I2a1a1","I2a1b1","J","J2a","J2a1a","J2a2","J2b2a","K2b2a","L1a2","L1a2a","N1a","No","O1b1a1","Q","Q1a2a","Q1a2a1","Q1b1a1","Q1b2a1","R","R1a","R1b1a2","R1b2a","R2","R2a","R2a2","R2a2b1","T1","C2","C2b1","C2b1a1","C2b1a2","C2b1b1","D1","D1a1","D1a2a1","D1a2a2","G2a2b2","J2b2a2","N1","N1a3","N1b","N1b1a1","N1b1a2","N1b1b","O1","O1a1a2","O1a1b1","O1a3a","O1b1a","O1b1a2","O2","O2a1","O2a1a1","O2a2b","L1a1b3","Q1b1b","Q1b1b1","Q1b2b","Q1b2b1","Q2a","Q2a1","R1b2b","C1b1a1","E1b1","H1a1","H1a1a1","H3b2a","J1a2b1","J1b","J2a2a","J2b","J2b2","L1","O1b2a1","Q1a2a2","Q2a1a","Q2b","R2a2b","R2b","T1a2a","T1a3b","C1b1a2","K2a","O1a1a1","O1a2","O2a1b","O2a2","O2a2a1","C2a1a4","C2b1b2","C2b2","E1b1a1","F2","G1","G1a1a1","G2a","G2a2b","G2b","H1a1b1","H1a2b1","I1","J1","J1a3","J1a3a","J2","J2b2a1","J2b2b2","L1a1","L1a1b","N1a2b3","N1b1b1","N1b2a","N1b2a1","O1a1b","O1a2a2","O1a3","O1a3a1","O1b","O2a1a","O2a1b2","O2a2a2","O2b","O2b1","O2b1a","O2b1a1","O2b1b","O2b2a","Q2a1c1","Q2b1","R1b","R1b1","R2a2a1","T1a1","T1a1a","C1a1","C2b1a","G2a2","I2","O","O1a1a","Q1a2","Q2","T"
"AEES",0.00598802395209581,0.00598802395209581,0.0179640718562874,0.00598802395209581,0.11377245508982,0.0239520958083832,0.029940119760479,0.0179640718562874,0.00598802395209581,0.0119760479041916,0.00598802395209581,0.00598802395209581,0.00598802395209581,0.0119760479041916,0.0179640718562874,0.00598802395209581,0.0239520958083832,0.0119760479041916,0.0119760479041916,0.0419161676646707,0.00598802395209581,0.00598802395209581,0.0538922155688623,0.0119760479041916,0.00598802395209581,0.00598802395209581,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.0119760479041916,0.0179640718562874,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.0359281437125748,0.0239520958083832,0.0119760479041916,0.00598802395209581,0.00598802395209581,0.101796407185629,0.00598802395209581,0.00598802395209581,0.155688622754491,0.0598802395209581,0.0119760479041916,0.00598802395209581,0.00598802395209581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AESP",0.00350877192982456,0,0.00350877192982456,0.00350877192982456,0,0,0.00350877192982456,0,0.00350877192982456,0,0,0.00701754385964912,0,0.0105263157894737,0.0140350877192982,0.0245614035087719,0.00350877192982456,0,0.0175438596491228,0.189473684210526,0,0,0,0,0,0,0,0.00350877192982456,0.00350877192982456,0,0,0,0,0,0,0,0,0.0210526315789474,0,0.0105263157894737,0.00701754385964912,0.00701754385964912,0.378947368421053,0.087719298245614,0.00350877192982456,0,0,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00701754385964912,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.0105263157894737,0.00701754385964912,0.00350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANEA",0.0025062656641604,0,0.0025062656641604,0,0,0,0,0,0.0075187969924812,0.0651629072681704,0.0175438596491228,0,0.0150375939849624,0,0,0,0,0.0025062656641604,0,0.0025062656641604,0.012531328320802,0,0.012531328320802,0,0.0300751879699248,0.0651629072681704,0,0,0.0050125313283208,0.025062656641604,0.0526315789473684,0.31077694235589,0.0175438596491228,0,0.0025062656641604,0.0200501253132832,0.0025062656641604,0,0,0,0,0.0025062656641604,0.0025062656641604,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0.0050125313283208,0,0.012531328320802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100250626566416,0.025062656641604,0.0100250626566416,0.0300751879699248,0.0200501253132832,0.0050125313283208,0.0025062656641604,0.0075187969924812,0.0025062656641604,0.0025062656641604,0.0050125313283208,0.0100250626566416,0.0100250626566416,0.0050125313283208,0.0075187969924812,0.0175438596491228,0.0451127819548872,0.0025062656641604,0.0050125313283208,0.0025062656641604,0.0025062656641604,0.0025062656641604,0.0325814536340852,0.0050125313283208,0.0025062656641604,0.0075187969924812,0.0075187969924812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANWC",0,0,0.0072992700729927,0,0.0072992700729927,0,0.0145985401459854,0,0,0.0145985401459854,0.0072992700729927,0.0072992700729927,0,0,0.0145985401459854,0.0218978102189781,0.0072992700729927,0.0072992700729927,0.0072992700729927,0,0,0,0,0,0,0.0437956204379562,0.0218978102189781,0,0,0,0,0.0802919708029197,0,0.0072992700729927,0,0,0,0.0145985401459854,0.0072992700729927,0.0145985401459854,0.0291970802919708,0.0072992700729927,0.277372262773723,0.131386861313869,0.0364963503649635,0,0.0364963503649635,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0.0072992700729927,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0,0.0072992700729927,0.0072992700729927,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,0.0437956204379562,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0218978102189781,0.0145985401459854,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASAF",0,0,0,0,0,0,0,0,0,0,0,0.0775862068965517,0.00862068965517241,0,0,0.0862068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0,0.0775862068965517,0.0172413793103448,0,0,0,0.00862068965517241,0,0,0,0.00862068965517241,0,0,0.0431034482758621,0,0.0172413793103448,0.0172413793103448,0,0.0258620689655172,0,0,0.00862068965517241,0.129310344827586,0,0,0.0431034482758621,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0.00862068965517241,0.0862068965517241,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0.0172413793103448,0.00862068965517241,0.00862068965517241,0.00862068965517241,0.0258620689655172,0.00862068965517241,0.0172413793103448,0.0172413793103448,0.00862068965517241,0.00862068965517241,0.00862068965517241,0.00862068965517241,0.0258620689655172,0.00862068965517241,0.0258620689655172,0.00862068965517241,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASEA",0.0198675496688742,0,0,0,0,0,0,0,0.0529801324503311,0.0132450331125828,0.0264900662251656,0,0.0132450331125828,0,0,0,0,0,0,0,0,0,0.00662251655629139,0,0,0.033112582781457,0,0,0.00662251655629139,0.0198675496688742,0.0529801324503311,0.112582781456954,0.033112582781457,0,0,0,0,0,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185430463576159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105960264900662,0,0,0.145695364238411,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0.0132450331125828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463576158940397,0.00662251655629139,0.033112582781457,0.00662251655629139,0.0198675496688742,0.00662251655629139,0.0264900662251656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Han_NWCM",0,0.000550307254883977,0,0.00110061450976795,0.0127487847381455,0.00568650830046776,0.00284325415023388,9.17178758139961e-05,0.000550307254883977,0.0339356140511786,0.0141245528753554,0.00275153627441988,0,0,0.000917178758139961,0.0047693295423278,0,0,0,0.0106392735944236,0.00614509767953774,0.00155920388883793,0.00137576813720994,0.0140328349995414,0.00321012565348987,0.0120150417316335,9.17178758139961e-05,0,0,9.17178758139961e-05,0.146748601302394,0.2758873704485,0.0343024855544346,0,0.00284325415023388,0.0360451251949005,0,9.17178758139961e-05,0,0.00339356140511786,0,0,0.024213519214895,0.00366871503255985,0.00174263964046593,0,0,0,0,0,0,0,0,0,0,0,0.000275153627441988,0.0046776116665138,0,0,0,0.000550307254883977,0,0.000642025130697973,0,0,0,0.0437494267632762,0,9.17178758139961e-05,0,0,9.17178758139961e-05,0,0,0.000366871503255985,0,0.000642025130697973,9.17178758139961e-05,0.000183435751627992,0.00110061450976795,0,0,0.000458589379069981,0.0255892873521049,0.0379712005869944,0.0216454186921031,0,0,9.17178758139961e-05,0,0.000825460882325965,9.17178758139961e-05,0,0.00449417591488581,0,0,0.00495276529395579,0.0022929468953499,0.000183435751627992,0.0127487847381455,0.000825460882325965,0,0,0.0317343850316427,0.00284325415023388,0,0.0172429606530313,0,0,0.000275153627441988,0,0.000183435751627992,0.000366871503255985,0,0,9.17178758139961e-05,0,0,0.000183435751627992,0,0,0,0,0.000458589379069981,0.000183435751627992,0,0.000275153627441988,0.00761258369256168,0.000275153627441988,0,9.17178758139961e-05,9.17178758139961e-05,0,0,0,0.00146748601302394,0,0.0360451251949005,0,9.17178758139961e-05,0,0.0254058516004769,0.000275153627441988,0.0022929468953499,0.000275153627441988,0.000275153627441988,9.17178758139961e-05,9.17178758139961e-05,0.000183435751627992,0.000366871503255985,0.000275153627441988,9.17178758139961e-05,9.17178758139961e-05,9.17178758139961e-05,0.000183435751627992,0.000366871503255985,9.17178758139961e-05,0.000366871503255985,0.000825460882325965,9.17178758139961e-05,9.17178758139961e-05,0.000458589379069981,0.000275153627441988,0.000917178758139961,0.000458589379069981,0.00348527928093185,0.0118316059800055,0.000458589379069981,0.000825460882325965,0.000183435751627992,0.00311840777767587,0.000366871503255985,9.17178758139961e-05,0.00678712281023571,0.00458589379069981,9.17178758139961e-05,0.000183435751627992,0.00807117307163166,0.000458589379069981,0.000917178758139961,0.000275153627441988,0.000366871503255985,9.17178758139961e-05,0.000366871503255985,9.17178758139961e-05,0.000733743006511969,0.000183435751627992,0.000183435751627992,0,0,0,0,0,0,0,0,0
"Han_noNWC",0,0,0,0.00272251308900524,0.00523560209424084,0.000837696335078534,0.00104712041884817,0,0,0.0121465968586387,0.0006282722513089,0,0.000837696335078534,0,0,0.00209424083769634,0,0.000209424083769634,0,0.0025130890052356,0.00544502617801047,0.000209424083769634,0.0012565445026178,0.00984293193717277,0.0006282722513089,0.0110994764397906,0,0,0,0,0.139895287958115,0.285235602094241,0.0286910994764398,0,0.00146596858638743,0.0249214659685864,0,0,0.000209424083769634,0.000209424083769634,0,0,0.00774869109947644,0.00230366492146597,0,0,0,0,0.000837696335078534,0,0,0,0,0.000209424083769634,0,0,0,0.0006282722513089,0,0,0,0,0,0,0,0.00670157068062827,0,0.0582198952879581,0,0,0,0,0,0.000209424083769634,0,0,0,0,0,0,0.000418848167539267,0,0.00167539267015707,0.000209424083769634,0.0186387434554974,0.0408376963350785,0.025130890052356,0,0.000418848167539267,0,0,0,0,0,0,0.00628272251308901,0.0037696335078534,0.00481675392670157,0.0037696335078534,0.000837696335078534,0.0242931937172775,0.00146596858638743,0.00293193717277487,0.00209424083769634,0.0356020942408377,0.000418848167539267,0,0.0240837696335079,0,0,0,0,0,0.000209424083769634,0.000209424083769634,0,0,0,0,0,0,0,0,0,0.000837696335078534,0.0006282722513089,0,0,0.0056544502617801,0,0,0,0.000209424083769634,0,0,0,0.000837696335078534,0,0.094869109947644,0.000418848167539267,0,0.00356020942408377,0.0358115183246073,0,0.000418848167539267,0,0,0,0.000418848167539267,0,0.000418848167539267,0,0,0,0,0.000209424083769634,0,0,0,0,0,0,0.000209424083769634,0,0,0.00146596858638743,0,0.00418848167539267,0.000209424083769634,0.000837696335078534,0,0,0.000209424083769634,0.00146596858638743,0.00460732984293194,0.00732984293193717,0.00335078534031414,0,0,0.00544502617801047,0.00230366492146597,0.000209424083769634,0,0,0.000209424083769634,0.000837696335078534,0,0,0,0.0006282722513089,0.00230366492146597,0.00146596858638743,0.000209424083769634,0.000209424083769634,0.00293193717277487,0.000209424083769634,0.000209424083769634,0.00230366492146597
