"population","Common","Doubleton","Rare","Singleton","Very rare"
"AEES",5,8,12,22,0
"AESP",3,5,14,34,0
"ANEA",4,7,20,17,5
"ANWC",3,6,8,23,0
"ASAF",5,8,7,21,0
"ASEA",6,3,9,7,0
"Han_NWCM",2,11,19,25,64
"Han_noNWC",4,7,11,20,47
