"population","hap","count","freq","class"
"ANEA","D1a1",1,0.0025062656641604,"Singleton"
"ANEA","D1a1a1",26,0.0651629072681704,"Common"
"ANEA","D1a1b1",7,0.0175438596491228,"Rare"
"ANEA","D1a2a1",3,0.0075187969924812,"Very rare"
"ANEA","D1a2a2",1,0.0025062656641604,"Singleton"
"ANEA","F",6,0.0150375939849624,"Rare"
"ANEA","G2a2b2",1,0.0025062656641604,"Singleton"
"ANEA","J2b2a2",2,0.0050125313283208,"Doubleton"
"ANEA","K2b2a",7,0.0175438596491228,"Rare"
"ANEA","N",1,0.0025062656641604,"Singleton"
"ANEA","N1",4,0.0100250626566416,"Rare"
"ANEA","N1a",2,0.0050125313283208,"Doubleton"
"ANEA","N1a1a1",1,0.0025062656641604,"Singleton"
"ANEA","N1a1a3",5,0.012531328320802,"Rare"
"ANEA","N1a2a",5,0.012531328320802,"Rare"
"ANEA","N1a3",4,0.0100250626566416,"Rare"
"ANEA","N1b",2,0.0050125313283208,"Doubleton"
"ANEA","N1b1",12,0.0300751879699248,"Rare"
"ANEA","N1b1a1",3,0.0075187969924812,"Very rare"
"ANEA","N1b1a2",7,0.0175438596491228,"Rare"
"ANEA","N1b1b",18,0.0451127819548872,"Rare"
"ANEA","N1b2",26,0.0651629072681704,"Common"
"ANEA","No1",2,0.0050125313283208,"Doubleton"
"ANEA","O1",1,0.0025062656641604,"Singleton"
"ANEA","O1a",10,0.025062656641604,"Rare"
"ANEA","O1a1a2",2,0.0050125313283208,"Doubleton"
"ANEA","O1a1b1",1,0.0025062656641604,"Singleton"
"ANEA","O1a3a",1,0.0025062656641604,"Singleton"
"ANEA","O1b1a",1,0.0025062656641604,"Singleton"
"ANEA","O1b1a1",5,0.012531328320802,"Rare"
"ANEA","O1b1a2",13,0.0325814536340852,"Rare"
"ANEA","O2",2,0.0050125313283208,"Doubleton"
"ANEA","O2a1",1,0.0025062656641604,"Singleton"
"ANEA","O2a1a1",3,0.0075187969924812,"Very rare"
"ANEA","O2a1b1",21,0.0526315789473684,"Common"
"ANEA","O2a2b",3,0.0075187969924812,"Very rare"
"ANEA","O2a2b1",124,0.31077694235589,"Common"
"ANEA","O2a2b2",7,0.0175438596491228,"Rare"
"ANEA","Q1a1a",1,0.0025062656641604,"Singleton"
"ANEA","Q1a1a1",8,0.0200501253132832,"Rare"
"ANEA","Q1a1a2",1,0.0025062656641604,"Singleton"
"ANEA","R1a1a",1,0.0025062656641604,"Singleton"
"ANEA","R1a1a1",1,0.0025062656641604,"Singleton"
"ANEA","R1b1a1",1,0.0025062656641604,"Singleton"
"ANWC","C2",1,0.0072992700729927,"Singleton"
"ANWC","C2a1",1,0.0072992700729927,"Singleton"
"ANWC","C2a1a1",1,0.0072992700729927,"Singleton"
"ANWC","C2a1a3",2,0.0145985401459854,"Doubleton"
"ANWC","D1a1a1",2,0.0145985401459854,"Doubleton"
"ANWC","D1a1b1",1,0.0072992700729927,"Singleton"
"ANWC","E1b1b1",1,0.0072992700729927,"Singleton"
"ANWC","G2a2b2",1,0.0072992700729927,"Singleton"
"ANWC","I2a1b1",1,0.0072992700729927,"Singleton"
"ANWC","J1a2a1",2,0.0145985401459854,"Doubleton"
"ANWC","J2a1a1",3,0.0218978102189781,"Rare"
"ANWC","J2a2a1",1,0.0072992700729927,"Singleton"
"ANWC","J2b2a2",1,0.0072992700729927,"Singleton"
"ANWC","L1a1b3",1,0.0072992700729927,"Singleton"
"ANWC","L1a2",1,0.0072992700729927,"Singleton"
"ANWC","N",1,0.0072992700729927,"Singleton"
"ANWC","N1",1,0.0072992700729927,"Singleton"
"ANWC","N1a1a",1,0.0072992700729927,"Singleton"
"ANWC","N1b2",6,0.0437956204379562,"Rare"
"ANWC","N2",3,0.0218978102189781,"Rare"
"ANWC","O2a2b1",11,0.0802919708029197,"Common"
"ANWC","Q1",1,0.0072992700729927,"Singleton"
"ANWC","Q1a2a1",1,0.0072992700729927,"Singleton"
"ANWC","Q1b",2,0.0145985401459854,"Doubleton"
"ANWC","Q1b1",1,0.0072992700729927,"Singleton"
"ANWC","Q1b1a3",2,0.0145985401459854,"Doubleton"
"ANWC","Q1b1b",6,0.0437956204379562,"Rare"
"ANWC","Q1b1b1",1,0.0072992700729927,"Singleton"
"ANWC","Q1b2a1",1,0.0072992700729927,"Singleton"
"ANWC","Q1b2b",1,0.0072992700729927,"Singleton"
"ANWC","Q1b2b1",1,0.0072992700729927,"Singleton"
"ANWC","Q2a",3,0.0218978102189781,"Rare"
"ANWC","Q2a1",2,0.0145985401459854,"Doubleton"
"ANWC","R1",4,0.0291970802919708,"Rare"
"ANWC","R1a1a",1,0.0072992700729927,"Singleton"
"ANWC","R1a1a1",38,0.277372262773723,"Common"
"ANWC","R1b1a1",18,0.131386861313869,"Common"
"ANWC","R1b2",5,0.0364963503649635,"Rare"
"ANWC","R1b2b",1,0.0072992700729927,"Singleton"
"ANWC","R1b2b2",5,0.0364963503649635,"Rare"
"ASAF","C1b1a1",1,0.00862068965517241,"Singleton"
"ASAF","D1a2b1",1,0.00862068965517241,"Singleton"
"ASAF","E1b1",1,0.00862068965517241,"Singleton"
"ASAF","E1b1b1",9,0.0775862068965517,"Common"
"ASAF","F",1,0.00862068965517241,"Singleton"
"ASAF","G2a2a",1,0.00862068965517241,"Singleton"
"ASAF","G2a2b2",1,0.00862068965517241,"Singleton"
"ASAF","H1a1",2,0.0172413793103448,"Doubleton"
"ASAF","H1a1a1",1,0.00862068965517241,"Singleton"
"ASAF","H1a1a4",5,0.0431034482758621,"Rare"
"ASAF","H3b2a",1,0.00862068965517241,"Singleton"
"ASAF","I2a1b1",2,0.0172413793103448,"Doubleton"
"ASAF","J",2,0.0172413793103448,"Doubleton"
"ASAF","J1a2b1",1,0.00862068965517241,"Singleton"
"ASAF","J1b",3,0.0258620689655172,"Rare"
"ASAF","J2a1a",3,0.0258620689655172,"Rare"
"ASAF","J2a1a1",10,0.0862068965517241,"Common"
"ASAF","J2a2a",1,0.00862068965517241,"Singleton"
"ASAF","J2b",2,0.0172413793103448,"Doubleton"
"ASAF","J2b2",2,0.0172413793103448,"Doubleton"
"ASAF","J2b2a2",1,0.00862068965517241,"Singleton"
"ASAF","K2b2a",1,0.00862068965517241,"Singleton"
"ASAF","L1",1,0.00862068965517241,"Singleton"
"ASAF","L1a2",15,0.129310344827586,"Common"
"ASAF","No",5,0.0431034482758621,"Rare"
"ASAF","O1a",2,0.0172413793103448,"Doubleton"
"ASAF","O1b1a1",1,0.00862068965517241,"Singleton"
"ASAF","O1b2a1",1,0.00862068965517241,"Singleton"
"ASAF","Q1a2a2",1,0.00862068965517241,"Singleton"
"ASAF","Q2a1a",1,0.00862068965517241,"Singleton"
"ASAF","Q2b",3,0.0258620689655172,"Rare"
"ASAF","R1",1,0.00862068965517241,"Singleton"
"ASAF","R1a1a1",9,0.0775862068965517,"Common"
"ASAF","R1b1a1",2,0.0172413793103448,"Doubleton"
"ASAF","R2a",4,0.0344827586206897,"Rare"
"ASAF","R2a2",1,0.00862068965517241,"Singleton"
"ASAF","R2a2b",1,0.00862068965517241,"Singleton"
"ASAF","R2a2b1",10,0.0862068965517241,"Common"
"ASAF","R2b",3,0.0258620689655172,"Rare"
"ASAF","T1a2a",1,0.00862068965517241,"Singleton"
"ASAF","T1a3b",2,0.0172413793103448,"Doubleton"
"ASEA","C",3,0.0198675496688742,"Rare"
"ASEA","C1b1a2",7,0.0463576158940397,"Rare"
"ASEA","C2b1",16,0.105960264900662,"Common"
"ASEA","C2b1b",8,0.0529801324503311,"Common"
"ASEA","C2b1b1",22,0.145695364238411,"Common"
"ASEA","D1",1,0.00662251655629139,"Singleton"
"ASEA","D1a1a1",2,0.0132450331125828,"Doubleton"
"ASEA","D1a1b1",4,0.0264900662251656,"Rare"
"ASEA","F",2,0.0132450331125828,"Doubleton"
"ASEA","K2a",1,0.00662251655629139,"Singleton"
"ASEA","N1a2a",1,0.00662251655629139,"Singleton"
"ASEA","N1b2",5,0.033112582781457,"Rare"
"ASEA","No1",1,0.00662251655629139,"Singleton"
"ASEA","O1a",3,0.0198675496688742,"Rare"
"ASEA","O1a1a1",5,0.033112582781457,"Rare"
"ASEA","O1a1a2",2,0.0132450331125828,"Doubleton"
"ASEA","O1a2",1,0.00662251655629139,"Singleton"
"ASEA","O1b1a1",28,0.185430463576159,"Common"
"ASEA","O2a1b",3,0.0198675496688742,"Rare"
"ASEA","O2a1b1",8,0.0529801324503311,"Common"
"ASEA","O2a2",1,0.00662251655629139,"Singleton"
"ASEA","O2a2a1",4,0.0264900662251656,"Rare"
"ASEA","O2a2b1",17,0.112582781456954,"Common"
"ASEA","O2a2b2",5,0.033112582781457,"Rare"
"ASEA","R1b1a1",1,0.00662251655629139,"Singleton"
