"","AEES","AESP","ANEA","ANWC","ASAF","ASEA","Han_NWCM","Han_noNWC"
"AEES",0,0.563515448891174,0.699779717852674,0.529571705924115,0.746219396197752,0.744931980112914,0.662968606012622,0.723847495755535
"AESP",0.563515448891174,0,0.801299783562328,0.534147394761567,0.652663451188621,0.810951877780437,0.762673727375421,0.800345543068701
"ANEA",0.699779717852674,0.801299783562328,0,0.700131212995576,0.799291759741735,0.552316511468061,0.438864120773836,0.45654197453156
"ANWC",0.529571705924115,0.534147394761567,0.700131212995576,0,0.700543138514227,0.754746203849204,0.689657536318846,0.731244366138558
"ASAF",0.746219396197752,0.652663451188621,0.799291759741735,0.700543138514227,0,0.805182423129427,0.780971395053188,0.804146629151082
"ASEA",0.744931980112914,0.810951877780437,0.552316511468061,0.754746203849204,0.805182423129427,0,0.551195183868702,0.537014645364976
"Han_NWCM",0.662968606012622,0.762673727375421,0.438864120773836,0.689657536318846,0.780971395053188,0.551195183868702,0,0.242575556273253
"Han_noNWC",0.723847495755535,0.800345543068701,0.45654197453156,0.731244366138558,0.804146629151082,0.537014645364976,0.242575556273253,0
