"population","hap","count","freq"
"AESP","R1a1a1",108,0.378947368421053
"ANEA","O2a2b1",124,0.31077694235589
"Han_noNWC","O2a2b1",1362,0.285235602094241
"ANWC","R1a1a1",38,0.277372262773723
"Han_NWCM","O2a2b1",3008,0.2758873704485
"AESP","N1a1a1",54,0.189473684210526
"ASEA","O1b1a1",28,0.185430463576159
"AEES","R1a1a1",26,0.155688622754491
"Han_NWCM","O2a1b1",1600,0.146748601302394
"ASEA","C2b1b1",22,0.145695364238411
"Han_noNWC","O2a1b1",668,0.139895287958115
"ANWC","R1b1a1",18,0.131386861313869
"ASAF","L1a2",15,0.129310344827586
"AEES","C2a1a1",19,0.11377245508982
"ASEA","O2a2b1",17,0.112582781456954
"ASEA","C2b1",16,0.105960264900662
"AEES","Q1b1a3",17,0.101796407185629
"Han_noNWC","O1a1a1",453,0.094869109947644
"AESP","R1b1a1",25,0.087719298245614
"ASAF","J2a1a1",10,0.0862068965517241
"ASAF","R2a2b1",10,0.0862068965517241
"ANWC","O2a2b1",11,0.0802919708029197
"ASAF","E1b1b1",9,0.0775862068965517
"ASAF","R1a1a1",9,0.0775862068965517
"ANEA","D1a1a1",26,0.0651629072681704
"ANEA","N1b2",26,0.0651629072681704
"AEES","R1b1a1",10,0.0598802395209581
"Han_noNWC","O1b1a1",278,0.0582198952879581
"AEES","N1a2a",9,0.0538922155688623
"ASEA","C2b1b",8,0.0529801324503311
"ASEA","O2a1b1",8,0.0529801324503311
"ANEA","O2a1b1",21,0.0526315789473684
"ASEA","C1b1a2",7,0.0463576158940397
"ANEA","N1b1b",18,0.0451127819548872
"ANWC","N1b2",6,0.0437956204379562
"ANWC","Q1b1b",6,0.0437956204379562
"Han_NWCM","O1b1a1",477,0.0437494267632762
"ASAF","H1a1a4",5,0.0431034482758621
"ASAF","No",5,0.0431034482758621
"AEES","N1a1a1",7,0.0419161676646707
"Han_noNWC","C2b1a2",195,0.0408376963350785
"Han_NWCM","C2b1a2",414,0.0379712005869944
