"hap","total_n","n_pop","shannon_pop","evenness_pop","pop_detail","top_population","top_count"
"O2a2",5607,6,0.768254058406806,0.428770753887961,"Han_NWCM:3709;Han_noNWC:1722;ANEA:134;ASEA:27;ANWC:11;AEES:4","Han_NWCM",3709
"O2a1",2715,5,0.69219969356971,0.430087851306319,"Han_NWCM:1864;Han_noNWC:812;ANEA:25;ASEA:11;AEES:3","Han_NWCM",1864
"C2b1",1468,6,0.844683236699117,0.47142669047148,"Han_NWCM:965;Han_noNWC:418;ASEA:46;ANEA:37;AEES:1;AESP:1","Han_NWCM",965
"O1b1",1330,6,0.816907825448436,0.455924938295644,"Han_NWCM:823;Han_noNWC:458;ASEA:28;ANEA:19;AESP:1;ASAF:1","Han_NWCM",823
"O1a1",1147,4,0.741678931468417,0.535008258180655,"Han_noNWC:591;Han_NWCM:546;ASEA:7;ANEA:3","Han_noNWC",591
"D1a1",633,6,0.638025526834193,0.356088826537121,"Han_NWCM:524;Han_noNWC:63;ANEA:34;ASEA:6;AEES:3;ANWC:3","Han_NWCM",524
"Q1a1",572,4,0.707000466866454,0.509993033727208,"Han_NWCM:424;Han_noNWC:126;AEES:12;ANEA:10","Han_NWCM",424
"R1a1",488,7,1.32200560795571,0.679376490531955,"Han_NWCM:264;AESP:110;ANWC:39;Han_noNWC:37;AEES:27;ASAF:9;ANEA:2","Han_NWCM",264
"N1b2",409,6,0.843921379640502,0.471001489951154,"Han_NWCM:298;Han_noNWC:73;ANEA:26;ANWC:6;ASEA:5;AEES:1","Han_NWCM",298
"C2a1",338,6,0.848000147577984,0.473277893680299,"Han_NWCM:248;Han_noNWC:47;AEES:35;ANWC:4;AESP:3;ANEA:1","Han_NWCM",248
"N1a1",297,6,1.09469053282516,0.610958419154769,"Han_NWCM:183;AESP:59;Han_noNWC:38;AEES:10;ANEA:6;ANWC:1","Han_NWCM",183
"N1a2",267,5,0.787600262167935,0.489363557353247,"Han_NWCM:195;Han_noNWC:54;AEES:12;ANEA:5;ASEA:1","Han_NWCM",195
"N1b1",229,4,1.03012277795581,0.743076511631805,"Han_NWCM:119;Han_noNWC:69;ANEA:40;AEES:1","Han_NWCM",119
"O2b1",142,2,0.573645370739456,0.827595331594724,"Han_NWCM:105;Han_noNWC:37","Han_NWCM",105
"R1b1",118,8,1.60907520092374,0.773801604263363,"Han_NWCM:45;AESP:26;ANWC:18;Han_noNWC:15;AEES:10;ASAF:2;ANEA:1;ASEA:1","Han_NWCM",45
"O1b2",111,3,0.6036620406886,0.549476869060369,"Han_NWCM:83;Han_noNWC:27;ASAF:1","Han_NWCM",83
"J2a1",87,6,1.22721576069346,0.684922157114193,"Han_NWCM:52;ASAF:13;Han_noNWC:10;AESP:8;ANWC:3;AEES:1","Han_NWCM",52
"Q1b1",74,5,1.20218411290379,0.746958987119679,"Han_NWCM:40;AEES:18;ANWC:10;AESP:4;Han_noNWC:2","Han_NWCM",40
"J",57,4,0.442959364394816,0.319527639163864,"Han_NWCM:51;Han_noNWC:3;ASAF:2;AESP:1","Han_NWCM",51
"E1b1",54,6,1.17411427869419,0.655285655724782,"Han_NWCM:33;ASAF:10;AESP:5;Han_noNWC:4;AEES:1;ANWC:1","Han_NWCM",33
"N1a3",53,2,0.267567912572871,0.386018900569893,"Han_NWCM:49;ANEA:4","Han_NWCM",49
"O1a3",51,3,0.677835742547197,0.616992682076188,"Han_NWCM:36;Han_noNWC:14;ANEA:1","Han_NWCM",36
"R2a2",43,4,1.12682166936795,0.812830017181683,"Han_NWCM:23;ASAF:12;AESP:5;Han_noNWC:3","Han_NWCM",23
"R1b2",37,4,1.09137831055067,0.787263038182617,"Han_NWCM:20;ANWC:11;AEES:4;AESP:2","Han_NWCM",20
"N1a",35,3,0.34706682575481,0.315913839062889,"Han_noNWC:32;ANEA:2;AESP:1","Han_noNWC",32
"O2",35,3,0.434599716881433,0.395589710186398,"Han_NWCM:31;ANEA:2;Han_noNWC:2","Han_NWCM",31
"N1b",32,2,0.233791658706459,0.337290066617014,"Han_noNWC:30;ANEA:2","Han_noNWC",30
"C1b1",28,4,1.06334850861437,0.767043810057316,"Han_NWCM:16;ASEA:7;Han_noNWC:4;ASAF:1","Han_NWCM",16
"G2a2",25,6,1.37036224234488,0.764813729677274,"Han_NWCM:12;Han_noNWC:7;AESP:2;ASAF:2;ANEA:1;ANWC:1","Han_NWCM",12
"L1a2",25,4,0.993739088026591,0.716831227116742,"ASAF:15;Han_NWCM:7;AESP:2;ANWC:1","ASAF",15
"J1a2",20,5,1.33307429347678,0.828285628900495,"Han_NWCM:10;AESP:4;AEES:3;ANWC:2;ASAF:1","Han_NWCM",10
"O1a",18,5,1.27402306244147,0.791595036129505,"ANEA:10;ASEA:3;AEES:2;ASAF:2;Han_NWCM:1","ANEA",10
"J2a2",17,6,1.62592870804154,0.907448089972723,"Han_NWCM:5;AEES:4;Han_noNWC:4;AESP:2;ANWC:1;ASAF:1","Han_NWCM",5
"O2b",17,2,0.223718076065834,0.322756958897398,"Han_noNWC:16;Han_NWCM:1","Han_noNWC",16
"J2b2",16,5,1.24401669579289,0.772951032271542,"Han_NWCM:9;ASAF:3;ANEA:2;AESP:1;ANWC:1","Han_NWCM",9
"O1a2",16,3,0.864740096527637,0.787120356696533,"Han_NWCM:9;Han_noNWC:6;ASEA:1","Han_NWCM",9
"F",14,5,1.37605528526042,0.854991220617689,"ANEA:6;Han_noNWC:4;ASEA:2;AEES:1;ASAF:1","ANEA",6
"Q1b2",14,4,1.19526841708698,0.862203908931296,"Han_NWCM:7;AESP:3;ANWC:3;Han_noNWC:1","Han_NWCM",7
"C2",13,3,0.858740913006287,0.781659664527667,"Han_noNWC:8;ANEA:4;ANWC:1","Han_noNWC",8
"H1a1",12,3,0.823959216501082,0.75,"ASAF:8;Han_NWCM:3;AESP:1","ASAF",8
