"population","hap","count","freq"
"AESP","R1a1",110,0.385964912280702
"Han_noNWC","O2a2",1722,0.360628272251309
"Han_NWCM","O2a2",3709,0.340181601394112
"ANEA","O2a2",134,0.335839598997494
"ASEA","C2b1",46,0.304635761589404
"ANWC","R1a1",39,0.284671532846715
"AEES","C2a1",35,0.209580838323353
"AESP","N1a1",59,0.207017543859649
"ASEA","O1b1",28,0.185430463576159
"ASEA","O2a2",27,0.178807947019868
"Han_NWCM","O2a1",1864,0.170962120517289
"Han_noNWC","O2a1",812,0.170052356020942
"AEES","R1a1",27,0.161676646706587
"ANWC","R1b1",18,0.131386861313869
"ASAF","L1a2",15,0.129310344827586
"Han_noNWC","O1a1",591,0.123769633507853
"ASAF","J2a1",13,0.112068965517241
"AEES","Q1b1",18,0.107784431137725
"ASAF","R2a2",12,0.103448275862069
"ANEA","N1b1",40,0.100250626566416
"Han_noNWC","O1b1",458,0.0959162303664921
"ANEA","C2b1",37,0.0927318295739348
"AESP","R1b1",26,0.0912280701754386
"Han_NWCM","C2b1",965,0.0885077501605063
"Han_noNWC","C2b1",418,0.0875392670157068
"ASAF","E1b1",10,0.0862068965517241
"ANEA","D1a1",34,0.0852130325814536
"ANWC","O2a2",11,0.0802919708029197
"ANWC","R1b2",11,0.0802919708029197
"ASAF","R1a1",9,0.0775862068965517
"Han_NWCM","O1b1",823,0.0754838117949188
"ANWC","Q1b1",10,0.072992700729927
"ASEA","O2a1",11,0.0728476821192053
"AEES","N1a2",12,0.0718562874251497
"AEES","Q1a1",12,0.0718562874251497
"ASAF","H1a1",8,0.0689655172413793
"ANEA","N1b2",26,0.0651629072681704
"ANEA","O2a1",25,0.06265664160401
"AEES","N1a1",10,0.0598802395209581
"AEES","R1b1",10,0.0598802395209581
"Han_NWCM","O1a1",546,0.0500779601944419
"Han_NWCM","D1a1",524,0.048060166926534
"ANEA","O1b1",19,0.0476190476190476
"ASEA","C1b1",7,0.0463576158940397
"ASEA","O1a1",7,0.0463576158940397
"ANWC","N1b2",6,0.0437956204379562
"ASAF","No",5,0.0431034482758621
"ASEA","D1a1",6,0.0397350993377483
"Han_NWCM","Q1a1",424,0.0388883793451344
"ASAF","R2a",4,0.0344827586206897
"ASEA","N1b2",5,0.033112582781457
"ANWC","C2a1",4,0.0291970802919708
"ANWC","R1",4,0.0291970802919708
"AESP","J2a1",8,0.0280701754385965
"Han_NWCM","N1b2",298,0.0273319269925709
"Han_noNWC","Q1a1",126,0.0263874345549738
"ASAF","J1b",3,0.0258620689655172
"ASAF","J2b2",3,0.0258620689655172
"ASAF","Q2b",3,0.0258620689655172
"ASAF","R2b",3,0.0258620689655172
"ANEA","O1a",10,0.025062656641604
"ANEA","Q1a1",10,0.025062656641604
"Han_NWCM","R1a1",264,0.024213519214895
"AEES","J2a2",4,0.0239520958083832
"AEES","O2a2",4,0.0239520958083832
"AEES","R1b2",4,0.0239520958083832
"Han_NWCM","C2a1",248,0.022746033201871
"ANWC","D1a1",3,0.0218978102189781
"ANWC","J2a1",3,0.0218978102189781
"ANWC","N2",3,0.0218978102189781
"ANWC","Q1b2",3,0.0218978102189781
"ANWC","Q2a",3,0.0218978102189781
"AESP","Q1b",6,0.0210526315789474
"ASEA","C",3,0.0198675496688742
"ASEA","O1a",3,0.0198675496688742
"AEES","D1a1",3,0.0179640718562874
"AEES","J1a2",3,0.0179640718562874
"AEES","N2",3,0.0179640718562874
"AEES","O2a1",3,0.0179640718562874
"Han_NWCM","N1a2",195,0.0178849857837292
"AESP","E1b1",5,0.0175438596491228
"AESP","R2a2",5,0.0175438596491228
"ANEA","K2b2",7,0.0175438596491228
"ASAF","G2a2",2,0.0172413793103448
"ASAF","I2a1",2,0.0172413793103448
"ASAF","J",2,0.0172413793103448
"ASAF","J2b",2,0.0172413793103448
"ASAF","O1a",2,0.0172413793103448
"ASAF","R1b1",2,0.0172413793103448
"ASAF","T1a3",2,0.0172413793103448
"Han_NWCM","N1a1",183,0.0167843712739613
"Han_noNWC","N1b2",73,0.0152879581151832
"ANEA","F",6,0.0150375939849624
"ANEA","N1a1",6,0.0150375939849624
"ANWC","J1a2",2,0.0145985401459854
"ANWC","Q1b",2,0.0145985401459854
"ANWC","Q2a1",2,0.0145985401459854
"Han_noNWC","N1b1",69,0.0144502617801047
"AESP","I2a1",4,0.0140350877192982
"AESP","J1a2",4,0.0140350877192982
"AESP","K2b2",4,0.0140350877192982
"AESP","No",4,0.0140350877192982
"AESP","Q1b1",4,0.0140350877192982
"ASEA","F",2,0.0132450331125828
"Han_noNWC","D1a1",63,0.0131937172774869
"ANEA","N1a2",5,0.012531328320802
"AEES","J1a",2,0.0119760479041916
"AEES","N",2,0.0119760479041916
"AEES","O1a",2,0.0119760479041916
"Han_noNWC","N1a2",54,0.0113089005235602
"Han_NWCM","N1b1",119,0.0109144272218655
"AESP","C2a1",3,0.0105263157894737
"AESP","J1a",3,0.0105263157894737
"AESP","Q1a2",3,0.0105263157894737
"AESP","Q1b2",3,0.0105263157894737
"AESP","R1a",3,0.0105263157894737
"AESP","R2",3,0.0105263157894737
"ANEA","C2",4,0.0100250626566416
"ANEA","D1a2",4,0.0100250626566416
"ANEA","N1",4,0.0100250626566416
"ANEA","N1a3",4,0.0100250626566416
"Han_noNWC","C2a1",47,0.00984293193717277
"Han_NWCM","O2b1",105,0.0096303769604696
"ASAF","C1b1",1,0.00862068965517241
"ASAF","D1a2",1,0.00862068965517241
"ASAF","F",1,0.00862068965517241
"ASAF","H3b2",1,0.00862068965517241
"ASAF","J1a2",1,0.00862068965517241
"ASAF","J2a2",1,0.00862068965517241
"ASAF","K2b2",1,0.00862068965517241
"ASAF","L1",1,0.00862068965517241
"ASAF","O1b1",1,0.00862068965517241
"ASAF","O1b2",1,0.00862068965517241
"ASAF","Q1a2",1,0.00862068965517241
"ASAF","Q2a1",1,0.00862068965517241
