"population","C","C2a","C2a1","C2b1","D1a1","E1b1","F","J1a","J1a2","J2a1","J2a2","N","N1a1","N1a2","N1b1","N1b2","N2","N2a","No1","O1a","O2a1","O2a2","Q1","Q1a1","Q1b","Q1b1","R1","R1a1","R1b1","R1b2","D1a2","G2","G2a1","G2a2","H","H1a1","I2a1","J","J2a","J2b2","K2b2","L1a2","N1a","No","O1b1","Q","Q1a2","Q1b2","R","R1a","R2","R2a","R2a2","T1","C2","D1","N1","N1a3","N1b","O1","O1a1","O1a3","O2","L1a1","Q2a","Q2a1","C1b1","H3b2","J1b","J2b","L1","O1b2","Q2b","R2b","T1a2","T1a3","K2a","O1a2","C2b2","F2","G1","G1a1","G2a","G2b","H1a2","I1","J1","J1a3","J2","O1b","O2b","O2b1","O2b2","Q2b1","R1b","T1a1","C1a1","I2","O","Q2","T"
"AEES",0.00598802395209581,0.00598802395209581,0.209580838323353,0.00598802395209581,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.0119760479041916,0.0179640718562874,0.00598802395209581,0.0239520958083832,0.0119760479041916,0.0598802395209581,0.0718562874251497,0.00598802395209581,0.00598802395209581,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.0119760479041916,0.0179640718562874,0.0239520958083832,0.00598802395209581,0.0718562874251497,0.00598802395209581,0.107784431137725,0.00598802395209581,0.161676646706587,0.0598802395209581,0.0239520958083832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AESP",0.00350877192982456,0,0.0105263157894737,0.00350877192982456,0,0.0175438596491228,0,0.0105263157894737,0.0140350877192982,0.0280701754385965,0.00701754385964912,0,0.207017543859649,0,0,0,0,0.00350877192982456,0.00350877192982456,0,0,0,0,0,0.0210526315789474,0.0140350877192982,0.00701754385964912,0.385964912280702,0.0912280701754386,0.00701754385964912,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.00701754385964912,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00701754385964912,0.00350877192982456,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.0105263157894737,0.0105263157894737,0.00350877192982456,0.0105263157894737,0.0105263157894737,0.00350877192982456,0.0175438596491228,0.00350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANEA",0.0025062656641604,0,0.0025062656641604,0.0927318295739348,0.0852130325814536,0,0.0150375939849624,0,0,0,0,0.0025062656641604,0.0150375939849624,0.012531328320802,0.100250626566416,0.0651629072681704,0,0,0.0050125313283208,0.025062656641604,0.06265664160401,0.335839598997494,0,0.025062656641604,0,0,0,0.0050125313283208,0.0025062656641604,0,0.0100250626566416,0,0,0.0025062656641604,0,0,0,0,0,0.0050125313283208,0.0175438596491228,0,0.0050125313283208,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0.0100250626566416,0.0050125313283208,0.0100250626566416,0.0100250626566416,0.0050125313283208,0.0025062656641604,0.0075187969924812,0.0025062656641604,0.0050125313283208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANWC",0,0,0.0291970802919708,0,0.0218978102189781,0.0072992700729927,0,0,0.0145985401459854,0.0218978102189781,0.0072992700729927,0.0072992700729927,0.0072992700729927,0,0,0.0437956204379562,0.0218978102189781,0,0,0,0,0.0802919708029197,0.0072992700729927,0,0.0145985401459854,0.072992700729927,0.0291970802919708,0.284671532846715,0.131386861313869,0.0802919708029197,0,0,0,0.0072992700729927,0,0,0.0072992700729927,0,0,0.0072992700729927,0,0.0072992700729927,0,0,0,0,0.0072992700729927,0.0218978102189781,0,0,0,0,0,0,0.0072992700729927,0,0.0072992700729927,0,0,0,0,0,0,0.0072992700729927,0.0218978102189781,0.0145985401459854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASAF",0,0,0,0,0,0.0862068965517241,0.00862068965517241,0,0.00862068965517241,0.112068965517241,0.00862068965517241,0,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0.00862068965517241,0.0775862068965517,0.0172413793103448,0,0.00862068965517241,0,0,0.0172413793103448,0,0.0689655172413793,0.0172413793103448,0.0172413793103448,0,0.0258620689655172,0.00862068965517241,0.129310344827586,0,0.0431034482758621,0.00862068965517241,0,0.00862068965517241,0,0,0,0,0.0344827586206897,0.103448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0.00862068965517241,0.0258620689655172,0.0172413793103448,0.00862068965517241,0.00862068965517241,0.0258620689655172,0.0258620689655172,0.00862068965517241,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASEA",0.0198675496688742,0,0,0.304635761589404,0.0397350993377483,0,0.0132450331125828,0,0,0,0,0,0,0.00662251655629139,0,0.033112582781457,0,0,0.00662251655629139,0.0198675496688742,0.0728476821192053,0.178807947019868,0,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185430463576159,0,0,0,0,0,0,0,0,0,0,0.00662251655629139,0,0,0,0,0.0463576158940397,0,0,0,0,0,0.0463576158940397,0,0,0,0,0,0,0,0,0,0.00662251655629139,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Han_NWCM",0,0.000550307254883977,0.022746033201871,0.0885077501605063,0.048060166926534,0.00302668990186187,0,0,0.000917178758139961,0.0047693295423278,0.000458589379069981,0,0.0167843712739613,0.0178849857837292,0.0109144272218655,0.0273319269925709,9.17178758139961e-05,0,0,9.17178758139961e-05,0.170962120517289,0.340181601394112,0,0.0388883793451344,9.17178758139961e-05,0.00366871503255985,0,0.024213519214895,0.00412730441162983,0.00183435751627992,9.17178758139961e-05,0,0,0.00110061450976795,0,0.000275153627441988,0.000275153627441988,0.0046776116665138,0,0.000825460882325965,0,0.000642025130697973,0,0,0.0754838117949188,0,0.000366871503255985,0.000642025130697973,0,0,0.000642025130697973,9.17178758139961e-05,0.00210951114372191,0,0,0,0,0.00449417591488581,0,0.000183435751627992,0.0500779601944419,0.00330184352930386,0.00284325415023388,0.000733743006511969,0,0.000366871503255985,0.00146748601302394,0,0,0.000183435751627992,0.000275153627441988,0.00761258369256168,9.17178758139961e-05,0,0,0,0,0.000825460882325965,0.000275153627441988,9.17178758139961e-05,9.17178758139961e-05,0.000183435751627992,0.000366871503255985,9.17178758139961e-05,9.17178758139961e-05,0.000183435751627992,0.000366871503255985,0.000458589379069981,0.000825460882325965,0.000366871503255985,9.17178758139961e-05,0.0096303769604696,0.000275153627441988,9.17178758139961e-05,0.000366871503255985,0.000366871503255985,0,0,0,0,0
"Han_noNWC",0,0,0.00984293193717277,0.0875392670157068,0.0131937172774869,0.000837696335078534,0.000837696335078534,0,0,0.00209424083769634,0.000837696335078534,0.000209424083769634,0.00795811518324607,0.0113089005235602,0.0144502617801047,0.0152879581151832,0,0,0,0,0.170052356020942,0.360628272251309,0,0.0263874345549738,0,0.000418848167539267,0,0.00774869109947644,0.0031413612565445,0,0,0,0,0.00146596858638743,0.000209424083769634,0,0,0.0006282722513089,0,0,0,0,0.00670157068062827,0,0.0959162303664921,0,0.000209424083769634,0.000209424083769634,0.000209424083769634,0,0,0,0.0006282722513089,0,0.00167539267015707,0,0,0,0.00628272251308901,0.000837696335078534,0.123769633507853,0.00293193717277487,0.000418848167539267,0.000209424083769634,0.000209424083769634,0,0.000837696335078534,0,0,0.0006282722513089,0,0.0056544502617801,0,0,0,0,0,0.0012565445026178,0,0,0.000418848167539267,0,0.000418848167539267,0,0,0.000209424083769634,0,0,0,0.000209424083769634,0.00335078534031414,0.00774869109947644,0.000209424083769634,0,0.000209424083769634,0,0.0006282722513089,0.000209424083769634,0.000209424083769634,0.000209424083769634,0.00230366492146597
