ID	Group_big	Group_small	Note
Mongolian_Hami9473	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9445	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9471	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9474	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9486	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9493	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9511	All	Mongolian_Xinjiang	All Populations
Mongolian_Karamay9524	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9392	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9399	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9402	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9442	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9475	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9492	All	Mongolian_Xinjiang	All Populations
Mongolian_Xinjiang9501	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9372	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9423	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9384	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9401	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9458	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9495	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9503	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9448	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9453	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9461	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9505	All	Mongolian_Xinjiang	All Populations
Mongolian_Changji9497	All	Mongolian_Xinjiang	All Populations
Mongolian_Karamay9386	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9426	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9431	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9459	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9490	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9529	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9439	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9502	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9414	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9428	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9443	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9456	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9500	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9441	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9416	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9446	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9494	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9515	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9523	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9451	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9488	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9408	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9412	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9476	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9477	All	Mongolian_Xinjiang	All Populations
Mongolian_Urumqi9381	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9433	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9444	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9525	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9521	All	Mongolian_Xinjiang	All Populations
Mongolian_Changji9407	All	Mongolian_Xinjiang	All Populations
Mongolian_Changji9512	All	Mongolian_Xinjiang	All Populations
Mongolian_Hami9385	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9430	All	Mongolian_Xinjiang	All Populations
Mongolian_Changji9419	All	Mongolian_Xinjiang	All Populations
Mongolian_Hami9396	All	Mongolian_Xinjiang	All Populations
Mongolian_Karamay9391	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9373	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9465	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9463	All	Mongolian_Xinjiang	All Populations
Mongolian_Changji9491	All	Mongolian_Xinjiang	All Populations
Mongolian_Changji9496	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9527	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9437	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9489	All	Mongolian_Xinjiang	All Populations
Mongolian_Urumqi9469	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9513	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9420	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9514	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9467	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9409	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9457	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9432	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9394	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9468	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9395	All	Mongolian_Xinjiang	All Populations
Mongolian_Urumqi9499	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9404	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9415	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9449	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9429	All	Mongolian_Xinjiang	All Populations
Mongolian_Xinjiang9517	All	Mongolian_Xinjiang	All Populations
Mongolian_Altay9450	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9470	All	Mongolian_Xinjiang	All Populations
Mongolian_Bayingolin9518	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9380	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9390	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9413	All	Mongolian_Xinjiang	All Populations
Mongolian_Bortala9455	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9417	All	Mongolian_Xinjiang	All Populations
Mongolian_IliKazakh9422	All	Mongolian_Xinjiang	All Populations
Mongolian_Karamay9397	All	Mongolian_Xinjiang	All Populations
Mongolian_Tacheng9520	All	Mongolian_Xinjiang	All Populations
Mongolian_Tianjin9366	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9363	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9364	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9365	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9370	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9362	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9367	All	Mongolian_Tianjin	All Populations
