"population","hap","count","freq","class"
"AEES","C",1,0.00598802395209581,"Singleton"
"AEES","C2a",36,0.215568862275449,"Common"
"AEES","C2b",1,0.00598802395209581,"Singleton"
"AEES","D1a",3,0.0179640718562874,"Rare"
"AEES","E1b",1,0.00598802395209581,"Singleton"
"AEES","F",1,0.00598802395209581,"Singleton"
"AEES","J1a",5,0.029940119760479,"Rare"
"AEES","J2a",5,0.029940119760479,"Rare"
"AEES","N",2,0.0119760479041916,"Doubleton"
"AEES","N1a",22,0.131736526946108,"Common"
"AEES","N1b",2,0.0119760479041916,"Doubleton"
"AEES","N2",3,0.0179640718562874,"Rare"
"AEES","N2a",1,0.00598802395209581,"Singleton"
"AEES","No1",1,0.00598802395209581,"Singleton"
"AEES","O1a",2,0.0119760479041916,"Doubleton"
"AEES","O2a",7,0.0419161676646707,"Rare"
"AEES","Q1",1,0.00598802395209581,"Singleton"
"AEES","Q1a",12,0.0718562874251497,"Common"
"AEES","Q1b",19,0.11377245508982,"Common"
"AEES","R1",1,0.00598802395209581,"Singleton"
"AEES","R1a",27,0.161676646706587,"Common"
"AEES","R1b",14,0.0838323353293413,"Common"
"AESP","C",1,0.00350877192982456,"Singleton"
"AESP","C2a",3,0.0105263157894737,"Rare"
"AESP","C2b",1,0.00350877192982456,"Singleton"
"AESP","D1a",1,0.00350877192982456,"Singleton"
"AESP","E1b",5,0.0175438596491228,"Rare"
"AESP","G2",1,0.00350877192982456,"Singleton"
"AESP","G2a",3,0.0105263157894737,"Rare"
"AESP","H",1,0.00350877192982456,"Singleton"
"AESP","H1a",1,0.00350877192982456,"Singleton"
"AESP","I2a",4,0.0140350877192982,"Rare"
"AESP","J",1,0.00350877192982456,"Singleton"
"AESP","J1a",7,0.0245614035087719,"Rare"
"AESP","J2a",11,0.0385964912280702,"Rare"
"AESP","J2b",1,0.00350877192982456,"Singleton"
"AESP","K2b",4,0.0140350877192982,"Rare"
"AESP","L1a",2,0.00701754385964912,"Doubleton"
"AESP","N1a",60,0.210526315789474,"Common"
"AESP","N2a",1,0.00350877192982456,"Singleton"
"AESP","No",4,0.0140350877192982,"Rare"
"AESP","No1",1,0.00350877192982456,"Singleton"
"AESP","O1b",1,0.00350877192982456,"Singleton"
"AESP","Q",1,0.00350877192982456,"Singleton"
"AESP","Q1a",3,0.0105263157894737,"Rare"
"AESP","Q1b",13,0.0456140350877193,"Rare"
"AESP","R",1,0.00350877192982456,"Singleton"
"AESP","R1",2,0.00701754385964912,"Doubleton"
"AESP","R1a",113,0.396491228070175,"Common"
"AESP","R1b",28,0.0982456140350877,"Common"
"AESP","R2",3,0.0105263157894737,"Rare"
"AESP","R2a",6,0.0210526315789474,"Rare"
"AESP","T1",1,0.00350877192982456,"Singleton"
"ANEA","C",1,0.0025062656641604,"Singleton"
"ANEA","C2",4,0.0100250626566416,"Rare"
"ANEA","C2a",1,0.0025062656641604,"Singleton"
"ANEA","C2b",37,0.0927318295739348,"Common"
"ANEA","D1",2,0.0050125313283208,"Doubleton"
"ANEA","D1a",38,0.0952380952380952,"Common"
"ANEA","F",6,0.0150375939849624,"Rare"
"ANEA","G2a",1,0.0025062656641604,"Singleton"
