"population","k","shannon","simpson","heff_expH","heff_1sumP2"
"AEES",22,2.42833188942425,0.879988525942128,11.3399500034637,8.33253659994024
"AESP",31,2.1511242710717,0.782591566635888,8.59451553273037,4.59963757857183
"ANEA",23,2.05114210738255,0.787645806244936,7.77677795169762,4.70911349720472
"ANWC",23,2.34826103202371,0.847994032713517,10.467351499809,6.57868909919383
"ASAF",28,2.86599646350752,0.92256242568371,17.5665489111654,12.9136276391555
"ASEA",14,1.89724274249811,0.798561466602342,6.66748510098168,4.96429349009362
"Han_noNWC",36,1.68913396924553,0.680807302431403,5.41478929991113,3.13290375255246
"Han_NWCM",39,1.90890950890834,0.712708513162718,6.74572862918421,3.48078535500214
