"hap","population","a","b","c","d","p","odds","padj"
"R1a","AESP",113,172,16270,NA,2.75939942523662e-100,28.2524102294421,1.43488770112304e-97
"O2a","AESP",0,285,8326,NA,1.93923977768344e-85,0,5.04202342197694e-83
"O1a","Han_noNWC",611,4164,11537,NA,3.24982106788242e-61,2.72585067556764,5.63302318432952e-59
"O2a","AEES",7,160,8451,NA,2.67323977571802e-38,0.0444674310948487,3.47521170843343e-36
"O2a","ASAF",0,116,8495,NA,5.95131685925592e-35,0,6.18936953362616e-33
"O1a","Han_NWCM",592,10311,5390,NA,4.9484649885445e-34,0.483549775965182,4.28866965673857e-32
"R1b","ANWC",29,108,16665,NA,2.5145416446422e-31,34.1150736961775,1.86794522173421e-29
"R1a","Han_noNWC",37,4738,11704,NA,7.2066719373784e-31,0.201320159211893,4.36045667757547e-29
"D1a","Han_noNWC",63,4712,11581,NA,7.54694424964985e-31,0.268397966553405,4.36045667757547e-29
"R1a","ANWC",39,98,16344,NA,4.63699161854948e-28,14.3806962477652,2.41123564164573e-26
"N1a","AESP",60,225,16056,NA,9.38159881242884e-28,7.22888273908617,4.43493762042091e-26
"C2a","AEES",36,131,16457,NA,9.45746531491642e-27,14.6307587000356,4.09823496979711e-25
"O2a","ANWC",11,126,8485,NA,1.93667061005831e-25,0.0891655676521515,7.74668244023326e-24
"N1b","ANEA",68,331,15932,NA,6.26114530961465e-25,5.43560680950092,2.32556825785687e-23
"L1a","ASAF",15,101,16797,NA,3.89763008272284e-24,123.884887788036,1.35117842867725e-22
"D1a","Han_NWCM",525,10378,5915,NA,1.96332566947569e-23,2.60183889575726,6.38080842579599e-22
"R2a","ASAF",16,100,16784,NA,2.23216472358771e-23,81.1420210306167,6.82779797803298e-22
"R1b","AESP",28,257,16516,NA,1.08700243213438e-20,13.6286864776613,3.14022924838821e-19
"Q1b","AEES",19,148,16687,NA,1.19899346022707e-19,27.0760694436141,3.28145578588462e-18
"Q1b","ANWC",15,122,16713,NA,1.96875672791994e-15,24.7214830859433,5.11876749259184e-14
"H1a","ASAF",8,108,16812,NA,4.74868597451355e-15,247.488356308754,1.17586509845098e-13
"J2a","ASAF",14,102,16726,NA,1.22188425024276e-14,25.1873921895596,2.88809004602834e-13
"C2b","ASEA",46,105,15357,NA,1.36274932664205e-14,4.72055404317605,3.0809984776255e-13
"R1a","AEES",27,140,16302,NA,3.58285079089733e-13,6.77382521778634,7.76284338027754e-12
"E1b","ASAF",10,106,16773,NA,2.85063909116565e-12,35.9062830217472,5.92932930962454e-11
"O2a","Han_NWCM",5573,5330,3281,NA,5.68456298072929e-12,1.24791450063512,1.13691259614586e-10
"C2a","Han_noNWC",47,4728,11860,NA,9.63428156561831e-11,0.395652029839271,1.85549126448945e-09
"Q1b","Han_noNWC",3,4772,12063,NA,1.07392227402431e-10,0.0798330882333576,1.99442708033086e-09
"O2a","Han_noNWC",2534,2241,6370,NA,1.65472165290911e-10,1.24442148640486,2.96708710176806e-09
"C2b","AESP",1,284,15178,NA,2.07295968053735e-10,0.0363756505404436,3.5931301129314e-09
"O1b","AESP",1,284,15203,NA,3.17135419486984e-10,0.0370656903282054,5.31969090752361e-09
"O1a","AESP",0,285,15416,NA,5.59331385653194e-10,0,9.08913501686441e-09
"R1b","AEES",14,153,16620,NA,6.30615223006371e-10,10.4110079219581,9.93696715040343e-09
"No","ASAF",5,111,16813,NA,1.70528766815015e-09,188.319854719531,2.6080870218767e-08
"O2a","ASEA",38,113,8498,NA,1.96734521863637e-09,0.344966211148589,2.92291289625974e-08
"K2b","ANEA",7,392,16529,NA,2.73856306015668e-09,58.8946112065196,3.95570219800409e-08
"C1b","ASEA",7,144,16761,NA,3.94659222453879e-09,38.7356191249057,5.54656204529776e-08
"Q1b","AESP",13,272,16563,NA,9.92041225603355e-09,9.31030537285418,1.35753009819406e-07
"Q2a","ANWC",5,132,16790,NA,1.4315173917367e-08,105.428190051,1.90868985564893e-07
"R1b","Han_noNWC",16,4759,12014,NA,2.55059467254084e-08,0.280491852527763,3.31577307430309e-07
"N1a","Han_noNWC",124,4651,11630,NA,4.25683300633174e-08,0.587263894059096,5.39891015437197e-07
"R1b","Han_NWCM",69,10834,5939,NA,4.37165142676873e-08,0.415673932013543,5.41252081409462e-07
"D1a","ANEA",38,361,15932,NA,1.71778741663589e-07,2.78552514215641,2.07732431779224e-06
"R1","ANWC",4,133,16792,NA,2.7994011629494e-07,125.227875276688,3.30838319257656e-06
"J1b","ASAF",3,113,16817,NA,3.13282332075649e-07,Inf,3.54145244955081e-06
"R2b","ASAF",3,113,16817,NA,3.13282332075649e-07,Inf,3.54145244955081e-06
"J2b","ASAF",5,111,16799,NA,4.21815134967673e-07,41.9393722332734,4.57074867698471e-06
"F","ANEA",6,393,16526,NA,4.21915262490896e-07,31.4986720779307,4.57074867698471e-06
"N1a","AEES",22,145,16136,NA,4.69504897822629e-07,3.88569588420967,4.98200030973208e-06
"O1b","AEES",0,167,15320,NA,4.79038491320392e-07,0,4.98200030973208e-06
"J1a","AESP",7,278,16625,NA,5.19402242291791e-07,18.1869459580879,5.22327989379006e-06
"F","Han_NWCM",0,10903,6016,NA,5.22327989379006e-07,0,5.22327989379006e-06
"T","Han_noNWC",11,4764,12158,NA,8.89281072933677e-07,Inf,8.72502184765117e-06
