"hap","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"C",0.0698204824817001,0.184909993262016,0.0251653070381373,8.91179949516035,1.33575984297884
"C2a",0.190621645479108,1.68201844845742,5.34573667071367,0.7742243902734,29.5094812504698
"C2b",0.804134662175464,0.254264215337744,0.000810425766992819,2.89426254240773,0.0450424833958611
"D1a",0.0837292362597947,0.00307248360986026,0.0352667039624152,3.38354106995365,3.77032876260495
"E1b",3.55154748786679,1.4424127018095,0.0456393212716519,0.0880324841628738,0.230077251794545
"F",0.082944367046395,0.0533345875935722,0.201486919079078,13.7984211529504,0.0313199541222934
"J1a",1.515424317768,1.7035563527629,0.115939311248659,0.0361317175905792,2.37047722486162
"J2a",5.08454745345176,0.370975509495324,0.000449404341935184,0.200628428885821,0.322146192053805
"N",0.203264646423582,0.783567792910119,3.57400110204032,0.495990748352182,0.988282687656328
"N1a",0.885179465535667,2.57673296875756,8.63109148237973,0.00506128596113456,4.54139085970379
"N1b",0.197414454892543,0.00650095876311365,0.236688136284115,12.8551629910807,0.448409144020878
"N2",0.762193424654113,2.51155814983447,11.9890532837679,0.00800101964922062,0.10992501399127
"N2a",0.303372838000552,0.677292218897248,0.133210888684404,0.000983702728813763,2.51051791156991
"No1",0.100967344192487,0.253867879099247,0.045558662543577,5.71759828990366,0.89354652556848
"O1a",0.927374176884368,0.517610474144802,0.0323197979902996,1.29543175361454,9.94345127374263
"O2a",4.39366712825535,1.22754075103204,0.0367855098572633,2.86917862590012,0.492854847194738
"Q1",0.300156869412877,0.978953421280268,4.67030491338467,0.00195877335449602,0.029952847772098
"Q1a",0.0517377365558493,0.00815717755271081,0.151161789519202,0.40919558615825,3.41906225063679
"Q1b",3.40939462017989,9.34317199608656,8.19914238418595,0.149732894064313,2.66746388369024
"R1",2.33606009759974,1.60727803623698,4.18092033638803,0.00392124460015736,5.99658277133375
"R1a",15.157424652164,18.5288590158938,13.8020093492172,0.524317086463263,1.13538977441393
"R1b",6.46849867838196,11.7236563508248,3.82471476107133,0.0497941317631342,6.72012760472821
"G2",0.236256372735807,0.302139417339429,2.81363065697193,0.000105021030602146,0.0676785998315743
"G2a",0.393738544792004,0.00730975519127559,0.174280796734971,0.000190711516500016,0.419661887501687
"H",0.0973409308916742,0.133023509167111,1.3867403993073,0.00521172255787726,0.173231126738727
"H1a",6.89917296807948,7.10843329613252,0.165433793593621,0.00579382359426508,0.120955785349792
"I2a",2.15588198700068,0.0187909515044255,1.63545151679127,0.00544282073462992,0.692942984719862
