"population","Common","Doubleton","Rare","Singleton","Very rare"
"AEES",6,3,5,8,0
"AESP",3,2,12,14,0
"ANEA",4,5,8,6,0
"ANWC",4,2,7,10,0
"ASAF",6,6,6,10,0
"ASEA",4,1,4,5,0
"Han_NWCM",4,4,6,4,21
"Han_noNWC",4,2,5,9,16
