"population","C","C2a","C2b","D1a","E1b","F","J1a","J2a","N","N1a","N1b","N2","N2a","No1","O1a","O2a","Q1","Q1a","Q1b","R1","R1a","R1b","G2","G2a","H","H1a","I2a","J","J2b","K2b","L1a","No","O1b","Q","R","R2","R2a","T1","C2","D1","N1","O1","O2","Q2a","C1b","H3b","J1b","L1","Q2b","R2b","T1a","K2a","F2","G1","G1a","G2b","I1","J1","J2","O2b","C1a","I2","O","Q2","T"
"AEES",0.00598802395209581,0.215568862275449,0.00598802395209581,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.029940119760479,0.029940119760479,0.0119760479041916,0.131736526946108,0.0119760479041916,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.0119760479041916,0.0419161676646707,0.00598802395209581,0.0718562874251497,0.11377245508982,0.00598802395209581,0.161676646706587,0.0838323353293413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AESP",0.00350877192982456,0.0105263157894737,0.00350877192982456,0.00350877192982456,0.0175438596491228,0,0.0245614035087719,0.0385964912280702,0,0.210526315789474,0,0,0.00350877192982456,0.00350877192982456,0,0,0,0.0105263157894737,0.0456140350877193,0.00701754385964912,0.396491228070175,0.0982456140350877,0.00350877192982456,0.0105263157894737,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00701754385964912,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.00350877192982456,0.0105263157894737,0.0210526315789474,0.00350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANEA",0.0025062656641604,0.0025062656641604,0.0927318295739348,0.0952380952380952,0,0.0150375939849624,0,0,0.0025062656641604,0.0426065162907268,0.170426065162907,0,0,0.0050125313283208,0.0350877192982456,0.398496240601504,0,0.025062656641604,0,0,0.0050125313283208,0.0025062656641604,0,0.0025062656641604,0,0,0,0,0.0050125313283208,0.0175438596491228,0,0,0.0476190476190476,0,0,0,0,0,0.0100250626566416,0.0050125313283208,0.0100250626566416,0.0025062656641604,0.0050125313283208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANWC",0,0.0291970802919708,0,0.0218978102189781,0.0072992700729927,0,0.0145985401459854,0.0291970802919708,0.0072992700729927,0.0072992700729927,0.0437956204379562,0.0218978102189781,0,0,0,0.0802919708029197,0.0072992700729927,0.0072992700729927,0.109489051094891,0.0291970802919708,0.284671532846715,0.211678832116788,0,0.0072992700729927,0,0,0.0072992700729927,0,0.0072992700729927,0,0.0145985401459854,0,0,0,0,0,0,0,0.0072992700729927,0,0.0072992700729927,0,0,0.0364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASAF",0,0,0,0.00862068965517241,0.0862068965517241,0.00862068965517241,0.00862068965517241,0.120689655172414,0,0,0,0,0,0,0.0172413793103448,0,0,0.00862068965517241,0,0.00862068965517241,0.0775862068965517,0.0172413793103448,0,0.0172413793103448,0,0.0689655172413793,0.0172413793103448,0.0172413793103448,0.0431034482758621,0.00862068965517241,0.129310344827586,0.0431034482758621,0.0172413793103448,0,0,0,0.137931034482759,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0.00862068965517241,0.0258620689655172,0.00862068965517241,0.0258620689655172,0.0258620689655172,0.0258620689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASEA",0.0198675496688742,0,0.304635761589404,0.0397350993377483,0,0.0132450331125828,0,0,0,0.00662251655629139,0.033112582781457,0,0,0.00662251655629139,0.0728476821192053,0.251655629139073,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0.185430463576159,0,0,0,0,0,0,0.00662251655629139,0,0,0,0,0.0463576158940397,0,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0
"Han_NWCM",0,0.023296340456755,0.0887829037879483,0.048151884802348,0.00302668990186187,0,0.00137576813720994,0.00522791892139778,0,0.0391635329725764,0.0382463542144364,9.17178758139961e-05,0,0,0.0542969824818857,0.511143721911401,0,0.0392552508483903,0.00440245803907181,0,0.024213519214895,0.00632853343116573,0,0.00146748601302394,0,0.000366871503255985,0.000275153627441988,0.0046776116665138,0.00100889663395396,0,0.00137576813720994,0,0.0834632669907365,0,0,0.000642025130697973,0.00220122901953591,0,0,0,0,0.000183435751627992,0.00284325415023388,0.000366871503255985,0.00146748601302394,0,0,0.000275153627441988,0.000183435751627992,0,0.000366871503255985,0,9.17178758139961e-05,9.17178758139961e-05,0.000183435751627992,9.17178758139961e-05,0.000183435751627992,0.000366871503255985,0.000825460882325965,0.00999724846372558,0,0,0,0,0
"Han_noNWC",0,0.00984293193717277,0.0875392670157068,0.0131937172774869,0.000837696335078534,0.000837696335078534,0,0.00293193717277487,0.000209424083769634,0.0259685863874346,0.036020942408377,0,0,0,0.127958115183246,0.530680628272251,0,0.0265968586387435,0.0006282722513089,0,0.00774869109947644,0.00335078534031414,0,0.0018848167539267,0.000209424083769634,0,0,0.0006282722513089,0.0006282722513089,0,0.000209424083769634,0,0.101780104712042,0,0.000209424083769634,0,0.0006282722513089,0,0.00167539267015707,0,0,0.000837696335078534,0.000418848167539267,0.000209424083769634,0.000837696335078534,0,0,0,0,0,0,0,0,0.000418848167539267,0,0,0.000209424083769634,0,0,0.0113089005235602,0.0006282722513089,0.000209424083769634,0.000209424083769634,0.000209424083769634,0.00230366492146597
