population,theta_w
Bai,0.00021343180918911687
Han,0.0048410493217841575
Hui,0.0001799452657395231
Man,0.0005495325967071436
Miao,0.0002808699369391006
Mongol,0.0002815761532740428
Qiang,0.000396263478063635
Tujia,0.00023477499010802854
Yi,0.00013173639547265923
Zang,0.00042674528406853006
