pop1,pop2,metric,diff,ci_low,ci_high,p_value
Bai,Han,theta_w,-0.004627617512595041,-0.004841654495070015,-0.004301096294756379,0.36363636363636365
Bai,Hui,theta_w,3.348654344959378e-05,-7.823128228843955e-05,8.914153992776842e-05,0.5454545454545454
Bai,Man,theta_w,-0.0003361007875180267,-0.0004825090062439178,-0.00022107739865128532,0.45454545454545453
Bai,Miao,theta_w,-6.74381277499837e-05,-0.00018969223220173287,2.6210301776179066e-05,0.45454545454545453
Bai,Mongol,theta_w,-6.81443440849259e-05,-0.0001860909900697932,4.3984939273580664e-05,0.6363636363636364
Bai,Qiang,theta_w,-0.00018283166887451814,-0.0002876350649366936,-2.7279424997041338e-05,0.36363636363636365
Bai,Tujia,theta_w,-2.1343180918911663e-05,-0.0001611809771993938,7.097806348590532e-05,0.9090909090909091
Bai,Yi,theta_w,8.169541371645764e-05,-0.00025040308094494753,0.0002495224982330371,0.7272727272727273
Bai,Zang,theta_w,-0.00021331347487941319,-0.00037696977778835293,-3.75670345236934e-05,0.5454545454545454
Han,Hui,theta_w,0.004661104056044634,0.004327238266472166,0.004824851936249536,0.45454545454545453
Han,Man,theta_w,0.004291516725077014,0.003976678427101984,0.00438579033160248,0.45454545454545453
Han,Miao,theta_w,0.004560179384845057,0.00421481507475744,0.004672344233655145,0.45454545454545453
Han,Mongol,theta_w,0.004559473168510114,0.004175053535316067,0.0047497798677221936,0.45454545454545453
Han,Qiang,theta_w,0.004444785843720523,0.004154910943476694,0.00471373649437068,0.5454545454545454
Han,Tujia,theta_w,0.004606274331676129,0.00431283417424263,0.004727999446619358,0.45454545454545453
Han,Yi,theta_w,0.004709312926311498,0.0043370155766657295,0.004946228343988809,0.36363636363636365
Han,Zang,theta_w,0.0044143040377156275,0.004128777413980658,0.004544717773271032,0.45454545454545453
Hui,Man,theta_w,-0.0003695873309676205,-0.0004737075576039907,-0.00020001896043482623,0.5454545454545454
Hui,Miao,theta_w,-0.00010092467119957748,-0.00017609676979849862,4.342939678047194e-05,0.6363636363636364
Hui,Mongol,theta_w,-0.00010163088753451969,-0.00016149863002114606,3.1221771927055776e-05,0.6363636363636364
Hui,Qiang,theta_w,-0.00021631821232411192,-0.0002804253900592144,-8.534225170775337e-05,0.2727272727272727
Hui,Tujia,theta_w,-5.4829724368505445e-05,-0.00012969959826049352,6.198622145435331e-06,0.45454545454545453
Hui,Yi,theta_w,4.820887026686386e-05,-0.00020427080103375953,0.0002486687597562805,0.6363636363636364
Hui,Zang,theta_w,-0.00024680001832900697,-0.00034017524995291943,-9.754426015740827e-05,0.6363636363636364
Man,Miao,theta_w,0.000268662659768043,0.00021305090794371416,0.00039424344484721984,0.6363636363636364
Man,Mongol,theta_w,0.0002679564434331008,7.956974214126469e-05,0.0004660697565290761,0.6363636363636364
Man,Qiang,theta_w,0.00015326911864350858,-4.6318021390513546e-05,0.00036283569392658985,0.7272727272727273
Man,Tujia,theta_w,0.00031475760659911505,0.00020006447653716182,0.00042331651934863715,0.5454545454545454
Man,Yi,theta_w,0.0004177962012344844,0.00020281735570608096,0.0006754362389337275,0.45454545454545453
Man,Zang,theta_w,0.00012278731263861353,2.441667066343114e-06,0.00024210211187231746,0.45454545454545453
Miao,Mongol,theta_w,-7.06216334942205e-07,-0.00015692899337469107,8.740356810177102e-05,1.0
Miao,Qiang,theta_w,-0.00011539354112453443,-0.00029028005836942113,5.697950909120709e-05,0.36363636363636365
Miao,Tujia,theta_w,4.609494683107204e-05,-4.755647942772175e-05,0.00013371077422320447,0.6363636363636364
Miao,Yi,theta_w,0.00014913354146644134,-8.514092712566005e-05,0.0003085346522994024,0.45454545454545453
Miao,Zang,theta_w,-0.00014587534712942948,-0.0002752819676418347,1.552273946313935e-05,0.8181818181818182
Mongol,Qiang,theta_w,-0.00011468732478959223,-0.00015929503085119364,1.6439858797528127e-05,0.45454545454545453
Mongol,Tujia,theta_w,4.680116316601424e-05,-7.106808652273614e-05,0.00014988538725210453,0.5454545454545454
Mongol,Yi,theta_w,0.00014983975780138355,-7.727493536931638e-05,0.0002324299200562185,0.6363636363636364
Mongol,Zang,theta_w,-0.00014516913079448728,-0.000262987468470373,-3.7933461896390994e-06,0.6363636363636364
Qiang,Tujia,theta_w,0.00016148848795560647,1.4262952248677719e-05,0.0002525528833952304,0.18181818181818182
Qiang,Yi,theta_w,0.0002645270825909758,-8.223449958023674e-05,0.0003466713029240709,0.45454545454545453
Qiang,Zang,theta_w,-3.048180600489505e-05,-0.00021148824691618213,0.00010630529844207137,0.8181818181818182
Tujia,Yi,theta_w,0.0001030385946353693,-9.993550605361616e-05,0.00028693978359257933,0.6363636363636364
Tujia,Zang,theta_w,-0.00019197029396050152,-0.00025978036810057507,-0.0001037428823028436,0.5454545454545454
Yi,Zang,theta_w,-0.00029500888859587085,-0.00048043445629959773,-0.0001265666968434054,0.45454545454545453
