population,tajima_d
Bai,0.471790247039361
Han,-2.532740559960189
Hui,-0.0969221728322583
Man,-1.919986809394024
Miao,-0.5564014753076967
Mongol,-0.7510477978827323
Qiang,-1.3799566447904186
Tujia,0.23094759936783188
Yi,2.080327983442829
Zang,-1.0783641870151757
