population,pi
Bai,0.00023614968669913726
Han,0.00025043374658142786
Hui,0.00017564852729687894
Man,0.00024315017148270857
Miao,0.000239938184346717
Mongol,0.0002237427669138815
Qiang,0.00024318235761964447
Tujia,0.00024688376336727986
Yi,0.00016101115002213902
Zang,0.0002987034438341752
