"hap","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"C",-0.113428042411113,-0.0223656096848169,0.0954662620403132,0.16768686393732,0.171964381145521
"D",-0.0804860510052316,-0.0235847178504624,0.331357762566358,0.208442516929164,-0.259140753974418
"E",1.77743030235419,1.40534730806424,-0.000490138261358636,0.0666000768416781,-0.109072371442881
"F",0.443860490135753,0.408244818482184,2.60824985112999,-0.253806104707185,1.13476457818167
"J",1.30907827121862,0.576591453528125,0.00974495224516707,0.210258392822652,-0.0650538653259616
"N",0.196556424848768,-0.196071229922087,0.288430448959784,-0.0619854021493751,-0.0668300434813569
"O",-0.197837319182349,0.0478448350014708,-0.0603001667709146,-0.0479638621525992,-0.00572725375348252
"Q",0.259175214806618,-0.196332509331819,-0.0516907236831129,0.323319857365717,-0.0412011816941401
"R",1.81552587186792,-0.753086379075036,-0.202824159632347,-0.0611176574517505,0.0342663719490225
"G",0.80187403543048,0.107592681803887,-0.0562454325526726,-0.376976831586461,-0.0276538175177941
"H",4.49526121816664,5.08690307834089,0.163472018793609,-0.230247044273407,0.118955324654148
"I",2.61300798737117,0.216085429110608,-0.215409482365423,-0.776788010489117,-0.00850481313874555
"K",2.01269756343559,-0.469674761261319,3.32468053394028,-1.75398202205543,0.178318730631378
"L",3.2854211931883,3.66056756912716,-0.0107820226253807,0.195519023122642,-0.0565950055126006
"T",1.09896565328248,1.46671208118798,-0.264855885105075,-0.606115619225865,0.401144705182502
