"population","hap","count","freq"
"Han_noNWC","O",3692,0.773193717277487
"Han_NWCM","O",7217,0.66192790974961
"AESP","R",153,0.536842105263158
"ANWC","R",72,0.525547445255474
"ASEA","O",77,0.509933774834437
"ANEA","O",195,0.488721804511278
"ASEA","C",56,0.370860927152318
"ASAF","R",31,0.267241379310345
"AEES","R",42,0.251497005988024
"AESP","N",66,0.231578947368421
"ANEA","N",92,0.230576441102757
"AEES","C",38,0.227544910179641
"ASAF","J",25,0.21551724137931
"AEES","Q",32,0.191616766467066
"AEES","N",31,0.18562874251497
"ANWC","Q",22,0.160583941605839
"ASAF","L",16,0.137931034482759
"Han_NWCM","C",1238,0.113546730257727
"ANEA","C",43,0.107769423558897
"Han_noNWC","C",480,0.100523560209424
"ANEA","D",40,0.100250626566416
"ANWC","N",12,0.0875912408759124
"ASAF","E",10,0.0862068965517241
"ANWC","O",11,0.0802919708029197
"ASAF","H",9,0.0775862068965517
"Han_NWCM","N",845,0.0775016050628267
"AESP","J",20,0.0701754385964912
"Han_noNWC","N",297,0.0621989528795812
"AEES","J",10,0.0598802395209581
"AESP","Q",17,0.0596491228070175
"AEES","O",9,0.0538922155688623
"ANWC","J",7,0.0510948905109489
"Han_NWCM","D",525,0.048151884802348
"ASEA","D",7,0.0463576158940397
"ASEA","N",7,0.0463576158940397
"Han_NWCM","Q",482,0.0442080161423461
"ASAF","N",5,0.0431034482758621
"ASAF","Q",5,0.0431034482758621
"ANWC","C",5,0.0364963503649635
"ASAF","O",4,0.0344827586206897
"Han_NWCM","R",364,0.0333853067962946
"Han_noNWC","Q",132,0.0276439790575916
"ASAF","T",3,0.0258620689655172
"ANEA","Q",10,0.025062656641604
"ANWC","D",3,0.0218978102189781
"AEES","D",3,0.0179640718562874
"AESP","C",5,0.0175438596491228
"AESP","E",5,0.0175438596491228
"ANEA","K",7,0.0175438596491228
"ASAF","G",2,0.0172413793103448
"ASAF","I",2,0.0172413793103448
"ANEA","F",6,0.0150375939849624
"ANWC","L",2,0.0145985401459854
"AESP","G",4,0.0140350877192982
"AESP","I",4,0.0140350877192982
"AESP","K",4,0.0140350877192982
"Han_NWCM","J",147,0.0134825277446574
"ASEA","F",2,0.0132450331125828
"Han_noNWC","D",63,0.0131937172774869
"Han_noNWC","R",57,0.0119371727748691
"ASAF","C",1,0.00862068965517241
"ASAF","D",1,0.00862068965517241
"ASAF","F",1,0.00862068965517241
"ASAF","K",1,0.00862068965517241
"ANEA","R",3,0.0075187969924812
"ANWC","E",1,0.0072992700729927
"ANWC","G",1,0.0072992700729927
"ANWC","I",1,0.0072992700729927
"AESP","H",2,0.00701754385964912
"AESP","L",2,0.00701754385964912
"ASEA","K",1,0.00662251655629139
"ASEA","R",1,0.00662251655629139
"AEES","E",1,0.00598802395209581
"AEES","F",1,0.00598802395209581
"ANEA","J",2,0.0050125313283208
"Han_noNWC","J",20,0.00418848167539267
"AESP","D",1,0.00350877192982456
"AESP","O",1,0.00350877192982456
"AESP","T",1,0.00350877192982456
"Han_NWCM","E",33,0.00302668990186187
"ANEA","G",1,0.0025062656641604
"Han_noNWC","G",11,0.00230366492146597
"Han_noNWC","T",11,0.00230366492146597
"Han_NWCM","G",20,0.00183435751627992
"Han_NWCM","L",18,0.00165092176465193
"Han_noNWC","E",4,0.000837696335078534
"Han_noNWC","F",4,0.000837696335078534
"Han_NWCM","I",5,0.000458589379069981
"Han_noNWC","I",2,0.000418848167539267
"Han_NWCM","H",4,0.000366871503255985
"Han_NWCM","T",4,0.000366871503255985
"Han_noNWC","H",1,0.000209424083769634
"Han_noNWC","L",1,0.000209424083769634
"Han_NWCM","F",1,9.17178758139961e-05
