"hap","population","a","b","c","d","p","odds","padj"
"R","AESP",153,132,16078,NA,2.3582212713236e-135,32.6386156557961,2.82986552558832e-133
"O","AESP",1,284,5443,NA,3.25114229130105e-134,0.00172431647945603,1.95068537478063e-132
"O","Han_noNWC",3692,1083,4644,NA,1.02240729845298e-85,2.10687139662358,4.08962919381191e-84
"O","AEES",9,158,5569,NA,5.84472524252537e-63,0.028335552252072,1.75341757275761e-61
"R","ANWC",72,65,16145,NA,5.82220159810704e-62,27.4509301101218,1.39732838354569e-60
"O","ASAF",4,112,5615,NA,1.2940244815717e-47,0.017886713299414,2.58804896314339e-46
"O","ANWC",11,126,5601,NA,1.21626216205997e-46,0.0436844137320916,2.08502084924566e-45
"R","Han_noNWC",57,4718,11492,NA,1.7831427970636e-43,0.20846397264477,2.6747141955954e-42
"D","Han_noNWC",63,4712,11578,NA,5.2839733396657e-31,0.266880044657934,7.04529778622093e-30
"L","ASAF",16,100,16794,NA,2.65858982523487e-25,116.232670111802,3.19030779028184e-24
"J","ASAF",25,91,16611,NA,3.44347328845478e-23,22.1269820867332,3.75651631467794e-22
"D","Han_NWCM",525,10378,5912,NA,1.45433233318268e-22,2.53440724472427,1.45433233318268e-21
"R","AEES",42,125,16085,NA,3.47293509486258e-21,7.93498041849191,3.20578624141162e-20
"N","ANEA",92,307,15271,NA,5.21838283887869e-21,3.62284286043522,4.47289957618174e-20
"C","ASEA",56,95,14972,NA,3.25055876473339e-17,4.8753313294535,2.60044701178671e-16
"R","ASAF",31,85,16125,NA,8.75095339586173e-17,8.49634934380235,6.5632150468963e-16
"H","ASAF",9,107,16810,NA,2.66268517071841e-16,200.8868561624,1.87954247344829e-15
"N","AESP",66,219,15359,NA,1.67748807371946e-15,3.59049709596762,1.11832538247964e-14
"R","Han_NWCM",364,10539,5671,NA,3.42737907427995e-15,0.545591145683646,2.16466046796628e-14
"J","Han_noNWC",20,4755,11947,NA,2.7572897419727e-13,0.238152369334595,1.63753910105226e-12
