"hap","population","a","b","c","d","p","odds","padj"
"Q","AEES",32,135,16098,NA,2.86569342684145e-13,5.71092495934575,1.63753910105226e-12
"O","ANEA",195,204,5523,NA,6.36463390766049e-13,0.479472207154695,3.47161849508754e-12
"E","ASAF",10,106,16773,NA,2.85063909116565e-12,35.9062830217472,1.48728996060816e-11
"J","AESP",20,265,16437,NA,2.33747443870473e-09,5.87776023158453,1.16873721935236e-08
"C","AESP",5,280,14787,NA,2.62606204433288e-09,0.141896051646406,1.26050978127978e-08
"K","ANEA",7,392,16528,NA,5.81347913974667e-09,49.1349661496478,2.68314421834462e-08
"Q","Han_noNWC",132,4643,11590,NA,7.78493799964937e-09,0.580126585234885,3.45997244428861e-08
"D","ANEA",40,359,15931,NA,2.2533174463061e-08,2.94336475595137,9.6570747698833e-08
"Q","ANWC",22,115,16118,NA,4.51525018573e-08,4.54696950453431,1.86837938719862e-07
"N","Han_noNWC",297,4478,11100,NA,4.91541531647451e-08,0.695854375329467,1.9661661265898e-07
"F","ANEA",6,393,16525,NA,6.89240431242443e-07,28.0134735728706,2.6680274757772e-06
"K","Han_NWCM",0,10903,6017,NA,1.46880332064032e-06,0,5.50801245240119e-06
"F","Han_NWCM",1,10902,6016,NA,5.2347335071277e-06,0.0394218304198288,1.90353945713735e-05
"N","AEES",31,136,15442,NA,9.02664649529737e-06,2.65826436314698,3.18587523363437e-05
"C","AEES",38,129,14938,NA,1.52351959113497e-05,2.40696509417237,5.22349574103417e-05
"C","ASAF",1,115,14952,NA,3.6159146003761e-05,0.0697187157103797,0.000120530486679203
"R","ANEA",3,396,15814,NA,4.63127510074426e-05,0.166401764636984,0.000150203516780895
"K","AESP",4,281,16639,NA,4.98403349826241e-05,26.2708314157592,0.000157390531524076
"L","Han_noNWC",1,4774,12120,NA,5.35381301320625e-05,0.0668141128395028,0.000164732708098654
"I","AESP",4,281,16638,NA,6.8854233445993e-05,23.6595019612767,0.000206562700337979
"J","AEES",10,157,16545,NA,0.000100356434766539,4.76742214214835,0.000293726150536212
"O","ASEA",77,74,5653,NA,0.000127435237896753,0.528545808021308,0.000364100679705009
"T","Han_NWCM",4,10899,6015,NA,0.00014305564940086,0.147186254971976,0.000399225068095424
"E","Han_noNWC",4,4771,12108,NA,0.000224112980536447,0.20303167993006,0.000611217219644856
"T","ASAF",3,113,16801,NA,0.000280197234073703,27.8525923848329,0.000747192624196542
"D","AESP",1,284,16006,NA,0.000418565220831423,0.0878153726821376,0.00109190927173415
"E","AESP",5,280,16599,NA,0.00210274443200272,6.04750175645824,0.00536870918809205
"H","Han_NWCM",4,10899,6018,NA,0.00241301336289027,0.184073475826905,0.00603253340722569
"J","ANWC",7,130,16572,NA,0.00275881285855118,3.9830001136405,0.0067562763882886
"Q","ASEA",0,151,16082,NA,0.003148762849581,0,0.00755703083899439
"C","ANWC",5,132,14935,NA,0.00356467663592607,0.304000413801329,0.0083874744374731
"I","ASAF",2,114,16805,NA,0.00401214129899931,24.5256058317184,0.00920690818575936
"G","AESP",4,281,16613,NA,0.00406638444871039,6.75455125873129,0.00920690818575936
"F","ASEA",2,149,16769,NA,0.00768658407360366,17.3000320882677,0.0170812979413415
"T","Han_noNWC",11,4764,12150,NA,0.00816916000846009,3.50624648409371,0.0178236218366402
"C","Han_noNWC",480,4295,10772,NA,0.0120914018342056,0.868577369748381,0.0259101467875834
"Q","Han_NWCM",482,10421,5812,NA,0.0123949188877633,1.2330691329769,0.0260945660795017
"R","ASEA",1,150,16060,NA,0.0231400521020968,0.148293234393472,0.0478759698664072
"K","Han_noNWC",0,4775,12145,NA,0.0257635901147546,0,0.0524005222672974
"L","Han_NWCM",18,10885,6009,NA,0.0279919569885545,0.473193844622039,0.055983913977109
"H","AESP",2,283,16634,NA,0.0289990136566784,8.39358350965425,0.0565868666504578
"G","ASAF",2,114,16780,NA,0.0292365477694032,7.95332910909363,0.0565868666504578
"L","ANWC",2,135,16759,NA,0.0396250364075183,6.70811886206034,0.0754762598238443
"I","Han_NWCM",5,10898,6021,NA,0.0456776116172499,0.306959646186872,0.0856455217823437
"H","Han_noNWC",1,4774,12143,NA,0.0533003823838308,0.169578228312691,0.09840070593938
"C","Han_NWCM",1238,9665,5402,NA,0.0614437130062704,1.10184152479121,0.111715841829583
"K","ASAF",1,115,16805,NA,0.0855158145636569,12.1699738756663,0.153162652949833
"G","Han_NWCM",20,10883,6011,NA,0.0951497026005112,0.58139046147592,0.167911239883255
"F","ASAF",1,115,16803,NA,0.0980122267607045,10.4293766012634,0.170456046540356
"I","ANWC",1,136,16783,NA,0.107540824921775,9.48942522041167,0.183708835433551
"K","ASEA",1,150,16770,NA,0.109960051794022,9.31278290096441,0.183708835433551
"N","Han_NWCM",845,10058,5520,NA,0.110225301260131,0.909321424743801,0.183708835433551
"Q","ANEA",10,389,15844,NA,0.124525653040194,0.590292786370351,0.204699703627715
"Q","AESP",17,268,15965,NA,0.130590589927768,1.48266946320188,0.211768524207191
"D","ASAF",1,115,16175,NA,0.136293562121139,0.21909485200516,0.217639127038875
"F","AEES",1,166,16752,NA,0.138200054866383,7.20704211060083,0.217639127038875
"L","AESP",2,283,16611,NA,0.139651773183278,3.17232238722062,0.217639127038875
"N","ASAF",5,111,15467,NA,0.169031870413948,0.516116595389921,0.260049031406074
"N","ASEA",7,144,15434,NA,0.172115954418798,0.556608553968662,0.261441956079186
"J","ANEA",2,397,16305,NA,0.184761215963091,0.358708490505116,0.277141823944636
"D","AEES",3,164,16126,NA,0.221431550655208,0.460933501386166,0.328046741711419
"G","ANWC",1,136,16758,NA,0.27179930139438,3.24219014073834,0.39478803739644
"T","AESP",1,284,16630,NA,0.275797730203532,3.25267513211679,0.39478803739644
"J","ASEA",0,151,16551,NA,0.276351626177508,0,0.39478803739644
"E","ANWC",1,136,16743,NA,0.355555223889156,2.3226139087746,0.501960316078808
"I","Han_noNWC",2,4773,12146,NA,0.374822342972951,0.424139073114717,0.523007920427374
"E","AEES",1,166,16713,NA,0.414949257390457,1.89955189870667,0.572343803297182
"D","ANWC",3,134,16156,NA,0.496180399939418,0.565168110847458,0.676609636281024
"D","ASEA",7,144,16146,NA,0.519969458901762,1.23406148548347,0.701082416496757
"G","ANEA",1,398,16496,NA,0.605853535084928,1.09070498187447,0.807804713446571
"E","ANEA",0,399,16480,NA,0.640024575685213,0,0.843988451453028
"E","Han_NWCM",33,10870,6009,NA,0.66974416036863,0.868707772155158,0.873579339611256
"N","ANWC",12,125,15453,NA,0.750670924272398,1.10457983574348,0.968607644222449
"Q","ASAF",5,111,16122,NA,0.814689608641434,1.04493071798511,1
"J","Han_NWCM",147,10756,5946,NA,0.835658032214887,0.967388122529981,1
"C","ANEA",43,356,14711,NA,0.935598255415336,0.97470705822118,1
"O","Han_NWCM",7217,3686,2041,NA,0.959422771437599,1.00179838797003,1
"I","ASEA",0,151,16768,NA,1,0,1
"K","ANWC",0,137,16783,NA,1,0,1
"G","Han_noNWC",11,4764,12130,NA,1,1.0002725062508,1
"G","AEES",0,167,16727,NA,1,0,1
"G","ASEA",0,151,16743,NA,1,0,1
"F","Han_noNWC",4,4771,12147,NA,1,0.925825562369467,1
"F","ANWC",0,137,16781,NA,1,0,1
"H","AEES",0,167,16750,NA,1,0,1
"H","ANEA",0,399,16518,NA,1,0,1
"H","ANWC",0,137,16780,NA,1,0,1
"H","ASEA",0,151,16766,NA,1,0,1
"T","AEES",0,167,16747,NA,1,0,1
"T","ANEA",0,399,16515,NA,1,0,1
"T","ANWC",0,137,16777,NA,1,0,1
"T","ASEA",0,151,16763,NA,1,0,1
"I","AEES",0,167,16752,NA,1,0,1
"I","ANEA",0,399,16520,NA,1,0,1
"E","ASEA",0,151,16728,NA,1,0,1
"L","AEES",0,167,16727,NA,1,0,1
"L","ANEA",0,399,16495,NA,1,0,1
"L","ASEA",0,151,16743,NA,1,0,1
"K","AEES",0,167,16753,NA,1,0,1
"F","AESP",0,285,16633,NA,1,0,1
