"population","C","D","E","F","J","N","O","Q","R","G","H","I","K","L","T"
"AEES",0.227544910179641,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.0598802395209581,0.18562874251497,0.0538922155688623,0.191616766467066,0.251497005988024,0,0,0,0,0,0
"AESP",0.0175438596491228,0.00350877192982456,0.0175438596491228,0,0.0701754385964912,0.231578947368421,0.00350877192982456,0.0596491228070175,0.536842105263158,0.0140350877192982,0.00701754385964912,0.0140350877192982,0.0140350877192982,0.00701754385964912,0.00350877192982456
"ANEA",0.107769423558897,0.100250626566416,0,0.0150375939849624,0.0050125313283208,0.230576441102757,0.488721804511278,0.025062656641604,0.0075187969924812,0.0025062656641604,0,0,0.0175438596491228,0,0
"ANWC",0.0364963503649635,0.0218978102189781,0.0072992700729927,0,0.0510948905109489,0.0875912408759124,0.0802919708029197,0.160583941605839,0.525547445255474,0.0072992700729927,0,0.0072992700729927,0,0.0145985401459854,0
"ASAF",0.00862068965517241,0.00862068965517241,0.0862068965517241,0.00862068965517241,0.21551724137931,0.0431034482758621,0.0344827586206897,0.0431034482758621,0.267241379310345,0.0172413793103448,0.0775862068965517,0.0172413793103448,0.00862068965517241,0.137931034482759,0.0258620689655172
"ASEA",0.370860927152318,0.0463576158940397,0,0.0132450331125828,0,0.0463576158940397,0.509933774834437,0,0.00662251655629139,0,0,0,0.00662251655629139,0,0
"Han_NWCM",0.113546730257727,0.048151884802348,0.00302668990186187,9.17178758139961e-05,0.0134825277446574,0.0775016050628267,0.66192790974961,0.0442080161423461,0.0333853067962946,0.00183435751627992,0.000366871503255985,0.000458589379069981,0,0.00165092176465193,0.000366871503255985
"Han_noNWC",0.100523560209424,0.0131937172774869,0.000837696335078534,0.000837696335078534,0.00418848167539267,0.0621989528795812,0.773193717277487,0.0276439790575916,0.0119371727748691,0.00230366492146597,0.000209424083769634,0.000418848167539267,0,0.000209424083769634,0.00230366492146597
