"","AEES","AESP","ANEA","ANWC","ASAF","ASEA","Han_NWCM","Han_noNWC"
"AEES",0,0.412795461708163,0.591163537586481,0.334892259277066,0.538715672104068,0.641630645992783,0.642901118793322,0.724746527886635
"AESP",0.412795461708163,0,0.690726817042607,0.222640542963248,0.488959467634604,0.915835947484606,0.799156839176728,0.863187287590705
"ANEA",0.591163537586481,0.690726817042607,0,0.73362237711066,0.847830783856192,0.28430347391658,0.23833522171015,0.295450668556207
"ANWC",0.334892259277066,0.222640542963248,0.73362237711066,0,0.507236345330984,0.808333736162808,0.68576585430515,0.760279741659342
"ASAF",0.538715672104068,0.488959467634604,0.847830783856192,0.507236345330984,0,0.883306691025348,0.8074051115321,0.854282361437082
"ASEA",0.641630645992783,0.915835947484606,0.28430347391658,0.808333736162808,0.883306691025348,0,0.277090028687651,0.322531118893242
"Han_NWCM",0.642901118793322,0.799156839176728,0.23833522171015,0.68576585430515,0.8074051115321,0.277090028687651,0,0.114417886810537
"Han_noNWC",0.724746527886635,0.863187287590705,0.295450668556207,0.760279741659342,0.854282361437082,0.322531118893242,0.114417886810537,0
