"","Mongol_Zavkhan(Oversea)","Mongol_Khovd(Oversea)","Balochi_Pakistan(Oversea)","Kalash_Pakistan(Oversea)"
"Mongol_Zavkhan(Oversea)",0,0.0109506870335495,0.0121549237742068,0.0937591134441528
"Mongol_Khovd(Oversea)",0.0109506870335495,0,0.00175502299685293,0.101470769991348
"Balochi_Pakistan(Oversea)",0.0121549237742068,0.00175502299685293,0,0.0862613868748838
"Kalash_Pakistan(Oversea)",0.0937591134441528,0.101470769991348,0.0862613868748838,0
