"rep","population","Haplogroup","freq"
1,"Han_NWCM","C2b1b",0.125
1,"Han_NWCM","D1a1a",0.125
1,"Han_NWCM","J1a3a",0.25
1,"Han_NWCM","O1a1a",0.125
1,"Han_NWCM","O2a1b",0.125
1,"Han_NWCM","O2a2b",0.125
1,"Han_NWCM","R1a1a",0.125
1,"Han_noNWC","C2b1b",0.5
1,"Han_noNWC","O2a2b",0.5
