"population","hap","count","freq","class"
"AEES","C",1,0.00598802395209581,"Singleton"
"AEES","C2",37,0.221556886227545,"Common"
"AEES","D1",3,0.0179640718562874,"Rare"
"AEES","E1",1,0.00598802395209581,"Singleton"
"AEES","F",1,0.00598802395209581,"Singleton"
"AEES","J1",5,0.029940119760479,"Rare"
"AEES","J2",5,0.029940119760479,"Rare"
"AEES","N",2,0.0119760479041916,"Doubleton"
"AEES","N1",24,0.143712574850299,"Common"
"AEES","N2",4,0.0239520958083832,"Rare"
"AEES","No",1,0.00598802395209581,"Singleton"
"AEES","O1",2,0.0119760479041916,"Doubleton"
"AEES","O2",7,0.0419161676646707,"Rare"
"AEES","Q1",32,0.191616766467066,"Common"
"AEES","R1",42,0.251497005988024,"Common"
"AESP","C",1,0.00350877192982456,"Singleton"
"AESP","C2",4,0.0140350877192982,"Rare"
"AESP","D1",1,0.00350877192982456,"Singleton"
"AESP","E1",5,0.0175438596491228,"Rare"
"AESP","G2",4,0.0140350877192982,"Rare"
"AESP","H",1,0.00350877192982456,"Singleton"
"AESP","H1",1,0.00350877192982456,"Singleton"
"AESP","I2",4,0.0140350877192982,"Rare"
"AESP","J",1,0.00350877192982456,"Singleton"
"AESP","J1",7,0.0245614035087719,"Rare"
"AESP","J2",12,0.0421052631578947,"Rare"
"AESP","K2",4,0.0140350877192982,"Rare"
"AESP","L1",2,0.00701754385964912,"Doubleton"
"AESP","N1",60,0.210526315789474,"Common"
"AESP","N2",1,0.00350877192982456,"Singleton"
"AESP","No",5,0.0175438596491228,"Rare"
"AESP","O1",1,0.00350877192982456,"Singleton"
"AESP","Q",1,0.00350877192982456,"Singleton"
"AESP","Q1",16,0.056140350877193,"Common"
"AESP","R",1,0.00350877192982456,"Singleton"
"AESP","R1",143,0.501754385964912,"Common"
"AESP","R2",9,0.0315789473684211,"Rare"
"AESP","T1",1,0.00350877192982456,"Singleton"
"ANEA","C",1,0.0025062656641604,"Singleton"
"ANEA","C2",42,0.105263157894737,"Common"
"ANEA","D1",40,0.100250626566416,"Common"
"ANEA","F",6,0.0150375939849624,"Rare"
"ANEA","G2",1,0.0025062656641604,"Singleton"
"ANEA","J2",2,0.0050125313283208,"Doubleton"
"ANEA","K2",7,0.0175438596491228,"Rare"
"ANEA","N",1,0.0025062656641604,"Singleton"
"ANEA","N1",89,0.223057644110276,"Common"
"ANEA","No",2,0.0050125313283208,"Doubleton"
"ANEA","O1",34,0.0852130325814536,"Common"
"ANEA","O2",161,0.403508771929825,"Common"
"ANEA","Q1",10,0.025062656641604,"Rare"
"ANEA","R1",3,0.0075187969924812,"Very rare"
"ANWC","C2",5,0.0364963503649635,"Rare"
"ANWC","D1",3,0.0218978102189781,"Rare"
"ANWC","E1",1,0.0072992700729927,"Singleton"
