"population","Common","Doubleton","Rare","Singleton","Very rare"
"AEES",4,2,5,4,0
"AESP",3,1,9,10,0
"ANEA",5,2,3,3,1
"ANWC",4,2,5,4,0
"ASAF",6,3,5,6,0
"ASEA",3,1,4,3,0
"Han_NWCM",4,1,3,2,13
"Han_noNWC",4,2,3,7,8
