"population","C","C2","D1","E1","F","J1","J2","N","N1","N2","No","O1","O2","Q1","R1","G2","H","H1","I2","J","K2","L1","Q","R","R2","T1","Q2","C1","H3","F2","G1","I1","O","T"
"AEES",0.00598802395209581,0.221556886227545,0.0179640718562874,0.00598802395209581,0.00598802395209581,0.029940119760479,0.029940119760479,0.0119760479041916,0.143712574850299,0.0239520958083832,0.00598802395209581,0.0119760479041916,0.0419161676646707,0.191616766467066,0.251497005988024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AESP",0.00350877192982456,0.0140350877192982,0.00350877192982456,0.0175438596491228,0,0.0245614035087719,0.0421052631578947,0,0.210526315789474,0.00350877192982456,0.0175438596491228,0.00350877192982456,0,0.056140350877193,0.501754385964912,0.0140350877192982,0.00350877192982456,0.00350877192982456,0.0140350877192982,0.00350877192982456,0.0140350877192982,0.00701754385964912,0.00350877192982456,0.00350877192982456,0.0315789473684211,0.00350877192982456,0,0,0,0,0,0,0,0
"ANEA",0.0025062656641604,0.105263157894737,0.100250626566416,0,0.0150375939849624,0,0.0050125313283208,0.0025062656641604,0.223057644110276,0,0.0050125313283208,0.0852130325814536,0.403508771929825,0.025062656641604,0.0075187969924812,0.0025062656641604,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANWC",0,0.0364963503649635,0.0218978102189781,0.0072992700729927,0,0.0145985401459854,0.0364963503649635,0.0072992700729927,0.0583941605839416,0.0218978102189781,0,0,0.0802919708029197,0.124087591240876,0.525547445255474,0.0072992700729927,0,0,0.0072992700729927,0,0,0.0145985401459854,0,0,0,0,0.0364963503649635,0,0,0,0,0,0,0
"ASAF",0,0,0.00862068965517241,0.0862068965517241,0.00862068965517241,0.0344827586206897,0.163793103448276,0,0,0,0.0431034482758621,0.0344827586206897,0,0.00862068965517241,0.103448275862069,0.0172413793103448,0,0.0689655172413793,0.0172413793103448,0.0172413793103448,0.00862068965517241,0.137931034482759,0,0,0.163793103448276,0.0258620689655172,0.0344827586206897,0.00862068965517241,0.00862068965517241,0,0,0,0,0
"ASEA",0.0198675496688742,0.304635761589404,0.0463576158940397,0,0.0132450331125828,0,0,0,0.0397350993377483,0,0.00662251655629139,0.258278145695364,0.251655629139073,0,0.00662251655629139,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0.0463576158940397,0,0,0,0,0,0
"Han_NWCM",0,0.112079244244703,0.048151884802348,0.00302668990186187,0,0.00174263964046593,0.0070622764376777,0,0.0774098871870127,9.17178758139961e-05,0,0.13794368522425,0.52398422452536,0.0436577088874622,0.0305420526460607,0.00155920388883793,0,0.000366871503255985,0.000275153627441988,0.0046776116665138,0,0.00165092176465193,0,0,0.00284325415023388,0.000366871503255985,0.000550307254883977,0.00146748601302394,0,9.17178758139961e-05,0.000275153627441988,0.000183435751627992,0,0
"Han_noNWC",0,0.0990575916230367,0.0131937172774869,0.000837696335078534,0.000837696335078534,0,0.00356020942408377,0.000209424083769634,0.0619895287958115,0,0,0.230575916230366,0.542408376963351,0.0272251308900524,0.0110994764397906,0.0018848167539267,0.000209424083769634,0,0.000209424083769634,0.0006282722513089,0,0.000209424083769634,0,0.000209424083769634,0.0006282722513089,0,0.000418848167539267,0.00146596858638743,0,0,0.000418848167539267,0.000209424083769634,0.000209424083769634,0.00230366492146597
