"","AEES","AESP","ANEA","ANWC","ASAF","ASEA","Han_NWCM","Han_noNWC"
"AEES",0,0.408575097985047,0.525247305939918,0.335604701678366,0.676439423912182,0.574178757013467,0.52895531035597,0.590239534079822
"AESP",0.408575097985047,0,0.656714703380152,0.343151111273083,0.561362948335099,0.746844209598677,0.669293404761445,0.719220948504351
"ANEA",0.525247305939918,0.656714703380152,0,0.613751069140074,0.761373700756995,0.361636760686017,0.23712463196031,0.28596495288681
"ANWC",0.335604701678366,0.343151111273083,0.613751069140074,0,0.623419738120333,0.686262637049599,0.579096551533407,0.636923437280744
"ASAF",0.676439423912182,0.561362948335099,0.761373700756995,0.623419738120333,0,0.762486840153429,0.734213371617769,0.763554369076334
"ASEA",0.574178757013467,0.746844209598677,0.361636760686017,0.686262637049599,0.762486840153429,0,0.342279395702304,0.321238265549283
"Han_NWCM",0.52895531035597,0.669293404761445,0.23712463196031,0.579096551533407,0.734213371617769,0.342279395702304,0,0.140447965096716
"Han_noNWC",0.590239534079822,0.719220948504351,0.28596495288681,0.636923437280744,0.763554369076334,0.321238265549283,0.140447965096716,0
