"hap","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"C",0.105262849754078,0.253191524368374,15.4925359761879,4.14001905165533,10.6633228677667
"C2",0.463150878621458,0.00813408343990133,3.96674766244295,10.0972939338379,0.598842457599863
"D1",0.0827367790083396,0.000908584560183438,5.37237876512666,0.586332183535322,21.1434822829588
"E1",4.00411034983831,2.36431874960466,0.0556764750973035,0.011042865872952,0.172194833732779
"F",0.10718888500285,0.078062180483339,15.995571807094,1.29930455235804,0.101393851363924
"J1",3.18676668975185,0.286638683488165,0.0162939410084004,0.824171168240441,0.0636420740781375
"J2",7.07692915112047,1.7501288990589,0.120346414931178,0.28570723949979,0.196511361220662
"N",0.208319859253761,0.853147849172639,0.143818938529672,9.72268367003426,0.137829476667172
"N1",0.223420865811424,1.95659392051811,11.7075881449303,3.48468157517201,7.70192834522668
"N2",1.14786615986931,3.6514448643581,0.78876890761031,23.1309992476332,0.000122771845696356
"No",5.81570326059518,1.0307885618109,4.35376929914462,1.23382772567645,0.772556575905487
"O1",2.09750341195204,1.17026232998532,1.00970944553842,0.70851805399086,30.3445682340399
"O2",5.42942065719249,1.54178671216318,4.16896391811246,1.56208487292208,1.16266180421176
"Q1",0.285323402522967,1.96228008644437,0.759049485688503,9.68331465277934,4.24423703992907
"R1",28.6805291888275,42.737532603753,3.04837095166394,2.30579537633519,1.57632290745124
"G2",0.582332494543811,0.000507153721352584,0.000384407559771583,1.2116061336082,0.110472985490679
"H",0.138362397663721,0.230763984406723,0.0385964570909949,2.34415296797731,0.563795911244504
"H1",7.55610374403238,11.3122534154894,0.0274914606010253,0.207363727057824,0.0072888494717045
"I2",2.34266311044756,0.0216022654229154,0.0078307929548421,2.79506508327799,0.462664473587374
"J",0.0686232178868518,0.145712707774561,0.0555743478596868,0.000217298424575021,1.82917368045916
"K2",0.936832525022386,0.163193895403699,20.3201896417015,4.79535089614068,0.469416228644881
"L1",10.9290719436454,13.0925691756839,0.563684859217855,1.23801522170954,0.101602754533369
"Q",0.333621410269108,0.51605958088004,0.178409336723952,4.1512605388394,0.294438685524235
"R",0.138362397663721,0.230763984406723,0.0385964570909949,2.34415296797731,0.563795911244504
"R2",11.650275513712,9.50517204089557,0.00139438446340463,1.42048117664874,0.00983495599107436
"T1",2.03891173310979,2.11373908831094,0.00016080328792701,0.0432518367746846,0.0181670700339091
"Q2",2.94671342006732,0.27104150618664,4.28482522104943,6.46303977404483,0.0541224662183747
"C1",0.00561090240090039,0.161121944953232,7.17610362609197,3.50694375399328,13.3213215977792
"H3",1.37937871803655,2.5693744809361,0.0126316654622317,0.198933395163095,0.000215544993413421
"F2",0.000242456453509903,2.95902013988033e-05,0.000916273397260201,0.000772500913472177,0.058551504158556
"G1",0.00448918679702483,0.00178030175907163,0.0288660718507836,0.00592981462454923,0.0195432388156282
"I1",0.00227950655160651,0.000829795349868917,0.0140205242323239,0.0017374968885669,0.000415618886300975
"O",0.00265774438119521,0.00152212125073431,0.0208944613547831,0.0163291038660606,0.2696301365771
"T",0.0292351881931473,0.0167433337580774,0.229839074902614,0.179620142526667,2.9659315023481
