"hap","population","a","b","c","d","p","odds","padj"
"R1","AESP",143,142,16132,NA,9.26816610104947e-127,31.4563914342237,2.52094117948546e-124
"O2","AESP",0,285,8128,NA,2.25204886729477e-88,0,3.06278645952089e-86
"R1","ANWC",72,65,16209,NA,6.55241892589675e-65,30.5553762067806,5.94085982614639e-63
"O1","Han_noNWC",1101,3674,10574,NA,6.05994120882992e-55,2.00041716866446,4.12076002200434e-53
"O2","AEES",7,160,8253,NA,8.63456664022491e-40,0.0424154103683975,4.69720425228235e-38
"R1","Han_noNWC",53,4722,11552,NA,4.35359200966899e-39,0.213957463938569,1.97362837771661e-37
"O2","ASAF",0,116,8297,NA,3.8612396254588e-36,0,1.50036739732113e-34
"D1","Han_noNWC",63,4712,11578,NA,5.2839733396657e-31,0.266880044657934,1.79655093548634e-29
"R2","ASAF",19,97,16774,NA,5.43803200979074e-27,76.2033596556349,1.64349411851453e-25
"O2","ANWC",11,126,8287,NA,1.47691807223356e-26,0.0850580371216582,4.01721715647529e-25
"L1","ASAF",16,100,16794,NA,2.65858982523487e-25,116.232670111802,6.57396756785349e-24
"R1","AEES",42,125,16149,NA,1.01535495124046e-22,8.79162386379563,2.30147122281172e-21
"D1","Han_NWCM",525,10378,5912,NA,1.45433233318268e-22,2.53440724472427,3.04291072788992e-21
"O1","Han_NWCM",1504,9399,4849,NA,1.76346600574682e-22,0.656995065939763,3.42616252545096e-21
"O1","AESP",1,284,13964,NA,2.26056531324419e-20,0.0183356188044847,4.0991584346828e-19
"N1","ANEA",89,310,15296,NA,6.06414026538159e-20,3.54675564589638,1.03090384511487e-18
"J2","ASAF",19,97,16699,NA,7.40571587609492e-20,27.6946805461792,1.18491454017519e-18
"H1","ASAF",8,108,16812,NA,4.74868597451355e-15,247.488356308754,7.17579213926493e-14
"Q1","AEES",32,135,16116,NA,1.4113060833768e-13,5.87543338572768,1.92954985799574e-12
"R1","Han_NWCM",333,10570,5704,NA,1.41878666029099e-13,0.551226744421897,1.92954985799574e-12
"O2","Han_NWCM",5713,5190,3223,NA,3.14777048076621e-13,1.2638785324935,4.07711224175434e-12
"N1","AESP",60,225,15381,NA,1.10530496730004e-12,3.2368892573333,1.36655886866187e-11
"E1","ASAF",10,106,16773,NA,2.85063909116565e-12,35.9062830217472,3.3711905773785e-11
"C2","ASEA",46,105,14999,NA,3.21733341767359e-11,3.68490314617558,3.64631120669674e-10
"O1","ANWC",0,137,14111,NA,7.16980993801515e-11,0,7.80075321256049e-10
"O2","Han_noNWC",2590,2185,6228,NA,1.66002834361853e-10,1.2448994760531,1.73664503640093e-09
"O1","AEES",2,165,14083,NA,3.04754937435589e-10,0.063628111351631,3.07012381416593e-09
"O2","ASEA",38,113,8300,NA,3.73718911905078e-10,0.329076668582441,3.6304122870779e-09
"C2","AESP",4,281,14823,NA,8.72917967642209e-10,0.115625166348354,8.18736852409244e-09
"K2","ANEA",7,392,16528,NA,5.81347913974667e-09,49.1349661496478,5.27088775337031e-08
"C1","ASEA",7,144,16758,NA,8.5707930240724e-09,33.8960736455677,7.52017968563772e-08
"D1","ANEA",40,359,15931,NA,2.2533174463061e-08,2.94336475595137,1.91531982936019e-07
"Q1","Han_noNWC",130,4645,11606,NA,2.38977284549723e-08,0.588454993341258,1.96975216356136e-07
"No","ASAF",5,111,16808,NA,2.63633551168687e-08,83.8667229496785,2.1090684093495e-07
"Q2","ANWC",5,132,16784,NA,1.84389868818276e-07,52.8068013455964,1.43297269481632e-06
"N1","Han_noNWC",296,4479,11127,NA,4.21806974961796e-07,0.713235185814659,3.10164733506821e-06
"F","ANEA",6,393,16526,NA,4.21915262490896e-07,31.4986720779307,3.10164733506821e-06
"F","Han_NWCM",0,10903,6016,NA,5.22327989379006e-07,0,3.64290290028435e-06
"No","Han_NWCM",0,10903,6016,NA,5.22327989379006e-07,0,3.64290290028435e-06
"R2","AESP",9,276,16595,NA,8.87766211746353e-07,10.2061369469385,5.89962077653561e-06
"T","Han_noNWC",11,4764,12158,NA,8.89281072933677e-07,Inf,5.89962077653561e-06
"N2","AEES",4,163,16761,NA,1.10652020588312e-06,82.0475525357266,7.16603561905259e-06
"K2","Han_NWCM",0,10903,6017,NA,1.46880332064032e-06,0,9.29103495846898e-06
"No","AESP",5,280,16639,NA,2.30558882420222e-06,32.9674958479235,1.42527309132501e-05
"J1","AESP",7,278,16618,NA,2.37478281329958e-06,13.9428118475845,1.43542427826108e-05
"C2","ASAF",0,116,14988,NA,2.93344250350379e-06,0,1.73455730641963e-05
"J2","AESP",12,273,16523,NA,3.51318364181406e-06,5.8087684815289,2.03316159696473e-05
"Q2","ASAF",4,112,16804,NA,4.6452025156829e-06,46.0563980965673,2.63228142555364e-05
"R2","Han_noNWC",3,4772,12099,NA,5.85070737918028e-06,0.128926578642057,3.24773960640211e-05
"J1","Han_noNWC",0,4775,12121,NA,8.41144027068755e-06,0,4.57582350725403e-05
"T","Han_NWCM",0,10903,6019,NA,1.16108719410888e-05,0,6.19246503524738e-05
"C","ASEA",3,148,16779,NA,1.36330400265951e-05,112.733908849496,7.13112862929591e-05
"J2","Han_noNWC",17,4758,12038,NA,1.39583195078467e-05,0.358464614400921,7.16351491723456e-05
"T1","ASAF",3,113,16812,NA,1.71093200596965e-05,89.06054490426,8.61802788192122e-05
"O1","ANEA",34,365,13883,NA,2.06125936654884e-05,0.487840506664971,0.000101938645036597
"J","Han_noNWC",3,4772,12104,NA,2.12715141370005e-05,0.140921838007929,0.000103318782951145
"J","Han_NWCM",51,10852,6024,NA,2.22603594738122e-05,4.71760313963619,0.000106224873278543
"C2","AEES",37,130,14974,NA,2.30684705751987e-05,2.37805540466703,0.000108183172352656
"I2","AESP",4,281,16641,NA,2.36240710107696e-05,33.7954045430967,0.00010891097143948
"J1","AEES",5,162,16734,NA,2.96724108364383e-05,16.1285721197266,0.000134514929125187
"O1","ASAF",4,112,14136,NA,3.36680884923187e-05,0.188319485414523,0.000150126558523126
"Q1","ANWC",17,120,16131,NA,3.66474361187258e-05,3.43596542212052,0.000160775848778926
"N2","ANWC",3,134,16790,NA,4.19997754394767e-05,62.5863220921923,0.000181332363802185
"K2","AESP",4,281,16639,NA,4.98403349826241e-05,26.2708314157592,0.000211821423676152
"L1","Han_noNWC",1,4774,12120,NA,5.35381301320625e-05,0.0668141128395028,0.000224036483014169
"O2","ANEA",161,238,8175,NA,5.98829997383602e-05,0.661600205055794,0.000246790544376272
"J1","ASAF",4,112,16784,NA,0.000115972995630956,18.1440678929784,0.000470815743457014
"N1","ASAF",0,116,15490,NA,0.000160696946083036,0,0.000642787784332144
"R1","ANEA",3,396,15878,NA,0.000191992172482384,0.183374984061434,0.000756838708916066
"E1","Han_noNWC",4,4771,12108,NA,0.000224112980536447,0.20303167993006,0.000870839010084481
"D1","AESP",1,284,16006,NA,0.000418565220831423,0.0878153726821376,0.00160351746572038
"N","AEES",2,165,16763,NA,0.000948192653664259,67.6824159743865,0.00358206113606498
"O1","ASEA",39,112,14136,NA,0.00157014895490457,1.86017880070747,0.00583218948143695
"N2","Han_NWCM",1,10902,6022,NA,0.00158669860892035,0.0690538073857239,0.00583218948143695
"R1","ASAF",12,104,16170,NA,0.00186896426361555,2.88341033333964,0.00677811039604573
"C","Han_NWCM",0,10903,6024,NA,0.00203612538466239,0,0.00728718558721276
"E1","AESP",5,280,16599,NA,0.00210274443200272,6.04750175645824,0.00742787643512649
"G2","AESP",4,281,16618,NA,0.00244841124701417,7.88274842345002,0.00846194519260953
"I2","ASAF",2,114,16808,NA,0.00245769731697115,32.717506117464,0.00846194519260953
"Q1","Han_NWCM",476,10427,5824,NA,0.00251103100310175,1.29061148643889,0.00853750541054594
"Q1","ASEA",0,151,16100,NA,0.00311274156766465,0,0.0104526630420344
"N1","AEES",24,143,15463,NA,0.00345042811156111,1.99161457513772,0.0114453225163978
"C2","ANWC",5,132,14972,NA,0.00351662035115853,0.310935332130261,0.0115243462110256
"J2","ANWC",5,132,16664,NA,0.00513382776590844,4.7808049016406,0.0166238232419892
"N","Han_NWCM",0,10903,6025,NA,0.00572075195212696,0,0.0183064062468063
"F","ASEA",2,149,16770,NA,0.00670068900865956,18.7395380005046,0.0211928768645977
"H3","ASAF",1,115,16817,NA,0.00685052855371169,Inf,0.0214177444437883
"J2","AEES",5,162,16634,NA,0.0115684310001535,3.88874346793587,0.0357569685459291
"No","Han_noNWC",0,4775,12144,NA,0.0149274190825763,0,0.0456208762973118
"Q","AESP",1,284,16648,NA,0.016831039981102,Inf,0.0508671430539971
"H1","Han_NWCM",4,10899,6021,NA,0.0174671974085474,0.245553025527346,0.0522096450013725
"C2","Han_noNWC",473,4302,10802,NA,0.0193389562725113,0.875856638715101,0.0571760446317726
"Q2","Han_NWCM",6,10897,6019,NA,0.0196505095822106,0.301306457511381,0.0574724581329172
"I2","Han_NWCM",3,10900,6022,NA,0.0215829775687237,0.207200885233866,0.0624528712626898
"G2","ASAF",2,114,16785,NA,0.0226289144560623,9.19863877774406,0.0647901550741994
"C2","Han_NWCM",1222,9681,5423,NA,0.0228868263695682,1.12774300338752,0.0648460080471099
"R2","Han_NWCM",31,10872,5999,NA,0.0231676501718698,0.551835128436689,0.064964957182975
"H1","Han_noNWC",0,4775,12145,NA,0.0257635901147546,0,0.0707848132445782
"K2","Han_noNWC",0,4775,12145,NA,0.0257635901147546,0,0.0707848132445782
"L1","Han_NWCM",18,10885,6009,NA,0.0279919569885545,0.473193844622039,0.0761381230088682
"R1","ASEA",1,150,16124,NA,0.032427446300666,0.163366603429498,0.0873293603344668
"H","AESP",1,284,16647,NA,0.0333797733620012,58.4533796817492,0.0881485277132459
"R","AESP",1,284,16647,NA,0.0333797733620012,58.4533796817492,0.0881485277132459
"J1","ANWC",2,135,16761,NA,0.0359873613715972,7.09356763099723,0.0941207912795619
"L1","ANWC",2,135,16759,NA,0.0396250364075183,6.70811886206034,0.102151029681037
"N","ANWC",1,136,16792,NA,0.0398088571551099,30.831529468335,0.102151029681037
"No","ANEA",2,397,16522,NA,0.0418059374652124,6.93393275148347,0.106273037294746
"J2","Han_NWCM",77,10826,5970,NA,0.0486897167977208,0.707737521995041,0.122625953416482
"C","AEES",1,166,16761,NA,0.0577427497931763,20.1728783087141,0.143880753050085
"J","ASAF",2,114,16762,NA,0.0581870692481961,5.34612947830543,0.143880753050085
"N2","Han_noNWC",0,4775,12149,NA,0.0691842311189806,0,0.169532530309574
"I2","ANWC",1,136,16786,NA,0.0855077641431069,12.3349860547939,0.205843376648802
"K2","ASAF",1,115,16805,NA,0.0855158145636569,12.1699738756663,0.205843376648802
"F","ASAF",1,115,16804,NA,0.0917853278917075,11.2351174177927,0.217424218553732
"N1","ASEA",6,145,15461,NA,0.0919256806385262,0.484337827516566,0.217424218553732
"Q1","ASAF",1,115,16136,NA,0.0939116011637067,0.206049746560812,0.220206513073519
"C","AESP",1,284,16643,NA,0.096844844246095,11.7131591957903,0.225143569529383
"G2","Han_NWCM",17,10886,6013,NA,0.105017490754523,0.552411528649541,0.242074215976527
"K2","ASEA",1,150,16770,NA,0.109960051794022,9.31278290096441,0.251337261243479
"N","ANEA",1,398,16530,NA,0.112406865924646,10.3776076942515,0.254788896095865
"T1","Han_noNWC",0,4775,12150,NA,0.115627180860711,0,0.259922257802591
"No","ASEA",1,150,16769,NA,0.117903079700588,8.59557989897606,0.262865882611148
"J1","Han_NWCM",19,10884,6012,NA,0.120819824259729,0.583048916236488,0.267178798362978
"H","Han_NWCM",0,10903,6028,NA,0.126800342852891,0,0.274164244175864
"R","Han_NWCM",0,10903,6028,NA,0.126800342852891,0,0.274164244175864
"T1","AESP",1,284,16641,NA,0.127002554287349,8.36756240404155,0.274164244175864
"F","AEES",1,166,16753,NA,0.12960880660723,7.76054604639547,0.275418714040365
"No","AEES",1,166,16753,NA,0.12960880660723,7.76054604639547,0.275418714040365
