"eigenvalue","component"
1.03065076406443,1
0.186936016845958,2
0.124711412090768,3
0.0851880371586127,4
0.00378294079541983,5
2.08166817117217e-17,6
-0.000420900128473574,7
-0.0486573628634259,8
