hGrp	HG00096
A1	1	38-13
A1a1	1	38-16
A1a	2	38-15
A2	6	38-18
A2_C64T	1	38-19
A2_C64T_G153A	1	39-19
A2_C64T_G16129A	1	38-20
A2_C64T_T16111C	1	39-19
A2_C64T_T16189C	1	38-20
A2a1	1	38-21
A2a2	1	38-21
A2a3	1	38-21
A2a4	2	38-22
A2a5	5	39-24
A2a	2	38-20
A2aa	2	38-21
A2ab	3	38-22
A2ac1	3	38-25
A2ac	3	38-22
A2ad1	5	39-26
A2ad2	2	38-24
A2ad	3	38-22
A2ae	4	39-22
A2af1	2	39-23
A2af1a1	1	39-25
A2af1a2	3	39-27
A2af1a	1	39-24
A2af1b1	3	39-27
A2af1b1a	5	40-31
A2af1b1b	2	39-29
A2af1b2	7	40-29
A2af1b	1	39-24
A2af2	7	39-28
A2af	4	39-21
A2ag	2	38-21
A2ah	2	38-21
A2ai	3	39-22
A2aj	5	39-24
A2ak	4	38-23
A2al	3	38-22
A2am	3	38-23
A2an	1	38-20
A2ao1	2	39-22
A2ao	1	39-20
A2ap	1	38-21
A2aq	6	38-25
A2b1	1	38-20
A2b	1	38-19
A2c	2	38-21
A2d1	2	38-21
A2d1a	2	38-23
A2d2	1	38-21
A2d	1	38-20
A2e	4	39-23
A2f1	5	38-25
A2f1a	3	38-28
A2f2	3	39-22
A2f3	6	38-26
A2f	1	38-20
A2g1	2	38-23
A2g	2	38-21
A2h1	4	38-24
A2h	1	38-20
A2i	10	40-27
A2j1	1	38-22
A2j	2	38-21
A2k1	1	38-21
A2k1a	1	38-22
A2k	1	38-20
A2l	1	39-20
A2m	4	39-23
A2n	3	39-22
A2o	1	39-20
A2p1	3	38-24
A2p2	5	38-26
A2p	1	38-21
A2q1	2	38-22
A2q	1	38-20
A2r1	2	38-21
A2r	1	38-19
A2s	10	38-28
A2t	4	38-23
A2u1	3	38-23
A2u2	1	38-21
A2u	1	38-20
A2v1	1	38-21
A2v1_T152C	1	39-21
A2v1a	1	39-22
A2v1b	1	39-22
A2v	1	38-20
A2w1	2	39-22
A2w	2	38-21
A2x	2	38-21
A2y	7	38-26
A2z	7	39-24
A3	3	38-14
A3a	1	38-15
A5	2	37-13
A5a1	1	38-17
A5a1a1	2	38-20
A5a1a1a	1	38-21
A5a1a1b	1	38-21
A5a1a2	1	38-19
A5a1a2a	1	38-20
A5a1a	1	38-18
A5a1b	1	38-18
A5a2	1	38-17
A5a3	1	38-17
A5a3a	1	38-18
A5a4	1	38-17
A5a5	1	38-17
A5a	4	38-16
A5b1	3	38-17
A5b1a	1	38-18
A5b1b	1	38-18
A5b1c1	3	39-20
A5b1c	1	38-18
A5b	2	38-14
A5c1	1	38-16
A5c	3	38-15
A6	3	38-15
A6a	1	38-16
A6b	5	38-20
A7	7	38-18
A8	1	37-12
A8a1	4	38-17
A8a	2	37-14
A9	5	38-16
A10	6	37-17
A11	2	38-13
A11_C16234T	1	38-14
A11a	4	39-16
A11b	2	38-16
A12	2	38-15
A12a	4	38-19
A13	1	38-14
A14	2	38-15
A15	4	38-16
A15a	1	38-17
A15b	3	38-19
A15c1	4	38-21
A15c	1	38-17
A16	6	39-17
A17	4	38-16
A18	1	38-13
A19	3	38-15
A20	1	38-13
A21	1	38-13
A22	4	38-16
A23	7	38-19
A24	3	38-15
A25	1	38-13
A26	7	38-19
A	8	37-11
A_T152C	1	38-11
A_T152C_T16362C	1	38-12
A_T152C_T16362C_A200G	1	38-13
A_T152C_T16362C_T16189C	1	38-13
B2	5	39-15
B2_C16278T	1	39-16
B2a1	1	39-18
B2a1a1	1	40-19
B2a1a	1	40-18
B2a1b	2	39-20
B2a2	1	39-18
B2a3	2	39-19
B2a4	1	39-18
B2a4a1	3	39-22
B2a4a	1	39-19
B2a5	5	39-22
B2a	2	39-17
B2b1	7	40-23
B2b2	1	39-17
B2b2a	7	39-24
B2b3	1	39-17
B2b3a	7	40-23
B2b4	9	40-24
B2b	1	39-16
B2b_T152C	1	40-16
B2c1	1	39-17
B2c1a	1	39-18
B2c1b	3	39-20
B2c1c	1	39-18
B2c2	3	39-19
B2c2a	2	39-21
B2c2b	4	40-22
B2c	1	39-16
B2d	5	39-19
B2e	2	39-17
B2f	4	39-19
B2g1	2	39-20
B2g2	3	39-21
B2g	3	39-18
B2h	2	39-17
B2i1	4	39-20
B2i2	3	39-19
B2i2a1	2	39-22
B2i2a1a	2	39-24
B2i2a1b	1	39-23
B2i2a	1	39-20
B2i2b1	2	39-22
B2i2b	1	39-20
B2i	1	39-16
B2j	6	39-21
B2k	2	39-17
B2l	1	39-16
B2m	3	39-18
B2n	2	39-17
B2o1	2	39-18
B2o1a	2	40-19
B2o	1	39-16
B2p	3	39-18
B2q	1	39-16
B2r	1	39-15
B2s	6	39-21
B2t	6	39-21
B2u	6	40-20
B2v	3	39-18
B2w	4	39-20
B2x	5	39-20
B2y1	1	39-17
B2y	1	39-16
B4	1	39-5
B4'5	1	39-4
B4_C16261T	1	39-6
B4a1	1	39-9
B4a1_T16311C	1	39-10
B4a1a1	2	39-15
B4a1a1_C151T	1	39-16
B4a1a1_T152C	1	40-15
B4a1a1_T16126C	1	39-16
B4a1a1a1	1	39-17
B4a1a1a1a1	1	39-19
B4a1a1a1a	1	39-18
B4a1a1a1b	1	39-18
B4a1a1a1c	2	39-19
B4a1a1a1d	2	40-18
B4a1a1a2	1	39-17
B4a1a1a2a	1	39-18
B4a1a1a2b	1	39-18
B4a1a1a3	1	39-17
B4a1a1a4	1	39-17
B4a1a1a5	2	39-18
B4a1a1a6	1	39-17
B4a1a1a7	2	39-18
B4a1a1a8	3	39-19
B4a1a1a9	2	40-17
B4a1a1a10	1	39-17
B4a1a1a11	1	39-17
B4a1a1a11a	1	39-18
B4a1a1a11b	1	40-17
B4a1a1a12	1	39-17
B4a1a1a13	1	39-17
B4a1a1a14	1	39-17
B4a1a1a15	1	39-17
B4a1a1a16	1	39-17
B4a1a1a17	1	39-17
B4a1a1a18	2	39-18
B4a1a1a19	1	39-17
B4a1a1a20	2	39-18
B4a1a1a21	1	39-17
B4a1a1a22	1	39-17
B4a1a1a23	1	39-18
B4a1a1a	1	39-16
B4a1a1a_T195C	1	39-17
B4a1a1aa	2	39-17
B4a1a1ab	1	39-16
B4a1a1ac	1	39-16
B4a1a1ad	2	39-17
B4a1a1ae	1	39-16
B4a1a1af	1	39-16
B4a1a1b	2	39-17
B4a1a1c	2	39-17
B4a1a1d	1	39-16
B4a1a1e	1	39-16
B4a1a1f	1	39-16
B4a1a1g	1	39-16
B4a1a1h	2	39-17
B4a1a1i	2	39-17
B4a1a1j	1	39-16
B4a1a1k1	2	39-18
B4a1a1k	1	39-16
B4a1a1m1	1	39-18
B4a1a1m	1	39-17
B4a1a1n	1	39-16
B4a1a1o	1	40-16
B4a1a1p	1	39-16
B4a1a1q	1	39-16
B4a1a1r	1	39-17
B4a1a1s	1	39-16
B4a1a1t	1	39-16
B4a1a1u	1	39-16
B4a1a1v	2	39-17
B4a1a1w	1	39-16
B4a1a1x	1	39-16
B4a1a1y	1	39-16
B4a1a1z	1	39-16
B4a1a2	3	39-16
B4a1a3	1	39-14
B4a1a3a1	1	39-16
B4a1a3a1a	2	39-18
B4a1a3a	1	39-15
B4a1a4	2	39-15
B4a1a5	1	39-14
B4a1a5a	2	40-15
B4a1a6	1	39-14
B4a1a6a	1	39-15
B4a1a7	2	39-15
B4a1a	4	39-13
B4a1b1	1	39-15
B4a1b1a	1	39-16
B4a1b	4	39-14
B4a1c1	1	39-11
B4a1c1a1	2	39-13
B4a1c1a	1	39-12
B4a1c2	6	39-17
B4a1c3	2	39-12
B4a1c3a	8	39-20
B4a1c3b	2	39-14
B4a1c4	1	39-12
B4a1c5	3	39-14
B4a1c	1	39-10
B4a1c_T146C	1	39-11
B4a1d	1	39-10
B4a1e	2	39-12
