hGrp	HG00096
E1b1b1a1a1c	2	575-251
E1b1b1a1a2	27	575-242
E1b1b1a1a2a	7	575-245
E1b1b1a1b	2	575-229
E1b1b1a1b1	13	575-240
E1b1b1a1b1a	5	575-245
E1b1b1a1b2	7	575-235
E1b1b1a1b2b	2	575-236
E1b1b1b	1	575-211
E1b1b1b1	40	575-243
E1b1b1b1a	1	575-244
E1b1b1b1a1	53	575-279
E1b1b1b2	19	575-224
E1b1b1b2a	12	575-234
E1b1b1b2a1	10	575-240
E1b1b1b2a1a	4	575-243
R1b1a2a1a2c1g2a1a2b	2	691-7
E1b1b1b2a1d	9	575-248
E1b1b1b2b	11	575-233
E2	178	575-244
R1b1a2a1a2c1g1b1	7	691-4
E2b	250	575-401
E2b1	2	575-403
E2b1a	1	575-404
E2b1a1	27	575-425
R1b1a2a1a2c1g1b1a	8	691-7
E2b2	45	575-425
F	28	604-0
G	192	606-166
G1	34	606-190
G1a	4	606-192
G1a1b	5	606-195
G1b	5	606-191
G2	50	606-209
G2a	29	606-233
G2a1	1	606-234
G2a1a	67	606-282
G2a1a1a1a1a1	3	606-283
C1a2a1	72	578-17
E1a1	106	575-357
G2a1a2	1	606-283
G2a1a2a	1	606-284
G2a2	1	606-234
G2a2a	28	606-260
G2a2a1	14	606-272
G2a2a1a	1	606-273
G2a2a1a2	5	606-278
G2a2a1a2a	4	606-280
G2a2a1a2a1	8	606-283
G2a2a1a2a1a	8	606-291
G2a2a1a2a1a1	1	606-292
G2a2a1a2a1b	1	606-284
G2a2b	28	606-258
G2a2b1	39	606-287
G2a2b1a	11	606-296
G2a2b1a1	1	606-297
R1b1a2a1a2c1g2a1a2b1	1	691-8
G2a2b1a1b	4	606-301
G2a2b1a1b1a	7	606-305
G2a2b1a1b2	1	606-302
G2a2b2	5	606-262
G2a2b2a	15	606-276
G2a2b2a1	6	606-279
G2a2b2a1a1a	3	606-281
G2a2b2a1a1a1	35	606-295
G2a2b2a1a1a1a	7	606-298
G2a2b2a1a1a2	21	606-282
G2a2b2a1a1a2a1	1	606-283
G2a2b2a1a1a2b	28	606-283
G2a2b2a1a1b	23	606-298
G2a2b2a1a1b1	11	606-307
G2a2b2a1a1b1a	13	606-320
G2a2b2a1a1b1a1	3	606-321
G2a2b2a1a1b1a1a	4	606-325
G2a2b2a1a1b1a1b2b1a2	13	606-322
G2a2b2a1a1b1a2	2	606-321
G2a2b2a1a1b1a2a	1	606-322
G2a2b2a1a1b1a2a1a	2	606-324
G2a2b2a1a1b1a2a1b	1	606-323
G2a2b2a1a1b1a2a2	3	606-324
G2a2b2a1a1b1a2a2a	3	606-325
G2a2b2a1a1b1b	15	606-308
G2a2b2a1a1b2	15	606-300
G2a2b2a1a1c	1	606-280
G2a2b2a1a1c1	5	606-285
G2a2b2a1a1c1a	33	606-312
G2a2b2a1a1c1a1	33	606-336
G2a2b2a1a1c1a1a	1	606-337
G2a2b2a1a1c1a2	2	606-314
G2a2b2a1a1c1a2a	1	606-315
G2a2b2a1a1c1a2a1	4	606-319
G2a2b2a1a1c3	34	606-281
G2a2b2a2	1	606-277
G2a2b2a4	16	606-288
G2a2b2b	29	606-280
G2a2b2b1	3	606-281
G2b	13	606-216
G2b1	3	606-219
GHIJK	3	606-0
H	34	607-24
H1	1	607-25
H1a	1	607-26
H1a1	14	607-35
H1a1a	3	607-38
H1a1a1	2	607-39
H1a1d	3	607-38
