hGrp	HG00096
B4a1a1a4	1	381-121.7
B4a1a1a5	2	381-129.5
B4a1a1a6	1	381-127.2
B4a1a1a7	2	381-130.4
B4a1a1a8	3	381-136.7
B4a1a1a9	2	391-124.5
B4a1a1a10	1	381-126
B4a1a1a11	1	381-127.2
B4a1a1a11a	1	381-134.8
B4a1a1a11b	1	391-127.2
B4a1a1a12	1	381-126
B4a1a1a13	1	381-124.2
B4a1a1a14	1	381-121.2
B4a1a1a15	1	381-122.4
B4a1a1a16	1	381-118.2
B4a1a1a17	1	381-127.2
B4a1a1a18	2	381-130.5
B4a1a1a19	1	381-124.8
B4a1a1a20	2	381-126.3
B4a1a1a21	1	381-122.7
B4a1a1a22	1	381-123.9
B4a1a1a23	1	381-129.2
B4a1a1a	1	381-117.2
B4a1a1a_T195C	1	381-119.2
B4a1a1aa	2	381-117.6
B4a1a1ab	1	381-116.5
B4a1a1ac	1	381-114.7
B4a1a1ad	2	381-119.6
B4a1a1ae	1	381-117.2
B4a1a1af	1	381-116
B4a1a1b	2	381-119.4
B4a1a1c	2	381-127.2
B4a1a1d	1	381-118.4
B4a1a1e	1	381-116
B4a1a1f	1	381-118.4
B4a1a1g	1	381-118.4
B4a1a1h	2	381-122.3
B4a1a1i	2	381-124.2
B4a1a1j	1	381-109.4
B4a1a1k1	2	381-130.8
B4a1a1k	1	381-113.2
B4a1a1m1	1	381-126.8
B4a1a1m	1	381-119.2
B4a1a1n	1	381-115.4
B4a1a1o	1	382-118.4
B4a1a1p	1	381-118.4
B4a1a1q	1	381-115.7
B4a1a1r	1	381-123.5
B4a1a1s	1	381-117.2
B4a1a1t	1	381-116.5
B4a1a1u	1	381-114.9
B4a1a1v	2	381-128.4
B4a1a1w	1	381-115.7
B4a1a1x	1	381-112.6
B4a1a1y	1	381-116.5
B4a1a1z	1	381-116.5
B4a1a2	3	381-111.5
B4a1a3	1	381-98.4
B4a1a3a1	1	381-115.1
B4a1a3a1a	2	381-125.2
B4a1a3a	1	381-105.1
B4a1a4	2	381-105.1
B4a1a5	1	381-95.1
B4a1a5a	2	391-103.2
B4a1a6	1	381-96.5
B4a1a6a	1	381-103.5
B4a1a7	2	381-106
B4a1a	4	381-88.4
B4a1b1	1	381-98.8
B4a1b1a	1	381-107.6
B4a1b	4	381-88.8
B4a1c1	1	381-68.8
B4a1c1a1	2	381-86.9
B4a1c1a	1	381-78.8
B4a1c2	6	381-107.7
B4a1c3	2	381-72.1
B4a1c3a	8	381-129.8
B4a1c3b	2	381-88.3
B4a1c4	1	381-74.4
B4a1c5	3	381-93.2
B4a1c	1	381-63.8
B4a1c_T146C	1	381-65.6
B4a1d	1	381-67.3
B4a1e	2	381-75.6
B4a2	2	381-67.8
B4a2a1	4	381-106.4
B4a2a2	2	381-93.1
B4a2a3	3	381-102.6
B4a2a	2	381-79.3
B4a2b1	1	381-82.1
B4a2b1a	2	381-100.9
B4a2b	1	381-74.5
B4a3	7	381-94
B4a4	3	381-80
B4a5	3	381-77.2
B4a	2	381-52.7
B4b1	1	381-73.7
B4b1a1	7	381-140.3
B4b1a1a	1	381-147.9
B4b1a1b	1	381-145.7
B4b1a1c	1	381-145.2
B4b1a2	1	381-97.6
B4b1a2a	3	391-110.8
B4b1a2b1	1	381-111.2
B4b1a2b2	2	381-115.7
B4b1a2b	1	381-103.1
B4b1a2c	2	381-109.2
B4b1a2d	5	381-137.9
B4b1a2e	2	381-115.7
B4b1a2f	2	381-106.9
B4b1a2g1	1	381-113.3
B4b1a2g	1	381-105.7
B4b1a2h	1	381-106.4
B4b1a2i	1	381-105.2
B4b1a3	4	381-106.5
B4b1a3a	3	381-119.4
B4b1a	2	381-87.7
B4b1a_G207A	1	381-91.1
B4b1b	8	382-121
B4b1b'c	1	381-78.8
B4b1c1	4	381-104.4
B4b1c2	1	381-93.9
B4b1c	1	381-85.1
B4b	3	381-67.9
B4b'd'e'j	2	381-48.8
B4c1	1	381-59.4
B4c1a1	2	381-78.6
B4c1a1a1	1	381-92.7
B4c1a1a1a	2	381-103.4
B4c1a1a2	1	381-89.2
B4c1a1a	1	381-82.7
B4c1a1b	1	381-88.6
B4c1a1c	3	382-98.6
B4c1a2	1	381-75.1
B4c1a2a	2	381-87.4
B4c1a	1	381-70
B4c1a'b	1	381-62.4
B4c1b1	11	391-151.4
B4c1b1a	3	391-167.3
B4c1b2	1	381-91.7
B4c1b2a1	2	381-116.5
B4c1b2a2	2	381-109.2
B4c1b2a2a	1	381-116.5
B4c1b2a2b	1	381-115.3
B4c1b2a	2	381-100.2
B4c1b2b	2	381-101.8
B4c1b2c1	5	381-143.2
B4c1b2c2	2	381-122.9
B4c1b2c	3	381-113.6
B4c1b	3	381-74.4
B4c1b_A16335G	1	381-81.7
B4c1c1	1	381-102.4
B4c1c	6	381-94.3
B4c1c_T16311C	1	381-95.9
B4c2	6	381-87.6
B4c2a	1	381-96.4
B4c2b	1	381-93.7
B4c2c	2	381-103.9
B4c	2	381-49.4
B4d1	1	381-76.5
B4d1'2'3	1	381-67.7
B4d1a	1	381-84.1
B4d2	5	381-115.3
B4d3	8	381-116.5
B4d3a1	1	381-136.5
B4d3a	1	381-126.5
B4d4	9	381-128.1
B4d	2	381-62.2
B4e	9	381-97.1
B4f1	3	391-142.1
B4f	14	391-114.5
B4g1	1	381-63.6
B4g1a	2	381-76.6
B4g1b	3	381-86.5
B4g2	4	381-90.9
B4g	3	381-56.6
B4h1	2	391-61
B4h	3	381-54.3
B4i1	2	381-62.4
B4i	1	381-46.3
B4j	11	381-132.2
B4k	3	381-54.9
B4m	2	381-48.2
B5	5	381-52.4
B5a1	1	381-88
B5a1a1	1	381-109.2
B5a1a	2	381-101.1
B5a1b1	1	381-111.9
B5a1b	2	381-103.8
B5a1c1	1	381-104.5
B5a1c1a1	1	381-124.9
B5a1c1a	2	381-117.3
B5a1c2	2	381-107.3
B5a1c	1	381-94.5
B5a1d	4	382-108.3
B5a2	3	381-93.1
B5a2a1	2	381-128
B5a2a1_G16129A	1	381-130.6
B5a2a1a	4	381-156.4
