hGrp	HG00096
F1a1'4	1	381-122.5
F1a1a1	1	381-154
F1a1a	2	381-145.2
F1a1b	2	381-143.1
F1a1c1	4	381-171.1
F1a1c2	2	381-162
F1a1c3	2	391-159.4
F1a1c	2	381-149.4
F1a1d1	2	381-157.5
F1a1d	2	381-143.5
F1a2	2	391-124.3
F1a2a	1	391-130.8
F1a3	1	381-125
F1a3_T16311C	1	381-126.6
F1a3a1	2	391-155.7
F1a3a1a	2	391-167.9
F1a3a2	3	381-163.7
F1a3a3	1	381-161.7
F1a3a3a	1	381-167.5
F1a3a	3	381-151.7
F1a3b	5	381-160.4
F1a4	1	381-131.3
F1a4a1	3	382-162.5
F1a4a	3	382-143.8
F1a4b	2	381-143.1
F1a	2	381-116.2
F1a'c'f	3	381-104.2
F1b1	2	382-139
F1b1_C152T	1	382-149
F1b1a1	1	382-157.4
F1b1a1a1	1	382-177.4
F1b1a1a1a	1	382-178.4
F1b1a1a2	1	382-175.5
F1b1a1a3	1	382-176.2
F1b1a1a	1	382-167.4
F1b1a2	1	382-157.4
F1b1a	2	382-148.6
F1b1b	3	382-152.5
F1b1c	4	402-157.8
F1b1d	2	382-161.6
F1b1e1	2	382-175
F1b1e	2	382-158.1
F1b1f	1	382-159
F1b	7	382-125.6
F1c1	2	382-122.5
F1c1a1	1	382-131.7
F1c1a1a	1	382-139.3
F1c1a1b	1	382-138.4
F1c1a2	1	382-135.9
F1c1a	1	382-127.1
F1c	2	381-113.7
F1d1	1	381-137.1
F1d	5	381-131.5
F1e1	1	381-118.4
F1e1a	7	381-173.2
F1e2	7	381-153.2
F1e3	2	381-120.3
F1e	2	381-112.1
F1f	3	381-125.9
F1g1	1	381-118.8
F1g	2	381-108.8
F2	7	381-114.2
F2_C16291T	1	381-117.8
F2_T195C	1	381-116.2
F2a1	1	391-133.9
F2a	1	381-126.6
F2a_T16291C	1	391-126.6
F2b1	1	381-127.6
F2b	1	381-126.6
F2c1	2	381-130.2
F2c2	9	381-184.6
F2c	1	381-120.9
F2d	3	391-129.1
F2e1	7	381-171.3
F2e	3	381-136.9
F2f	1	381-121.8
F2g	1	381-127.8
F2h	6	381-153.5
F2i	7	382-166.8
F3	9	391-117.2
F3a1	4	391-156.9
F3a	2	391-131.7
F3a_G207A	1	391-135.1
F3b1	6	402-157.6
F3b1a1	1	402-174.4
F3b1a2	2	412-177.3
F3b1a	2	402-167.3
F3b1a_T16093C	1	402-170.5
F3b1b1	1	412-183.4
F3b1b	3	412-174.6
F3b	2	391-125.8
F3b_T152C	1	392-125.8
F4	3	381-81
F4a1	3	382-125.6
F4a1a	6	382-166.1
F4a1b	5	382-157.5
F4a2	5	382-146.1
F4a	6	382-107.4
F4b1	1	391-123.4
F4b	7	391-122.4
F	3	381-62.1
G1	3	311-105.6
G1a1	2	311-131.6
G1a1a1	1	311-150.5
G1a1a2	1	311-153.8
G1a1a3	3	311-164.9
G1a1a4	1	311-144.8
G1a1a	2	311-143.8
G1a1b	1	311-141.6
G1a2	2	311-137.6
G1a2'3	1	311-122.3
G1a3	3	331-128.6
G1a	2	311-117.1
G1b1	1	321-142
G1b2	2	321-151.4
G1b3	2	321-147
G1b4	1	321-146.7
G1b	6	321-135.3
G1b_G16129A	1	321-137.9
G1c1	3	311-145.3
G1c2	2	311-134.6
G1c	2	311-117.7
G2	2	311-99.8
G2a1	1	311-144
G2a1_T16189C	1	311-146
G2a1_T16189C_A16194G	1	311-156
G2a1b	6	311-178.8
G2a1c1	1	311-163.3
G2a1c2	1	311-168.8
G2a1c	1	311-163.3
G2a1d1	2	311-190.5
G2a1d1a	1	311-198.6
G2a1d2	3	331-181.2
G2a1d2a	2	331-196.7
G2a1d	3	311-172.4
G2a1e	2	311-157.3
G2a1f1	3	311-171.2
G2a1f	1	311-149.9
G2a1g	2	311-151.3
G2a1h	3	311-158
G2a2	3	312-157.5
G2a2a	2	312-168.2
G2a3	4	312-158.9
G2a3a	3	312-176.8
G2a4	3	312-154.7
G2a5	6	312-175.4
G2a	4	311-135.2
G2a'c	1	311-107.4
G2a_T152C	1	312-135.2
G2b1	1	311-116.2
G2b1a1	5	311-155.1
G2b1a2	3	311-144.5
G2b1a	1	311-123.2
G2b1b	2	311-133.1
G2b2	1	311-116.7
G2b2a	2	311-125.3
G2b2b	2	311-126.9
G2b2c	2	311-129.9
G2b	1	311-108.6
G2c	7	312-140.4
G3	1	311-86.8
G3a1	5	321-114.6
G3a1'2	1	311-99.9
G3a1a	1	321-124.6
G3a2	1	311-108.7
G3a2_T152C	1	312-108.7
G3a2a	5	322-127.8
G3a3	2	311-107.2
G3a	1	311-95.6
G3b1	2	311-121.9
G3b2	1	311-118
G3b	3	311-109.9
G4	12	321-150.5
G	4	311-82.9
H1	1	431-28.5
H1_C16239T	1	431-33.6
H1_C16278T	1	431-31.9
H1_C16355T	1	431-33
H1_T152C	1	432-28.5
H1_T16189C	1	431-30.5
H1_T16311C	1	431-30.1
H1a1	2	431-56.5
H1a1a1	1	431-71.7
H1a1a	1	431-64.1
H1a1b	1	431-63.2
H1a1c	1	431-59.7
H1a2	1	431-43.2
H1a3	1	431-46.7
H1a3a1	1	431-61.1
H1a3a2	1	431-54.8
H1a3a3	2	431-70.3
H1a3a4	1	431-62.4
H1a3a	1	431-54.8
H1a3b1	1	431-59.5
H1a3b	1	431-53.2
H1a3c1	1	431-56.8
H1a3c	1	431-51.3
H1a3d	1	431-55.5
H1a4	1	431-43.2
H1a5	2	431-59.1
H1a6	3	431-54.5
H1a7	1	431-50.3
H1a8	1	431-51
H1a8a	1	431-59.8
H1a9	2	431-58.3
H1a	2	431-42.2
H1aa1	1	431-42.7
H1aa	1	431-39.3
H1ab1	1	431-43.2
H1ab	1	431-39.3
H1ac	1	431-37
H1ad	1	431-38.6
H1ae1	1	431-43.9
H1ae2	1	431-42.8
H1ae2a	1	431-49.1
H1ae3	2	431-49.4
H1ae3a	1	431-55.7
H1ae	1	431-35.8
H1af1	1	431-42.2
H1af1a	1	431-50.3
H1af1b	1	431-44.8
H1af2	1	431-41.5
H1af	1	431-33.4
H1ag1	1	431-44.7
H1ag1a	2	431-56.1
H1ag1b	1	431-52
H1ag	1	431-36.6
H1ah1	4	431-72.8
H1ah2	2	431-57.3
H1ah	2	431-43.6
H1ai1	1	431-46.1
H1ai	1	431-38.5
H1aj1	2	431-47.6
H1aj1a	4	431-73
H1aj	1	431-35.5
H1ak1	1	431-42.6
H1ak2	1	431-43.8
H1ak	1	431-35
H1am1	1	431-30.5
H1am	1	431-29.5
H1an1	1	432-45.4
H1an1a	1	432-52.1
H1an2	2	432-45.6
H1an	1	432-37.3
H1ao1	1	431-48.6
H1ao	3	431-45.2
H1ap1	3	432-48.1
H1ap	1	431-36.1
H1aq1	2	431-42.7
H1aq	1	431-36.6
H1ar1	2	431-59.6
H1ar	2	431-42
H1as1	2	431-43.5
H1as1a	1	431-47.7
H1as2	1	431-41.6
H1as	1	431-34.3
H1at1	1	431-39.3
H1at1a	1	431-46.6
H1at	1	431-33.8
H1au1	1	431-34.2
H1au1a	1	431-41.8
H1au1b	1	431-38.6
H1au	1	431-33.2
H1av1	1	431-38.8
H1av1a	1	431-47.6
H1av	1	431-36.1
H1aw1	1	431-53.5
H1aw	3	431-46.5
H1ax1	1	431-53.6
H1ax	3	431-47.1
H1ay	1	431-36.6
H1az	1	431-36.6
H1b1	1	431-43.3
H1b1_T16362C	1	431-45.8
H1b1a	2	441-54.6
H1b1b	2	431-52.9
H1b1c	1	431-55.8
H1b1d	1	431-50.3
H1b1e1	1	431-62.1
H1b1e	1	431-52.1
H1b1f	2	431-59.2
H1b1g	3	431-60.5
H1b1h	1	431-53.1
H1b1i	1	431-49.2
H1b2	2	431-50.5
H1b2a1	1	439.8-73.1
H1b2a	3	439.8-63.1
H1b3	1	431-43
H1b4	1	431-46
H1b5	1	431-44.1
H1b	1	431-36
H1ba1	1	431-43.8
H1ba	1	431-33.8
H1bb	1	432-36.1
H1bc	2	432-35
H1bd	1	431-34.3
H1be	2	431-45.2
H1bf1	1	431-46.1
H1bf	1	431-40.3
H1bg	2	431-48
H1bh	1	431-40.3
H1bi	1	431-36.6
H1bj	1	431-36.1
H1bk	1	431-34.8
H1bm	1	431-34
H1bn	1	431-38.5
H1bo	5	431-62.1
H1bp	1	431-38.5
H1bq	1	431-37.3
H1br	1	431-35
H1bs	1	431-29.5
H1bt1	2	431-49.1
H1bt	1	431-33.6
H1bu	2	431-43.1
H1bv1	2	431-46.4
H1bv	1	431-35.8
H1bw	1	431-37.3
H1bx	2	431-45.8
H1bz	3	431-51
H1c1	2	431-53.4
H1c1_T16093C	1	431-56.6
H1c1a1	1	431-68
H1c1a	1	431-59.9
H1c1b	1	431-59.7
H1c1c	2	431-68.6
H1c1d	1	431-65.4
H1c2	1	431-48.5
H1c2a	1	431-56.6
H1c3	2	431-52
H1c3a	3	431-66.7
H1c3b	2	431-56.5
H1c4	1	431-43.7
H1c4a1	1	431-60.7
H1c4a	1	431-50.7
H1c4b1	1	431-58.2
H1c4b	1	431-48.2
H1c5	1	431-48.5
H1c5a	2	432-58.5
H1c6	1	431-46.6
H1c7	1	431-48.5
H1c8	2	431-45.3
H1c9	1	432-47.3
H1c9a	1	432-53.6
H1c10	2	431-45.6
H1c11	1	431-45.8
H1c12	1	431-48.5
H1c13	1	431-47.3
H1c14	3	431-62.6
H1c15	1	441-38.5
H1c16	1	431-45.5
H1c17	1	431-39.5
H1c18	2	431-53.6
H1c19	1	431-47.3
H1c20	1	431-46.1
H1c21	1	431-46.1
H1c22	1	431-46.6
H1c	1	431-38.5
H1c_T152C	1	432-38.5
H1ca	2	431-39.5
H1cc	3	431-47.8
H1cd	4	431-61
H1cf	1	431-33.2
H1cg	1	431-39.5
H1ch	1	431-39.4
H1ci	3	431-54.2
H1cj	5	431-59.6
H1ck	1	431-41.8
H1e1	1	431-41.2
H1e1a1	4	431-81.9
H1e1a2	1	431-56.9
H1e1a3	1	431-50.3
H1e1a4	5	431-82.7
H1e1a5	7	431-85.5
H1e1a6	1	431-52
H1e1a7	1	431-56.3
H1e1a8	2	431-64.7
H1e1a	1	431-49.3
H1e1a_C16278T	1	431-52.7
H1e1b1	1	431-57.1
H1e1b1a	1	431-65.2
H1e1b1b	2	431-77.1
H1e1b	1	431-51.2
H1e1c	1	431-49.3
H1e2	1	431-42.4
H1e2a	1	431-51.2
H1e2b	1	431-51.2
H1e2c	1	431-48
H1e2d	1	431-50
H1e3	4	441-54.1
H1e4	1	431-38.2
H1e4a	1	431-44.1
H1e5	1	431-36.2
H1e5a	1	431-45
H1e5b	1	431-46.2
H1e6	1	431-38.7
H1e7	1	431-40.5
H1e8	1	431-40
H1e8a	1	431-48.8
H1e	1	431-32.4
H1e_G16129A	1	431-35
H1f1	1	431-61.8
H1f1a	1	431-61.8
H1f	2	431-48.6
H1f_T16093C	1	431-51.8
H1g1	1	431-48.1
H1g2	1	431-46.2
H1g	1	431-38.1
H1h1	1	431-40.7
H1h2	3	431-61.6
H1h	1	431-37.3
H1i1	1	432-35.8
H1i2	1	432-35.3
H1i2a	1	432-42.9
H1i	1	432-29.5
H1j1	1	431-39.9
H1j1a1	1	431-48.2
H1j1a2	1	431-48.2
H1j1a	1	431-47.2
H1j1b	1	431-48
H1j1c	2	431-47.9
H1j2	3	431-54.7
H1j2a	1	431-62
H1j3	1	431-46.1
H1j4	1	431-46.1
H1j5	2	431-45.6
H1j6	3	431-58.4
H1j7	3	431-59.7
H1j8	2	431-45.3
H1j9	2	431-45.8
H1j	1	431-37.3
H1k1	2	431-53.4
H1k1a	1	431-60.4
H1k	1	431-35.8
H1m1	3	431-56
H1m	1	431-36.1
H1n1	1	431-41.3
H1n1a	1	431-48.9
H1n1b	2	431-53.1
H1n2	2	431-55.7
H1n3	1	431-49.1
H1n4	1	431-43.7
H1n5	1	431-49
H1n6	3	431-57.6
H1n	1	431-38.5
H1n_T146C	1	431-40.3
H1n_T146C_T195C	1	431-42.3
H1o	2	431-41.5
H1p	1	431-36.1
H1q1	1	431-45.4
H1q1a	1	431-49.2
H1q2	1	431-43.8
H1q3	3	431-59.7
H1q	1	431-37.3
H1r1	2	431-42.5
H1r	1	431-37.3
H1s1	1	431-41.4
H1s	1	431-35.5
H1t1	1	431-46.1
H1t1a1	1	431-60.7
H1t1a	1	431-56.1
H1t2	1	431-44.9
H1t	1	431-37.3
H1u1	1	431-47.3
H1u2	2	431-50.2
H1u	1	431-38.5
H1v1	1	431-45.4
H1v1a	1	431-53.5
H1v1b	1	431-51
H1v	1	431-37.3
H1w	1	431-38.5
H1x	4	431-47.1
H1y	1	431-38.1
H1z1	2	431-58.5
H1z	2	431-48.1
H2	1	431-33.1
H2_T152C__T16311C	2	432-34.7
H2a1	2	431-56.7
H2a1_T146C	1	431-58.5
H2a1a1	4	431-112.5
H2a1a2	4	431-101.6
H2a1a	2	431-75.5
H2a1b1	1	431-78.6
H2a1b2	3	431-86.4
H2a1b	2	431-71.6
H2a1c	1	431-62.1
H2a1d	3	439.8-71.6
H2a1e1	1	431-74.8
H2a1e1a1	2	431-92.7
H2a1e1a	1	431-81.3
H2a1e1b	2	441-82.9
H2a1e	1	431-64.8
H2a1f1	1	431-69.6
H2a1f2	1	431-65
H2a1f	1	431-62.3
H2a1g	1	431-65.5
H2a1i	2	431-69.4
H2a1j	2	431-75.5
H2a1k	1	431-63
H2a1m	2	431-66.3
H2a1n	1	431-66.6
H2a2	1	431-53.1
H2a2_A16235G	1	431-58.7
H2a2a1	1	431-83.1
H2a2a1a	1	431-88.7
H2a2a1b	1	431-91.2
H2a2a1c	2	431-95.7
H2a2a1d	1	431-86.3
H2a2a1e	1	431-93.1
H2a2a1f	1	431-87.6
H2a2a1g	1	431-85.1
H2a2a1h	1	431-87.8
H2a2a2	2	432-81.9
H2a2a	2	431-73.1
H2a2b1	1	431-68.1
H2a2b1a1	1	431-75.6
H2a2b1a	1	431-69.1
H2a2b2	1	431-72.3
H2a2b3	1	431-69.9
H2a2b4	1	431-66.2
H2a2b5	1	431-68.2
H2a2b5a	2	431-79.7
H2a2b	1	431-62.3
H2a3	2	431-54.3
H2a3a1	1	431-70.1
H2a3a	1	431-60.1
H2a3b	1	431-61
H2a4	1	431-51.9
H2a5	1	431-46.9
H2a5a1	1	431-57.2
H2a5a1a	1	431-65.3
H2a5a1b	1	431-66
H2a5a	1	431-53.6
H2a5b1	1	431-63.2
H2a5b2	2	431-70.8
H2a5b	1	431-53.2
H2a	1	431-43.1
H2b	1	432-42.3
H2c1	4	432-80
H2c	2	432-44.6
H3	1	431-31.2
H3_A73G	1	431-36.8
H3_T152C	1	432-31.2
H3_T16189C	1	431-33.2
H3_T16311C	1	431-32.8
H3a1	1	432-39.8
H3a1a	1	432-49.8
H3a	1	432-32.2
H3aa	1	431-39.3
H3ab	2	431-47.4
H3ac	1	431-40
H3ad	1	431-32.2
H3ae	1	431-38.8
H3af	2	431-41.9
H3ag1	2	431-52.1
H3ag	1	431-37.5
H3ah	1	431-41.2
H3ai	1	431-41.2
H3aj	1	431-39.3
H3ak	3	431-46.1
H3am	1	431-37.3
H3an	1	431-41.2
H3ao1	1	431-43.1
H3ao	1	431-35
H3ap	1	431-37.3
H3aq	1	431-40
H3ar	1	431-38.8
H3as	1	431-40
H3at1	2	441-51.2
H3at	1	431-41.2
H3au	1	431-37.7
H3av	3	432-48.6
H3b1	2	431-52.2
H3b1a	1	431-62.2
H3b1b1	2	431-70.6
H3b1b1a	1	431-71.6
H3b1b	1	431-57.2
H3b2	1	431-53.8
H3b3	1	431-50.5
H3b4	1	431-51.9
H3b4a	1	431-61.9
H3b5	1	431-51.9
H3b6	1	431-49.4
H3b6a	1	431-55.7
H3b7	1	431-50.1
H3b	1	431-41.2
H3b_G16129A	1	431-43.8
H3c1	1	431-48.2
H3c2	2	431-45.5
H3c2a1	1	431-62.4
H3c2a	1	431-54.3
H3c2b1	1	431-59
H3c2b	1	431-51.4
H3c2c	1	431-55.5
H3c3	3	431-58
H3c	1	431-38.2
H3d	1	431-45.6
H3e	2	431-51.2
H3g1	2	432-49.1
H3g1a	1	432-59.1
H3g1b	1	432-57.2
H3g2	1	432-40.3
H3g3	1	432-40.3
H3g4	1	432-42.2
H3g	1	432-32.2
H3h1	1	431-47
H3h2	2	431-54.1
H3h2a	1	431-58.7
H3h3	1	431-48.5
H3h3a	1	431-55.5
H3h3b	1	431-54.6
H3h4	4	431-65.9
H3h5	1	431-48.2
H3h6	1	431-47.6
H3h7	1	431-45.4
H3h	1	431-40.9
H3i1	1	432-50
H3i	1	432-41.2
H3j	1	432-40
H3k1	1	432-45.2
H3k1a	1	432-55.2
H3k	1	432-37.9
H3m	1	431-42.8
H3n	3	431-53.9
H3p	1	431-37.9
H3q1	1	431-47
H3q	1	431-40
H3r1	1	431-42.3
H3r	1	431-36.7
H3s	3	431-51.6
H3t	1	431-40
H3u1	4	441-59.3
H3u	1	431-37
H3v1	4	431-62.6
H3v2	4	431-66.5
H3v	1	431-32.2
H3v_T16093C	1	431-35.4
H3w	3	431-55.2
H3x1	4	431-62.9
H3x	1	431-36.8
H3y	3	431-56
H3z1	2	431-54.3
H3z2	3	431-70
H3z	1	431-41.2
H4	3	431-46.4
H4a1	1	431-75.2
H4a1a1	1	431-90.7
H4a1a1a1	1	431-104.4
H4a1a1a1a1	2	431-128.6
H4a1a1a1a	1	431-112.5
H4a1a1a2	1	431-103.9
H4a1a1a3	2	431-107.1
H4a1a1a4	2	441-104.4
H4a1a1a	1	431-96.3
H4a1a2	1	431-85.7
H4a1a2a1	1	431-111.4
H4a1a2a	2	431-103.3
H4a1a3	1	431-92.7
H4a1a3a	1	431-98.2
H4a1a4	1	431-89.3
H4a1a4a	1	431-96.9
H4a1a4b1	1	431-104.2
H4a1a4b2	1	431-113.2
H4a1a4b	2	431-103.2
H4a1a5	1	431-91.9
H4a1a	1	431-81.9
H4a1a_T195C	1	431-83.9
H4a1c1	1	431-87.7
H4a1c1a	1	431-95.3
H4a1c2	2	431-88.7
H4a1c	1	431-80.7
H4a1d	2	431-89.4
H4a2	2	431-80.8
H4a	2	431-65.2
H4b1	3	431-64.2
H4b	1	431-54
H4c1	2	431-67.9
H4c	1	431-56.4
H4d	1	431-53.1
H5	1	431-34.4
H5'36	1	431-29.8
H5_C16192T	1	431-38.9
H5_G709A	1	431-37.4
H5_T16311C	1	431-36
H5a1	1	431-51.3
H5a1_T152C	1	432-51.3
H5a1_T16093C	1	431-54.5
H5a1a	1	431-59.4
H5a1b	1	431-59.4
H5a1c1	1	431-73
H5a1c1a	1	431-81.8
H5a1c2	2	431-80.6
H5a1c	2	431-67.2
H5a1d	1	431-52.3
H5a1e	1	431-58
H5a1f	1	431-56.8
H5a1g1	3	431-73.7
H5a1g1a	2	431-93.7
H5a1g2	1	431-58.1
H5a1g	1	431-54.5
H5a1h	1	431-52.3
H5a1i	2	431-65.7
H5a1j	1	431-55.6
H5a1k	1	431-59.4
H5a1m	1	432-61.3
H5a1n	1	432-58
H5a1p	1	431-55.5
H5a1q	1	431-59.4
H5a2	1	431-52.5
H5a2a	1	431-62.5
H5a3	2	431-52.6
H5a3a1	2	431-70.8
H5a3a2	1	432-68.7
H5a3a3	1	431-67.5
H5a3a	1	431-58.7
H5a3a_T152C	1	432-58.7
H5a3b	1	431-61.4
H5a4	2	431-54.9
H5a4a1	2	431-74.7
H5a4a1a	1	431-82.8
H5a4a	1	431-59.6
H5a5	2	431-54.3
H5a6	2	432-56.8
H5a6a	2	432-74.1
H5a7	2	431-58
H5a8	1	431-49.8
H5a9	1	431-49.2
H5a	1	431-42.5
H5a_T152C	1	432-42.5
H5b1	3	431-54.5
H5b2	2	431-57.6
H5b3	1	431-50.7
H5b4	4	431-61.9
H5b5	1	431-48.3
H5b	1	431-40.7
H5c1	1	431-47.9
H5c1a	1	431-57.9
H5c2	2	431-55
H5c	1	431-41.4
H5d	1	431-42
H5e1	2	431-53
H5e1a1	1	431-68.1
H5e1a	1	431-59.3
H5e1b	1	431-63
H5e	1	431-38.7
H5f	1	431-42.5
H5g	1	431-38.9
H5h	2	431-48.8
H5j	6	431-79.8
H5k	2	431-46.8
H5m	2	431-42.9
H5n	1	431-41.4
H5p	1	431-39.9
H5q	1	431-48.9
H5r1	1	431-63.1
H5r2	1	431-61.9
H5r	3	431-56.4
H5s	2	431-51.7
H5t	3	431-58.4
H5u1	3	431-61.2
H5u	1	431-40.9
H5v	1	431-45.5
H6	3	431-42
H6a1	1	431-64.6
H6a1a1	1	431-76.6
H6a1a1a	4	431-104.6
H6a1a2	1	431-79.7
H6a1a2a	1	431-87.8
H6a1a2b1	1	431-106
H6a1a2b	2	431-99.7
H6a1a3	1	431-82.7
H6a1a3a	1	431-89.4
H6a1a4	1	431-80.3
H6a1a5	1	431-82.7
H6a1a6	1	431-82.7
H6a1a7	2	431-81.7
H6a1a8	1	431-78.5
H6a1a8a	2	431-90
H6a1a9	1	431-81.5
H6a1a10	1	431-80.3
H6a1a	1	431-72.7
H6a1b1	5	431-107.8
H6a1b2	1	431-76.9
H6a1b2a	1	431-86.9
H6a1b2b	1	431-83
H6a1b2c	1	431-86.9
H6a1b2d	1	431-83.6
H6a1b2e	1	431-83.9
H6a1b3	3	431-88.7
H6a1b3a	2	431-102.7
H6a1b3b	1	431-95
H6a1b4	1	431-76.4
H6a1b	1	431-71.9
H6a2	1	431-63.4
H6a2a	1	431-70.4
H6a	2	431-54.6
H6b1	2	442-54
H6b2	1	431-58.5
H6b	2	431-54
H6c1	2	431-68.3
H6c	2	431-60.8
H7	1	431-31.9
H7a1	1	431-40.5
H7a1a	2	431-51.7
H7a1b	1	431-48.1
H7a1c	1	431-49.3
H7a1d	1	439.8-40.5
H7a2	2	431-50.4
H7a	1	431-36.3
H7b1	1	431-50.7
H7b2	1	431-50.7
H7b2a	1	431-58.3
H7b3	1	431-49.5
H7b4	1	431-46.5
H7b5	1	431-46.8
H7b6	1	431-48.8
H7b	1	431-40.7
H7c1	1	431-38.8
H7c2	1	431-42.9
H7c3	2	431-47.8
H7c4	1	431-33.9
H7c5	2	431-48.6
H7c6	2	431-46.6
H7c	1	431-32.9
H7d1	2	431-57.6
H7d2	2	441-48.9
H7d2a	1	441-58.9
H7d3	1	431-48.4
H7d3a	1	431-58.4
H7d4	4	431-72.3
H7d5	4	431-62.4
H7d	1	431-41.9
H7e	2	431-42.9
H7f	1	431-37.5
H7g	1	431-32.9
H7h1	1	431-45.5
H7h	1	431-37.4
H7i1	1	431-66
H7i	4	431-61.7
H8	4	431-39
H8_C114T	1	431-46
H8_C114T_T152C	1	432-46
H8a1	1	431-49.7
H8a	1	431-43.6
H8b1	1	431-61.3
H8b	1	431-54.8
H8c1	2	432-71.2
H8c2	3	432-77.4
H8c	1	432-54.8
H9	1	432-30.7
H9a	3	432-50
H10	1	431-24.1
H10_T16093C	1	431-27.3
H10a1	1	431-35.5
H10a1a1	1	431-54.3
H10a1a	1	431-45.5
H10a1b	4	431-62.8
H10a	1	431-29.6
H10b1	1	431-42.2
H10b	1	431-34.1
H10c1	2	431-47.6
H10c	2	431-34.4
H10d	1	431-31.1
H10e1	1	431-42.1
H10e1a	1	431-46.7
H10e2	1	431-45.4
H10e3	1	431-43.5
H10e3a	1	431-49
H10e	1	431-35.4
H10f	1	431-34
H10g	1	431-34.9
H10h	3	431-49.9
H11	3	431-41.9
H11a1	2	431-62.1
H11a2	2	431-60.3
H11a2a1	1	431-73.8
H11a2a2	3	431-83
H11a2a3	1	431-75.7
H11a2a	1	431-65.7
H11a3	1	431-54.5
H11a4	2	441-53.3
H11a5	1	431-56.3
H11a6	3	431-69.3
H11a7	1	432-58.7
H11a8	1	431-56.3
H11a	2	431-48.7
H11a_T152C	1	432-48.7
H11b1	1	431-58.3
H11b	1	431-50.7
H12	2	431-45.1
H12a	1	431-50.4
H13	1	431-33.1
H13a1	1	431-53.1
H13a1_T152C	1	432-53.1
H13a1a1	2	431-74.3
H13a1a1a	1	431-81.6
H13a1a1b	1	431-83.1
H13a1a1c	1	431-81.6
H13a1a1d1	1	431-97.1
H13a1a1d	4	431-90.4
H13a1a1e	1	431-81.9
H13a1a2	1	431-68.2
H13a1a2_T16311C	1	431-69.8
H13a1a2a	3	431-88.6
H13a1a2b	4	431-92.6
H13a1a3	1	431-68.8
H13a1a4	1	431-71.2
H13a1a5	1	431-70
H13a1a6	2	431-73.7
H13a1a	1	431-61.2
H13a1b	3	431-78.1
H13a1c	2	431-70
H13a1d	1	432-57
H13a2	1	431-46.1
H13a2a1	2	431-71.5
H13a2a	1	431-56.1
H13a2b1	3	431-65.1
H13a2b2	2	431-64.4
H13a2b2a	1	431-65.4
H13a2b3	2	431-57
H13a2b4	4	431-78.3
H13a2b5	2	431-60.5
H13a2b	1	431-47.1
H13a2c1	2	431-77
H13a2c	4	431-68.6
H13a	1	431-43.1
H13b1	2	431-56.7
H13b1_A200G	1	431-61.2
H13b1a	1	431-70
H13b1b	3	431-77.9
H13b2	2	431-61.7
H13b	2	431-44.4
H13c1	1	431-50.7
H13c1a	2	431-64.9
H13c2	3	431-53.1
H13c	1	431-40.7
H14	2	431-40.7
H14a1	1	431-62
H14a2	1	431-59.1
H14a2a	2	431-71.5
H14a2b	2	431-73
H14a2c	2	431-74.5
H14a	2	431-52.1
H14a_T146C	1	431-53.9
H14b1	3	432-71
H14b2	2	432-68.3
H14b2a	2	432-85.2
H14b3	2	432-60
H14b4	1	432-58.3
H14b	2	432-48.3
H15	3	431-47
H15a1	1	431-63.9
H15a1a1	1	431-79.6
H15a1a	1	431-71.5
H15a1b	4	441-74.3
H15a	1	431-55.8
H15b1	1	431-64.6
H15b2	2	431-73.4
H15b	1	431-54.6
H16	1	441-23.1
H16_T152C	1	442-23.1
H16a1	1	460.1-23.1
H16a	1	450.1-23.1
H16b	1	441-33.1
H16c	1	442-33.1
H16d	2	442-34.1
H16e	2	441-38.9
H17	1	431-31.8
H17a1	2	431-51.2
H17a2	1	431-48.1
H17a	1	431-41.8
H17b	1	431-32.8
H17c	3	431-48.4
H18	1	431-32.7
H18b	1	431-37.7
H19	2	431-43
H20	1	431-28.2
H20a1	1	431-39.2
H20a1a	2	431-51.7
H20a2	1	431-30.2
H20a	1	431-29.2
H20b	5	431-66.8
H20c	1	431-38.2
H21	4	431-52.3
H22	2	431-35.1
H23	1	431-31.9
H24	1	431-28.9
H24a1	2	431-50.1
H24a2	1	431-45
H24a	1	431-38.9
H24b	1	431-33.3
H25	1	431-31.9
H26	1	431-31.9
H26a1	1	431-44.3
H26a1a1	2	431-68.5
H26a1a	1	431-52.4
H26a1b	2	431-56.4
H26a	1	431-38.2
H26b	3	431-51.7
H26c	2	431-43.7
H27	2	431-40.1
H27_T16093C	1	431-43.3
H27a	1	431-53.3
H27b	1	431-44.3
H27c	1	431-50.1
H27d	1	431-50.1
H27e	1	431-40.1
H27f	2	431-50.2
H28	1	431-24.1
H28a1	2	431-56.3
H28a2	1	431-49.1
H28a	2	431-41
H29	3	441-35.7
H29a	1	441-43
H29b	1	441-36.7
H30	1	431-31.2
H30a	2	431-48.1
H30b1	3	432-47.2
H30b	1	431-36.6
H31	2	431-37.9
H31a	1	431-38.9
H31b	1	431-47.9
H32	2	432-35.4
H33	1	431-31.9
H33a	1	431-39.5
H33b	2	431-41.6
H33c	2	431-44
H34	1	431-34
H35	1	431-33.1
H35a	1	431-41.2
H36	5	432-60.8
H39	1	431-30.4
H39a1	1	431-47.3
H39a	2	431-38.5
H39b	1	431-39.2
H39c	1	431-40.4
H40	1	431-31.9
H40a	1	441-31.9
H40b	2	431-48
H41	1	431-31.2
H41a	4	431-60
H42	1	431-30.4
H42a1	1	431-52.8
H42a2	2	431-58.3
