"population","Common","Doubleton","Rare","Singleton","Very rare"
"AEES",7,6,7,16,0
"AESP",3,3,14,28,0
"ANEA",4,8,18,10,1
"ANWC",4,6,8,17,0
"ASAF",6,8,5,19,0
"ASEA",5,2,7,7,0
"Han_NWCM",4,10,13,19,47
"Han_noNWC",5,5,7,18,33
