"population","PC1","PC2","PC3","PC4","PC5","group"
"AEES",-0.157609573538643,0.00616792936568552,-0.0141390166155873,0.191517192144551,-0.0126767297897756,"1"
"AESP",-0.33466788303072,-0.0990411819525485,0.0594127778706667,-0.0758317147477243,-0.0688412437581048,"1"
"ANEA",0.203571121117952,-0.0578492974272738,-0.0515515650039052,-0.017160950354347,0.0651403315472691,"2"
"ANWC",-0.194055539398195,-0.0638451078008774,-0.00154491269573331,-0.0289918056687864,0.111268284219094,"1"
"ASAF",-0.108637571902136,0.218083131210142,-0.118224271638322,-0.0547327987459777,-0.0160928631493996,"3"
"ASEA",0.152652451382585,0.126584288493676,0.192110927613968,-0.00258672973210627,0.013585393611925,"4"
"Han_NWCM",0.205853579504864,-0.0695702942783029,-0.0394148068423094,0.00121445108193793,-0.0365353075656434,"2"
"Han_noNWC",0.23289341586429,-0.0605294676105014,-0.0266491326887776,-0.0134276439775478,-0.0558478651153651,"2"
