"","AEES","AESP","ANEA","ANWC","ASAF","ASEA","Han_NWCM","Han_noNWC"
"AEES",0,0.545299188491521,0.684017056990943,0.508116503097365,0.738564506625461,0.740221870629298,0.638481331101274,0.701841340274678
"AESP",0.545299188491521,0,0.780356428948895,0.508697839751552,0.629118757986696,0.809469111613114,0.746751034935893,0.787290491413235
"ANEA",0.684017056990943,0.780356428948895,0,0.691113099478207,0.793784624141299,0.501829793676592,0.399104679482428,0.426725448142733
"ANWC",0.508116503097365,0.508697839751552,0.691113099478207,0,0.690143492626364,0.749405421519346,0.674202230937857,0.720773336428964
"ASAF",0.738564506625461,0.629118757986696,0.793784624141299,0.690143492626364,0,0.797733931061303,0.77666643154097,0.80033811598378
"ASEA",0.740221870629298,0.809469111613114,0.501829793676592,0.749405421519346,0.797733931061303,0,0.504108012587457,0.487761972827497
"Han_NWCM",0.638481331101274,0.746751034935893,0.399104679482428,0.674202230937857,0.77666643154097,0.504108012587457,0,0.212007488719544
"Han_noNWC",0.701841340274678,0.787290491413235,0.426725448142733,0.720773336428964,0.80033811598378,0.487761972827497,0.212007488719544,0
