"population","hap","count","freq"
"AESP","R1a1a",110,0.385964912280702
"ANEA","O2a2b",134,0.335839598997494
"Han_noNWC","O2a2b",1499,0.313926701570681
"Han_NWCM","O2a2b",3382,0.310189856002935
"ANWC","R1a1a",39,0.284671532846715
"AESP","N1a1a",59,0.207017543859649
"ASEA","C2b1b",30,0.198675496688742
"ASEA","O1b1a",28,0.185430463576159
"AEES","C2a1a",29,0.173652694610778
"AEES","R1a1a",27,0.161676646706587
"Han_NWCM","O2a1b",1675,0.153627441988444
"ASEA","O2a2b",22,0.145695364238411
"Han_noNWC","O2a1b",690,0.144502617801047
"ANWC","R1b1a",18,0.131386861313869
"ASAF","L1a2",15,0.129310344827586
"Han_noNWC","O1a1a",583,0.122094240837696
"ASAF","J2a1a",13,0.112068965517241
"ASEA","C2b1",16,0.105960264900662
"AEES","Q1b1a",17,0.101796407185629
"Han_noNWC","O1b1a",458,0.0959162303664921
"ASAF","R2a2b",11,0.0948275862068965
"AESP","R1b1a",26,0.0912280701754386
"ANWC","O2a2b",11,0.0802919708029197
"ASAF","E1b1b",9,0.0775862068965517
"ASAF","R1a1a",9,0.0775862068965517
"Han_NWCM","O1b1a",823,0.0754838117949188
"ASEA","O2a1b",11,0.0728476821192053
"AEES","Q1a1a",12,0.0718562874251497
"AEES","N1a2a",11,0.0658682634730539
"ANEA","D1a1a",26,0.0651629072681704
"ANEA","N1b2",26,0.0651629072681704
"Han_NWCM","C2b1a",693,0.0635604879390993
"Han_noNWC","C2b1a",295,0.0617801047120419
"AEES","N1a1a",10,0.0598802395209581
"AEES","R1b1a",10,0.0598802395209581
"ANEA","O2a1b",21,0.0526315789473684
"ASAF","H1a1a",6,0.0517241379310345
"ANWC","Q1b1b",7,0.0510948905109489
"Han_NWCM","O1a1a",532,0.0487939099330459
"ANEA","O1b1a",19,0.0476190476190476
"ASEA","C1b1a",7,0.0463576158940397
"ASEA","O1a1a",7,0.0463576158940397
"ANEA","N1b1b",18,0.0451127819548872
"ANWC","N1b2",6,0.0437956204379562
"ANWC","R1b2b",6,0.0437956204379562
"Han_noNWC","O2a2a",206,0.0431413612565445
"ASAF","No",5,0.0431034482758621
"ANEA","C2b1a",16,0.0401002506265664
"Han_NWCM","Q1a1a",424,0.0388883793451344
"ANWC","R1b2",5,0.0364963503649635
"ASAF","R2a",4,0.0344827586206897
"Han_NWCM","D1a1a",370,0.0339356140511786
"ASEA","N1b2",5,0.033112582781457
"ANEA","N1b1",12,0.0300751879699248
"Han_NWCM","O2a2a",327,0.0299917453911767
"ANWC","R1",4,0.0291970802919708
"AESP","J2a1a",8,0.0280701754385965
"ANEA","C2b1b",11,0.0275689223057644
"ASEA","D1a1b",4,0.0264900662251656
"ASEA","O2a2a",4,0.0264900662251656
"Han_noNWC","Q1a1a",126,0.0263874345549738
"ASAF","J1b",3,0.0258620689655172
"ASAF","Q2b",3,0.0258620689655172
"ASAF","R2b",3,0.0258620689655172
"Han_noNWC","C2b1b",122,0.0255497382198953
"Han_noNWC","O2a1a",122,0.0255497382198953
"ANEA","C2b1",10,0.025062656641604
"ANEA","N1b1a",10,0.025062656641604
"ANEA","O1a",10,0.025062656641604
"ANEA","Q1a1a",10,0.025062656641604
"Han_NWCM","C2b1b",267,0.024488672842337
"Han_NWCM","R1a1a",264,0.024213519214895
"AEES","J2a2a",4,0.0239520958083832
"AEES","O2a2b",4,0.0239520958083832
"Han_NWCM","C2a1a",247,0.022654315326057
"ANWC","C2a1a",3,0.0218978102189781
"ANWC","J2a1a",3,0.0218978102189781
"ANWC","N2",3,0.0218978102189781
"ANWC","Q2a",3,0.0218978102189781
"AESP","Q1b",6,0.0210526315789474
"ASEA","C",3,0.0198675496688742
"ASEA","O1a",3,0.0198675496688742
"AEES","C2a1",3,0.0179640718562874
"AEES","C2a1b",3,0.0179640718562874
