"rep","population","Haplogroup","freq"
1,"Han_NWCM","C2",0.125
1,"Han_NWCM","D1",0.125
1,"Han_NWCM","J1",0.25
1,"Han_NWCM","O1",0.125
1,"Han_NWCM","O2",0.25
1,"Han_NWCM","R1",0.125
1,"Han_noNWC","C2",0.5
1,"Han_noNWC","O2",0.5
